	     GT		  S1           S2	    S3           S4
KHP_r1      33.69	 36.93	      36.93        33.69        33.69
KHP_r2	    50.39	 None	      49.85	   49.85	49.85
KHP_r3	    66.63	 67.76	      66.80	   67.76	66.79
KHP_r4	    60.99	 61.44	      60.99	   60.99	60.99
KHP_r5	    77.56	 79.71	      77.55	   79.79	77.56

Glucose_r1  34.47        34.47        33.15        33.14        33.14
Glucose_r2  41.98	 41.98	      42.09	   38.58	38.58
Glucose_r3  49.37	 54.06	      48.65	   49.64	50.51	
Glucose_r4  57.11	 59.20	      57.11	   56.10	57.11
Glucose_r5  66.52	 69.71	      64.98	   64.11	64.98

ICr1	    24.73	 None	      50.59	   24.73	24.73
ICr2	    15.11	 15.11	      15.11	   15.11	15.11
SAAA-other  32.14	 32.14	      32.14	   32.14	32.14
ketoR1      26.68	 26.68	      28.83	   24.09	26.28
ketoR2	    57.72	 79.52	      79.84        79.52	57.55
