react_smi,prod_smi,mr_num,mr_smi,iso_bool,iso_type,iso_corr_factor,f_ea_true,f_ea_mr
CCCCC(C)(C)C.C[C](C)C(C)(C)C,CC(C)C(C)(C)C.CCC[CH]C(C)(C)C,new_mr_17,CCC.C[C](C)C>>CC(C)C.C[CH]C,False,,,47.03677250005782,37.7372
CCCCC(C)(C)C.C[CH]C(C)(C)CCC,CCCC(C)(C)CC.[CH2]CCCC(C)(C)C,new_mr_11,CC.C[CH]C>>CCC.[CH2]C,False,,,45.534223749999114,38.7519
CCCCC(C)(C)C.CCC[CH]C(C)CC,CCCCC(C)CC.[CH2]CCCC(C)(C)C,new_mr_11,CC.C[CH]C>>CCC.[CH2]C,False,,,41.41437250002099,38.7519
CCCCC(C)(C)C.CCC[CH]C(C)(C)C,CCCCC(C)(C)C.C[CH]CCC(C)(C)C,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,39.94570874998374,37.1712
CC(C)CCC(C)C.[H],C[C](C)CCC(C)C.[H][H],new_mr_18,CC(C)C.[H]>>C[C](C)C.[H][H],False,,,21.185968749996604,19.2624
CC(C)CCC(C)C.C[CH]C(C)(C)C,CC(C)[CH]CC(C)C.CCC(C)(C)C,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,43.16258749999449,37.1712
CC(C)CCC(C)C.C[C](C)C(C)C,CC(C)C(C)C.[CH2]C(C)CCC(C)C,new_mr_12,CC.C[C](C)C>>CC(C)C.[CH2]C,False,,,42.575875000013355,37.4956
CC(C)CCC(C)C.CCCC[C](C)C,CCCCC(C)C.C[C](C)CCC(C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,38.557051249994174,36.0122
CCC(C)CC(C)C.[CH3],C.[CH2]CC(C)CC(C)C,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,33.21984999998634,35.97
CCC(C)CC(C)C.[H],C[CH]C(C)CC(C)C.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.593451250009977,21.2208
CCC(C)CC(C)C.[H],CCC(C)C[C](C)C.[H][H],new_mr_18,CC(C)C.[H]>>C[C](C)C.[H][H],False,,,20.977638750023218,19.2624
CCC(C)CC(C)C.[CH2]CCC,CCC(C)[CH]C(C)C.CCCC,new_mr_15,CCC.[CH2]C>>CC.C[CH]C,False,,,37.33750499997001,34.1203
CCC(C)CC(C)C.[CH2]CC(C)CC,CCC(C)CC.CC[C](C)CC(C)C,new_mr_20,CC(C)C.[CH2]C>>CC.C[C](C)C,False,,,37.035677500018664,30.4551
CCC(C)CC(C)C.C[C](C)C(C)C(C)C,CC(C)C(C)C(C)C.CC[C](C)CC(C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,47.34424749995924,36.0122
CCC(C)CC(C)C.[CH2]C(C(C)C)C(C)C,CC(C)C(C)C(C)C.[CH2]C(CC)CC(C)C,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,40.113251249953095,36.7571
CCC(C)CC(C)C.[CH2]CC(C)CCCC,CCCCC(C)CC.[CH2]CC(C)CC(C)C,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,39.41390250000666,36.7571
CC(C)CC(C)(C)C.[CH3],C.C[C](C)CC(C)(C)C,new_mr_19,CC(C)C.[CH3]>>C.C[C](C)C,False,,,33.45955499998752,28.2821
CC(C)CC(C)(C)C.[H],[CH2]C(C)(C)CC(C)C.[H][H],new_mr_8,CC.[H]>>[CH2]C.[H][H],False,,,24.580743750004075,23.8237
CC(C)CC(C)(C)C.[CH2]CC(CC)CCC,CCCC(CC)CC.[CH2]C(C)CC(C)(C)C,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,38.610702499965726,36.7571
CC(C)CC(C)(C)C.CCCCC[C](C)C,CCCCCC(C)C.C[C](C)CC(C)(C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,39.50771374998382,36.0122
CCC(C)C(C)CC.[CH2]C(C)C(C)C,CC(C)C(C)C.[CH2]CC(C)C(C)CC,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,39.5902299999895,36.7571
CCC(C)C(C)CC.C[CH]CC(C)(C)C,CCCC(C)(C)C.C[CH]C(C)C(C)CC,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,43.136546250024566,37.1712
CCC(C)C(C)CC.CC[CH]C(CC)CC,CCCC(CC)CC.C[CH]C(C)C(C)CC,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,42.467003750002874,37.1712
CCC(C)C(C)CC.C[CH]CCCC(C)C,CCCCCC(C)C.[CH2]CC(C)C(C)CC,new_mr_11,CC.C[CH]C>>CCC.[CH2]C,False,,,42.12940874999916,38.7519
CCC(C)C(C)CC.C[C](C)CC(C)(C)C,CC(C)CC(C)(C)C.C[CH]C(C)C(C)CC,new_mr_17,CCC.C[C](C)C>>CC(C)C.C[CH]C,False,,,50.03622250001115,37.7372
CCC(C)C(C)(C)C.[CH2]CCCC,CCCCC.[CH2]CC(C)C(C)(C)C,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,38.3559374999669,36.7571
CCC(C)C(C)(C)C.[CH2]C(C)C(C)C,CC(C)C(C)C.[CH2]C(C)(C)C(C)CC,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,40.35734875001452,36.7571
CCC(C)C(C)(C)C.CCC(CC)[C](C)C,CCC(CC)C(C)C.CC[C](C)C(C)(C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,52.741061249959245,36.0122
CC(C)(C)C(C)(C)C.CCC[CH]C(C)CC,CCCCC(C)CC.[CH2]C(C)(C)C(C)(C)C,new_mr_11,CC.C[CH]C>>CCC.[CH2]C,False,,,43.3031474999963,38.7519
CCCC(C)CC.CC[CH]C(C)C,CCCC(C)C.CCC[C](C)CC,new_mr_21,CC(C)C.C[CH]C>>CCC.C[C](C)C,False,,,40.57885624999031,35.2818
[CH3].[H][H],C.[H],new_mr_0,[CH3].[H][H]>>C.[H],False,,,28.50638374999992,28.5048
[CH2]C.[H][H],CC.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,31.5309337500058,31.5312
C[CH]C.[H][H],CCC.[H],new_mr_2,C[CH]C.[H][H]>>CCC.[H],False,,,33.565288749997,33.56
[CH2]CCCC.[H][H],CCCCC.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,29.025012500001353,31.5312
[CH2]CCC(C)C.[H][H],CCCC(C)C.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,29.776130000013268,31.5312
[CH2]CCCCCC.[H][H],CCCCCCC.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,29.19035874999409,31.5312
CCC[CH]C(C)C.[H][H],CCCCC(C)C.[H],new_mr_2,C[CH]C.[H][H]>>CCC.[H],False,,,31.51053999998595,33.56
CCC[C](C)CC.[H][H],CCCC(C)CC.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,37.422217500005814,34.0569
[CH2]C(CC)C(C)C.[H][H],CCC(C)C(C)C.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,31.900217499983015,31.5312
CC[C](CC)CC.[H][H],CCC(CC)CC.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,32.54999375000111,34.0569
CCC[C](C)CCC.[H][H],CCCC(C)CCC.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,35.48167374998286,34.0569
CCCC(C)[C](C)C.[H][H],CCCC(C)C(C)C.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,36.900451250003385,34.0569
C[CH]CC(CC)CC.[H][H],CCCC(CC)CC.[H],new_mr_2,C[CH]C.[H][H]>>CCC.[H],False,,,34.48614499998165,33.56
CC[CH]C(CC)CC.[H][H],CCCC(CC)CC.[H],new_mr_2,C[CH]C.[H][H]>>CCC.[H],False,,,32.86907750001589,33.56
CC[CH]C(C)(C)CC.[H][H],CCCC(C)(C)CC.[H],new_mr_2,C[CH]C.[H][H]>>CCC.[H],False,,,33.40025625001239,33.56
C[C](C)C(C)C(C)C.[H][H],CC(C)C(C)C(C)C.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,39.496418749994504,34.0569
[CH2]CC(C)(C)C(C)C.[H][H],CCC(C)(C)C(C)C.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,30.027443750020808,31.5312
[CH2]C(C)(CC)C(C)C.[H][H],CCC(C)(C)C(C)C.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,32.64317750003336,31.5312
[CH2]CC(C)(CC)CC.[H][H],CCC(C)(CC)CC.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,30.062269999986384,31.5312
C[C](C)CCC(C)C.[H][H],CC(C)CCC(C)C.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,34.54858124998452,34.0569
CC[C](C)CC(C)C.[H][H],CCC(C)CC(C)C.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,38.09050500001284,34.0569
C[C](C)CC(C)(C)C.[H][H],CC(C)CC(C)(C)C.[H],new_mr_3,C[C](C)C.[H][H]>>CC(C)C.[H],False,,,38.76412625002423,34.0569
[CH2]CC(C)C(C)CC.[H][H],CCC(C)C(C)CC.[H],new_mr_1,[CH2]C.[H][H]>>CC.[H],False,,,30.262128749998993,31.5312
CCCC(C)CC.C[C](C)C(C)C,CC(C)C(C)C.CCC[C](C)CC,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,44.76961500000343,36.0122
CC(C)CC(C)C.[CH3],C.[CH2]C(C)CC(C)C,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,34.23263499999749,35.97
CC(C)CC(C)C.[H],C[C](C)CC(C)C.[H][H],new_mr_18,CC(C)C.[H]>>C[C](C)C.[H][H],False,,,20.915516250037385,19.2624
CCC(C)C(C)C.[CH3],C.C[CH]C(C)C(C)C,new_mr_14,CCC.[CH3]>>C.C[CH]C,False,,,33.41217874998229,30.4325
CCC(C)C(C)C.[CH3],C.CC[C](C)C(C)C,new_mr_19,CC(C)C.[CH3]>>C.C[C](C)C,False,,,32.576662499969444,28.2821
CCC(C)C(C)C.[CH3],C.[CH2]C(C)C(C)CC,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,33.31805374998808,35.97
CC(C)C.[CH3],C.C[C](C)C,new_mr_19,CC(C)C.[CH3]>>C.C[C](C)C,False,,,28.388100000004286,28.2821
CCC(C)C(C)C.CCC[C](C)CC,CCCC(C)CC.[CH2]CC(C)C(C)C,new_mr_12,CC.C[C](C)C>>CC(C)C.[CH2]C,False,,,46.01300625003873,37.4956
CCC(C)C(C)C.CC[C](C)C(C)C,CCC(C)C(C)C.[CH2]CC(C)C(C)C,new_mr_12,CC.C[C](C)C>>CC(C)C.[CH2]C,False,,,41.28636250002316,37.4956
CCC(CC)CC.C[CH]C,CCC.C[CH]C(CC)CC,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,39.31005125000134,37.1712
CCC(CC)CC.C[C](C)C(C)(C)C,CC(C)C(C)(C)C.[CH2]CC(CC)CC,new_mr_12,CC.C[C](C)C>>CC(C)C.[CH2]C,False,,,44.07591375000706,37.4956
CCC(C)(C)CC.[CH3],C.[CH2]CC(C)(C)CC,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,34.70169124999032,35.97
CCC(C)(C)CC.[CH3],C.C[CH]C(C)(C)CC,new_mr_14,CCC.[CH3]>>C.C[CH]C,False,,,31.91778749999216,30.4325
CCC(C)(C)CC.[H],C[CH]C(C)(C)CC.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.319233750024594,21.2208
CCCC(C)CCC.[CH3],C.[CH2]C(CCC)CCC,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,33.801228749980936,35.97
CCCC(C)CCC.[H],CCC[C](C)CCC.[H][H],new_mr_18,CC(C)C.[H]>>C[C](C)C.[H][H],False,,,20.307155000003903,19.2624
CCC(C)(C)C.[CH3],C.[CH2]C(C)(C)CC,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,34.17427749998431,35.97
CCCC(C)CCC.[CH2]C(C)C(C)C,CC(C)C(C)C.[CH2]CCC(C)CCC,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,38.5448149999894,36.7571
CCCC(C)C(C)C.[CH3],C.[CH2]C(CCC)C(C)C,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,36.01630374998848,35.97
CCCC(C)C(C)C.[H],CC[CH]C(C)C(C)C.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.979363750016546,21.2208
CCCC(C)C(C)C.CC[C](C)CC,CCC(C)CC.C[CH]CC(C)C(C)C,new_mr_17,CCC.C[C](C)C>>CC(C)C.C[CH]C,False,,,43.51775250006085,37.7372
CCCCCC.[CH3],C.C[CH]CCCC,new_mr_14,CCC.[CH3]>>C.C[CH]C,False,,,30.795190000008574,30.4325
CCCC(CC)CC.[CH3],C.CC[CH]C(CC)CC,new_mr_14,CCC.[CH3]>>C.C[CH]C,False,,,32.43045499998189,30.4325
CCCC(CC)CC.[CH3],C.CCC[C](CC)CC,new_mr_19,CC(C)C.[CH3]>>C.C[C](C)C,False,,,32.277344999976094,28.2821
CCCC(CC)CC.[H],C[CH]CC(CC)CC.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.361276249989785,21.2208
CCCC(CC)CC.[H],CC[CH]C(CC)CC.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.332724999990532,21.2208
CCCC(CC)CC.[CH2]CC(C)(C)C,CCC(C)(C)C.[CH2]CC(CC)CCC,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,39.742712499961215,36.7571
CCCC(CC)CC.[CH2]C(C)CC(C)C,CC(C)CC(C)C.[CH2]CCC(CC)CC,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,40.47500500003849,36.7571
CCCC(CC)CC.CC[C](CC)CC,CCC(CC)CC.CC[CH]C(CC)CC,new_mr_17,CCC.C[C](C)C>>CC(C)C.C[CH]C,False,,,42.72396499996049,37.7372
CCCC(C)[C](C)C.CCCC(CC)CC,CCCC(C)C(C)C.CCC[C](CC)CC,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,46.30918624996866,36.0122
CCCC(CC)CC.CC[CH]C(CC)CC,CCCC(CC)CC.CCC[C](CC)CC,new_mr_21,CC(C)C.C[CH]C>>CCC.C[C](C)C,False,,,39.91182374999795,35.2818
CCCCCC.CC[CH]CCC,CCCCCC.C[CH]CCCC,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,37.424413750018104,37.1712
CC(C)C(C)C(C)C.[H],C[C](C)C(C)C(C)C.[H][H],new_mr_18,CC(C)C.[H]>>C[C](C)C.[H][H],False,,,21.33468625001349,19.2624
CC(C)C(C)C(C)C.C[C](C)C(C)C,CC(C)C(C)C.C[C](C)C(C)C(C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,43.28400874997328,36.0122
CCC(CC)C(C)C.[CH3],C.CCC(CC)[C](C)C,new_mr_19,CC(C)C.[CH3]>>C.C[C](C)C,False,,,34.452259999978025,28.2821
CCC(CC)C(C)C.[CH3],C.[CH2]C(C)C(CC)CC,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,36.97543749999241,35.97
CCC(CC)C(C)C.C[CH]C,CCC.C[CH]C(CC)C(C)C,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,40.396253749987636,37.1712
CCCC(C)C.[CH2]C(CC)CC,CCC(C)CC.[CH2]CCC(C)C,new_mr_10,CC.[CH2]C>>CC.[CH2]C,False,,,38.32832750001877,36.7571
CC.[H],[CH2]C.[H][H],new_mr_8,CC.[H]>>[CH2]C.[H][H],False,,,23.823664999998293,23.8237
CCC(CC)C(C)C.C[C](C)C(C)C,CC(C)C(C)C.CCC(CC)[C](C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,45.013712500029186,36.0122
CCC(CC)C(C)C.CCC[CH]C(C)C,CCCCC(C)C.CC[C](CC)C(C)C,new_mr_21,CC(C)C.C[CH]C>>CCC.C[C](C)C,False,,,41.42315749999881,35.2818
CCC(CC)C(C)C.C[CH]C(C)(C)CC,CCC(C)(C)CC.CCC(CC)[C](C)C,new_mr_21,CC(C)C.C[CH]C>>CCC.C[C](C)C,False,,,45.16180249997632,35.2818
CCC(CC)C(C)C.CC[CH]C(C)C(C)C,CCCC(C)C(C)C.[CH2]CC(CC)C(C)C,new_mr_11,CC.C[CH]C>>CCC.[CH2]C,False,,,43.92060750000681,38.7519
CCC(CC)C(C)C.CCC[C](CC)CC,CCCC(CC)CC.CC[C](CC)C(C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,46.1363099999771,36.0122
CCC(C)(C)C(C)C.[CH3],C.[CH2]C(C)(CC)C(C)C,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,35.46190749997926,35.97
CCC(C)(C)C(C)C.[H],[CH2]C(C)(CC)C(C)C.[H][H],new_mr_8,CC.[H]>>[CH2]C.[H][H],False,,,25.100627500011257,23.8237
CCC(C)(C)C(C)C.C[C](C)C,CC(C)C.C[CH]C(C)(C)C(C)C,new_mr_17,CCC.C[C](C)C>>CC(C)C.C[CH]C,False,,,40.759889999961274,37.7372
CCCCC.[CH3],C.C[CH]CCC,new_mr_14,CCC.[CH3]>>C.C[CH]C,False,,,29.906022500006344,30.4325
CCC(C)(C)C(C)C.CCC[C](C)CCC,CCCC(C)CCC.C[CH]C(C)(C)C(C)C,new_mr_17,CCC.C[C](C)C>>CC(C)C.C[CH]C,False,,,44.41037124994736,37.7372
CCC(C)(C)C(C)C.CCC[C](C)CCC,CCC(C)(C)[C](C)C.CCCC(C)CCC,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,45.36887749998854,36.0122
CC(C)C(C)C.[CH3],C.[CH2]C(C)C(C)C,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,34.02148124999556,35.97
CCC(C)(C)C(C)C.CCC[C](C)C(C)C,CCC(C)(C)[C](C)C.CCCC(C)C(C)C,new_mr_22,CC(C)C.C[C](C)C>>CC(C)C.C[C](C)C,False,,,48.255691249940895,36.0122
CCC(C)(CC)CC.[CH3],C.[CH2]CC(C)(CC)CC,new_mr_9,CC.[CH3]>>C.[CH2]C,False,,,33.9794387499947,35.97
CCC(C)(CC)CC.C[CH]C(CC)CCC,CCCC(CC)CC.[CH2]C(CC)(CC)CC,new_mr_11,CC.C[CH]C>>CCC.[CH2]C,False,,,48.697137499967766,38.7519
CCCCCCCC.[CH3],C.CC[CH]CCCCC,new_mr_14,CCC.[CH3]>>C.C[CH]C,False,,,31.1239999999988,30.4325
CCCCCCCC.[H],C[CH]CCCCCC.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.259935000013797,21.2208
CCCCCCCC.[H],CCC[CH]CCCC.[H][H],new_mr_13,CCC.[H]>>C[CH]C.[H][H],False,,,22.975285000026844,21.2208
CCCCCCCC.C[CH]C(C)C,CCC(C)C.CC[CH]CCCCC,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,42.8554262499496,37.1712
CCCCCCCC.CC[CH]C(C)C(C)C,CCCC(C)C(C)C.CCC[CH]CCCC,new_mr_16,CCC.C[CH]C>>CCC.C[CH]C,False,,,41.5376762500307,37.1712
CCCCCCCC.CCC[C](C)C(C)C,CCCC(C)C(C)C.CC[CH]CCCCC,new_mr_17,CCC.C[C](C)C>>CC(C)C.C[CH]C,False,,,43.15066500002459,37.7372
CCCCCC(C)C.[H],[CH2]CCCCC(C)C.[H][H],new_mr_8,CC.[H]>>[CH2]C.[H][H],False,,,23.958577500041116,23.8237
