Rindex,DG (gibbs energy of activation in kcal/mol)
MR_1_2,37.1712
MR_2_1,37.7372
MR_3_1,36.7571
MR_4_2,38.7519
MR_5_3,37.5421
MR_6_2,30.4325
MR_7_3,36.0122
MR_8_1,23.8237
MR_9_2,30.3007
MR_10_1,42.0394
MR_11_1,22.9351
MR_12_1,33.56
MR_13_1,34.0569
MR_14_1,39.503
MR_15_3,28.6749
MR_16_2,38.8943
MR_17_1,40.608
MR_18_2,24.6607
MR_19_1,28.2821
MR_20_1,29.1794
MR_21_1,25.5556
MR_22_1,27.5849
MR_23_1,28.5519
MR_24_1,35.9702
MR_25_1,26.4052
MR_26_1,30.002
MR_27_1,25.9484
MR_28_1,26.8012
MR_29_1,22.8002
MR_30_1,29.7912
MR_31_1,30.1589
MR_32_1,21.975
MR_33_2,28.4458
MR_34_1,27.861
MR_35_1,26.0827
MR_36_1,40.4424
MR_37_1,30.5367
MR_38_1,23.6285
MR_39_1,38.9652
MR_40_2,40.344
MR_41_1,38.2919
MR_42_1,28.8267
MR_43_1,30.2166
MR_44_1,26.7924
MR_45_2,22.9289
MR_46_2,28.7395
MR_47_2,25.4439
MR_48_1,41.9584
MR_49_1,19.7907
MR_50_1,23.9749
MR_51_1,22.3315
MR_52_2,31.3725
MR_53_1,26.1253
MR_54_1,28.5048
MR_55_2,20.2099
MR_56_0,22.6113
MR_57_2,25.2525
MR_58_0,20.1923
MR_59_0,34.6229
