ar,h,f,spe
MR_188968_0_10_1_3_3_4,-861.277068,-861.33983,-861.503341
MR_188968_0_11_1_3_4_7,-746.838151,-746.894293,-747.033023
MR_188968_0_12_1_5_5_8,-921.642297,-921.712186,-921.908887
MR_188968_0_14_1_3_7_17,-916.516842,-916.581178,-916.746624
MR_188968_0_16_2_4_2_6,-786.820112,-786.884588,-787.121978
MR_188968_0_19_2_8_5_10,-595.290708,-595.342701,-595.467499
MR_188968_0_20_2_4_6_5,-846.007153,-846.076292,-846.325967
MR_188968_0_22_2_2_8_23,-865.922477,-865.988123,-866.23129
MR_188968_0_27_2_8_6_5,-728.090878,-728.15036,-728.321595
MR_188968_0_28_2_12_7_3,-705.798043,-705.855402,-705.993127
MR_188968_0_2_1_6_3_3,-861.400719,-861.464598,-861.630631
MR_188968_0_30_3_1_3_3,-708.615895,-708.672108,-708.801263
MR_188968_0_31_3_6_4_5,-672.645013,-672.701736,-672.853344
MR_188968_0_33_3_3_6_4,-747.974702,-748.034726,-748.191844
MR_188968_0_34_3_6_7_11,-764.963377,-765.022431,-765.176302
MR_188968_0_35_3_6_8_15,-747.873263,-747.930827,-748.089545
MR_188968_0_36_3_5_3_2,-787.183804,-787.247536,-787.4274
MR_188968_0_39_3_3_6_6,-787.291293,-787.355333,-787.53801
MR_188968_0_3_1_2_4_3,-804.871941,-804.931529,-805.061624
MR_188968_0_40_3_3_7_18,-842.407489,-842.472275,-842.655319
MR_188968_0_41_3_6_8_8,-727.956358,-728.013601,-728.18495
MR_188968_0_42_4_3_4_5,-596.299247,-596.354437,-596.480421
MR_188968_0_43_4_4_5_9,-692.607449,-692.663122,-692.806122
MR_188968_0_44_4_5_6_2,-712.08864,-712.149671,-712.329767
MR_188968_0_45_4_11_7_10,-671.514828,-671.56896,-671.703948
MR_188968_0_46_4_4_8_28,-731.408582,-731.467356,-731.696428
MR_188968_0_48_4_2_5_3,-657.903123,-657.962747,-658.149533
MR_188968_0_4_1_4_5_2,-806.054349,-806.113881,-806.265833
MR_188968_0_50_4_4_7_5,-709.645088,-709.700612,-709.839315
MR_188968_0_51_4_4_8_23,-771.20539,-771.264208,-771.465129
MR_188968_0_54_5_2_7_2,-729.603975,-729.65981,-729.789519
MR_188968_0_56_5_7_5_11,-672.075124,-672.125317,-672.223462
MR_188968_0_58_5_2_7_17,-747.846347,-747.90143,-748.049252
MR_188968_0_5_1_4_6_1,-861.429282,-861.49295,-861.658466
MR_188968_0_60_6_8_6_1,-707.559754,-707.614304,-707.725816
MR_188968_0_61_6_3_7_4,-863.537684,-863.603055,-863.798165
MR_188968_0_62_6_3_8_5,-767.362862,-767.424325,-767.621587
MR_188968_0_65_6_1_8_18,-774.674697,-774.735619,-774.990151
MR_188968_0_66_7_1_7_1,-757.082745,-757.145174,-757.368687
MR_188968_0_67_7_19_8_52,-861.836593,-861.900903,-862.129544
MR_188968_0_68_7_15_7_16,-897.645922,-897.709026,-897.896985
MR_188968_0_70_8_64_8_20,-944.816929,-944.883171,-945.129637
MR_188968_0_8_1_1_1_3,-955.368781,-955.432135,-955.568396
MR_188968_0_9_1_4_2_7,-880.781819,-880.850066,-881.051625
MR_220900_2_11_1_5_4_4,-742.728949,-742.793279,-742.993049
MR_220900_2_12_1_5_5_7,-799.682755,-799.748985,-799.93323
MR_220900_2_17_2_12_3_5,-645.347998,-645.407801,-645.589194
