smi,h,f,spe
CC=NONC(=N)N(NN)NN(C=O)C=O,-861.30596,-861.370804,-861.539198
CC=NONC(N)=NNN(C=O)C=O,-750.659097,-750.719057,-750.85582
N=N,-110.652057,-110.67746,-110.684151
N=CNC(=N)N(NN)NN(C=O)C=O,-746.867556,-746.924094,-747.068044
N=CNC(N)=NNN(C=O)C=O,-636.218206,-636.27007,-636.382526
COONC(=N)N(NN)NN(C(C)=O)C(C)=O,-921.673253,-921.741413,-921.946649
COONC(N)=NNN(C(C)=O)C(C)=O,-811.026939,-811.091462,-811.263387
N=C(NN(C=O)C=O)N(NN)NC1=CN=CC=N1,-916.558451,-916.621976,-916.795887
NC(=NNC1=NC=CN=C1)NN(C=O)C=O,-805.908199,-805.967981,-806.109031
CN=C(NC(=N)N(NN)NN=CN)N(C)C,-786.847452,-786.912416,-787.155778
CN=C(NC(N)=NNN=CN)N(C)C,-676.194879,-676.256406,-676.46646
N=CNNN(NN)C(=N)NO,-595.326619,-595.375883,-595.509168
N=CNNN=C(N)NO,-484.675011,-484.719945,-484.821192
CN=C(NC(=N)N(NN)NN(C)C=O)N(C)C,-846.044202,-846.114347,-846.36916
CN=C(NC(N)=NNN(C)C=O)N(C)C,-735.399895,-735.465481,-735.688318
CN=C(N)NC(=N)N(NN)NC1COCCO1,-865.953861,-866.018305,-866.269035
CN=C(N)NC(N)=NNC1COCCO1,-755.293745,-755.353574,-755.571729
CN(C=O)NN(NN)C(=N)NNC=N,-728.140735,-728.199149,-728.378031
CN(C=O)NN=C(N)NNC=N,-617.481114,-617.533227,-617.682056
N=NNC(=N)N(NN)NC1=CC=NN1,-705.83322,-705.888394,-706.034751
N=NNC(N)=NNC1=CC=NN1,-595.177087,-595.227469,-595.341759
CC(=NO)NN(NN)C(=N)NC(=O)NC=O,-861.43214,-861.497294,-861.6681
CC(=NO)NN=C(N)NC(=O)NC=O,-750.784145,-750.841198,-750.983237
CC(=NO)NN(NN)C(=N)NN=O,-708.649204,-708.705526,-708.841294
CC(=NO)NN=C(N)NN=O,-598.006494,-598.056956,-598.162849
C=NONC(=N)N(NN)NN=CC,-672.676658,-672.73392,-672.892065
C=NONC(N)=NNN=CC,-562.018013,-562.069833,-562.196224
CC(=NO)NN(NN)C(=N)NNC=O,-748.011295,-748.070705,-748.234813
CC(=NO)NN=C(N)NNC=O,-637.355836,-637.410833,-637.542692
C=NONC(=N)N(NN)NC1=NC=CN1,-764.984229,-765.041701,-765.202089
C=NONC(N)=NNC1=NC=CN1,-654.33832,-654.392729,-654.519688
C=NONC(=N)N(NN)NC1NCO1,-747.904521,-747.961899,-748.127633
C=NONC(N)=NNC1NCO1,-637.25807,-637.312111,-637.443989
CC(C)=NONC(=N)N(NN)NC=NO,-787.219164,-787.283545,-787.46978
CC(C)=NONC(N)=NNC=NO,-676.567215,-676.626157,-676.781518
CC(=O)NNN(NN)C(=N)NC(C)=NO,-787.31878,-787.382786,-787.571646
CC(=O)NNN=C(N)NC(C)=NO,-676.668692,-676.726948,-676.885645
CC(=O)OC(=O)NC(=N)N(NN)NC#N,-804.906893,-804.96804,-805.100246
CC(=O)OC(=O)NC(N)=NNC#N,-694.261461,-694.318038,-694.418245
CC(=NO)NN(NN)C(=N)NC1=CC=CN=N1,-842.441841,-842.504583,-842.696208
CC(=NO)NN=C(N)NC1=CC=CN=N1,-731.789302,-731.847472,-732.007172
C=NONC(=N)N(NN)NN1CNC1,-727.975997,-728.033735,-728.210846
C=NONC(N)=NNN1CNC1,-617.326323,-617.378661,-617.524495
CC=NNC(=N)N(NN)NC#N,-596.326026,-596.38052,-596.513642
CC=NNC(N)=NNC#N,-485.690544,-485.740972,-485.841533
C=NNC(=N)N(NN)NOC(C)=O,-692.644582,-692.702389,-692.848627
C=NNC(N)=NNOC(C)=O,-582.003176,-582.057289,-582.170407
CC=NNN(NN)C(=N)NC(=O)NC,-712.124165,-712.186421,-712.37197
CC=NNN=C(N)NC(=O)NC,-601.474201,-601.530512,-601.685443
