preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_100,0.938685668,3.257494763,5.035595535,7.391003139,0.92360267,3.701053052,5.655361051,8.264637268
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_20,0.937791259,3.281835453,5.068264913,7.419517419,0.922920732,3.623780151,5.67761649,8.301479909
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_40,0.93916874,3.323959778,5.09494675,7.419068909,0.925327224,3.583221511,5.605607702,8.191355872
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_60,0.933359475,3.391541366,5.290421106,7.762140221,0.922994028,3.638225093,5.663326066,8.309297152
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_80,0.936426694,3.301587754,5.113350305,7.5101847,0.924227147,3.616593156,5.632098593,8.238290689
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_100,0.937970088,3.281979257,5.082841638,7.444007834,0.917961155,3.800555516,5.89476713,8.564871474
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_20,0.935062827,3.470586675,5.274553437,7.646925349,0.917222166,3.963978996,6.011605254,8.635052865
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_40,0.932097284,3.618812877,5.421970752,7.787872724,0.919588374,3.974901134,5.959634605,8.529527361
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_60,0.935288513,3.487146948,5.279346179,7.631497141,0.920479203,3.759812164,5.79300075,8.428635734
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_80,0.930302596,3.554993549,5.43516657,7.865713885,0.924053336,3.719840339,5.676949595,8.247455492
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_100,0.929549869,3.972544687,5.81709501,8.313036814,0.925028388,4.177443262,6.056205581,8.560139886
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_20,0.924626085,4.249466999,6.094880952,8.596480579,0.92013784,4.307525751,6.268912036,8.851531183
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_40,0.926793726,4.138484175,5.984319549,8.47311849,0.925093339,4.160761414,6.047702724,8.585941841
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_60,0.926418251,4.115382907,5.984464842,8.490902181,0.924942114,4.130631459,5.990077589,8.567587943
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_80,0.926536417,4.116006304,5.975951247,8.476625622,0.925898569,4.09527838,5.98143284,8.514365951
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_100,0.927179671,3.261745,5.343066012,8.106337264,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_20,0.926933758,3.2485675,5.325482094,8.113939432,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_40,0.928232018,3.274295,5.334215239,8.093886553,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_60,0.928837063,3.2397825,5.312252044,8.081213314,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_80,0.927711779,3.2598625,5.319060403,8.08175683,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_100,0.926179213,3.281825,5.376276724,8.181528214,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_20,0.930963904,3.1626,5.197715111,7.918284526,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_40,0.929164874,3.234135,5.272154579,7.991963,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_60,0.928963331,3.2837075,5.330440053,8.067947085,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_80,0.926624339,3.2598625,5.343256306,8.135616911,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_100,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_20,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_40,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_60,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_80,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_100,0.926482987,3.259235,5.354731577,8.165118235,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_20,0.92791249,3.1481675,5.254899903,8.098369479,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_40,0.929184781,3.08981,5.187885434,8.026034864,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_60,0.928361746,3.1481675,5.236765752,8.066161328,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_preds_fwd_80,0.928033871,3.16009,5.252767039,8.085624491,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_100,0.926482987,3.259235,5.354731577,8.165118235,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_20,0.934575285,2.7126825,4.831450767,7.740754707,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_40,0.930630802,3.0050975,5.103313405,7.962789091,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_60,0.928041766,3.146285,5.244159919,8.08054204,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_80,0.927105545,3.2184475,5.311846218,8.130532228,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_100,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_20,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_40,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_60,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_preds_rev_80,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
