preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_b2plypd3_fwd_100,0.932584838,3.485173393,5.396129833,7.897190614,0.920179172,3.650982982,5.90042613,8.695633457
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.93869238,3.225910843,5.018106729,7.380433889,0.923993244,3.836948619,5.742724701,8.255718834
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.940262419,3.247201162,5.00299995,7.289367021,0.91921784,3.855520425,5.891044494,8.484142173
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_b2plypd3_100,0.933294521,3.621589455,5.483688429,7.911689813,0.913961958,3.79553467,6.156320973,9.011444889
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.92984529,4.022558324,5.821346169,8.267252974,0.925952672,4.17489231,6.045582653,8.491535427
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_b2plypd3_fwd_100,0.930459434,1.9785075,4.696605985,8.119319905,0.929069366,2.02808,4.770737016,8.272124825
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.927179671,3.261745,5.343066012,8.106337264,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.926179213,3.281825,5.376276724,8.181528214,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_b2plypd3_100,0.929069366,2.02808,4.770737016,8.272124825,0.929069366,2.02808,4.770737016,8.272124825
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_b2plypd3_fwd_100,0.93896032,1.020315,4.044160271,7.67256116,0.903907432,3.982115,6.524439996,9.673774541
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.928398665,3.14001,5.23198266,8.065330562,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.926482987,3.259235,5.354731577,8.165118235,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_b2plypd3_100,0.931074784,1.7764525,4.632388265,8.151298873,0.903907432,3.982115,6.524439996,9.673774541
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_b2plypd3_fwd_100,0.941610784,0.9105025,3.937597874,7.491202762,0.903967581,4.004705,6.543611211,9.694613451
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.928493599,3.1167925,5.219591171,8.060329131,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.926486297,3.2636275,5.357940236,8.167702693,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_b2plypd3_100,0.930964666,1.8341825,4.661438593,8.182419422,0.903967581,4.004705,6.543611211,9.694613451
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_b2plypd3_fwd_100,0.961805857,2.982391801,4.252963632,6.031550815,0.923677792,4.243541075,6.003299552,8.443174071
random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.960957935,2.662753606,4.009110359,5.895956467,0.946955458,3.105508025,4.704009771,6.858209678
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.95836892,2.778092108,4.158964585,6.080763725,0.946355951,3.112627556,4.728406264,6.899233942
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_b2plypd3_100,0.955412071,3.174781001,4.573354449,6.471166824,0.922379926,4.381230362,6.125069425,8.509636305
random_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.929741712,4.059104317,5.827574647,8.275009317,0.925592798,4.351450422,6.111729631,8.519552146
stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_b2plypd3_fwd_100,0.959597895,3.047221037,4.355749739,6.206088042,0.925452336,4.344204819,6.086020931,8.36366742
stratified_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.958803334,2.710622437,4.100854374,6.056632107,0.945946593,3.177310593,4.756281091,6.926726094
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.955709732,2.867343821,4.299010792,6.273418635,0.946614359,3.14784058,4.736972544,6.880699424
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_b2plypd3_100,0.952310934,3.295638996,4.742823176,6.702940177,0.927127068,4.269749993,5.96565208,8.24683977
stratified_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.928332577,4.080588282,5.886331601,8.358681989,0.924204275,4.388796261,6.147116645,8.602407634
