preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.938784264,3.219247284,5.007234389,7.365873832,0.922406554,3.905906275,5.807340507,8.326171428
mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_wb97xd_fwd_100,0.927328788,7.610698877,9.841087171,12.66478256,0.913961846,7.586922699,10.16511137,13.33482516
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.940277458,3.259007299,4.998985875,7.285039849,0.917397004,3.929285617,5.963430302,8.571003152
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.929362268,4.029969884,5.847103177,8.296979353,0.924686139,4.229326135,6.106114118,8.557413631
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_wb97xd_100,0.925742823,7.736128648,9.91598603,12.78759403,0.910775359,7.878480418,10.2663919,13.43990453
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.927179671,3.261745,5.343066012,8.106337264,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_wb97xd_fwd_100,0.931409872,2.00298,4.67922839,8.07364949,0.929847287,2.05286625,4.754754819,8.227277628
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_100,0.926179213,3.281825,5.376276724,8.181528214,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_rev_100,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_chemprop_delta_transfer_preds_wb97xd_100,0.929847287,2.05286625,4.754754819,8.227277628,0.929847287,2.05286625,4.754754819,8.227277628
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_fwd_100,0.928398665,3.14001,5.23198266,8.065330562,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_chemprop_delta_transfer_preds_wb97xd_fwd_100,0.939370275,1.0542,4.049013675,7.645421535,0.905958293,3.8823425,6.432435867,9.569292321
