preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_100,0.92152331,4.096641081,5.79166153,8.346754214,0.613819771,9.098545432,12.85492014,18.76868219
mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_20,0.874366818,5.046915377,7.322444622,10.56792153,0.556659178,10.88708872,14.83033008,20.32225444
mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_40,0.898269599,4.652733048,6.665703346,9.566638155,0.577966881,9.692753737,13.9381918,19.80382432
mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_60,0.869019389,4.740121628,7.319588821,10.8408379,0.482135669,10.97680099,15.76345454,22.0760898
mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_80,0.904792991,4.575316935,6.423594285,9.206625699,0.595775772,9.493958302,13.29903863,19.20408874
mr_scaffold_k_fold_fwd_chemprop_direct_preds_100,0.90415831,4.540510914,6.496716989,9.256137948,0.576929126,9.892861671,13.77951721,19.46282589
mr_scaffold_k_fold_fwd_chemprop_direct_preds_20,0.611089666,10.02428806,13.89099535,18.68629126,0.360944458,14.32573357,18.26657784,23.88790657
mr_scaffold_k_fold_fwd_chemprop_direct_preds_40,0.770164959,7.181635344,10.27364139,14.27770738,0.475775063,12.82678476,16.5144908,21.83494534
mr_scaffold_k_fold_fwd_chemprop_direct_preds_60,0.862685214,5.429880521,7.89291338,11.19461516,0.514246613,11.63657654,15.326619,21.00673312
mr_scaffold_k_fold_fwd_chemprop_direct_preds_80,0.861988116,5.35986795,7.920103158,11.28810221,0.576056222,11.17187608,14.60300517,19.47219388
mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_100,0.670793034,10.59198289,13.67241564,18.11538785,0.580883847,11.81548372,15.09150451,20.31408653
mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_20,0.333243759,16.23091175,19.9415539,25.82368423,0.336348026,16.91962535,20.45141082,25.80708157
mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_40,0.477777724,13.43294693,17.14915851,22.79713904,0.440523563,14.09177754,17.97886656,23.79833255
mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_60,0.560439596,12.16011013,15.59703817,20.81783849,0.504981262,12.40099544,16.415275,22.16799921
mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_80,0.558033489,11.89709747,15.26805798,20.81485384,0.545846015,12.49770095,15.96590705,21.04235877
MR_surrogate_mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_100,0.923326779,3.4958025,5.578278143,8.333812167,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_20,0.924171381,3.447485,5.522330259,8.262538288,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_40,0.925521174,3.48639,5.532181979,8.242711011,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_60,0.926129618,3.44874,5.509670168,8.230003786,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_chemprop_direct_preds_fwd_80,0.92496526,3.4619175,5.516537451,8.230412521,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_100,0.923326779,3.4958025,5.578278143,8.333812167,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_20,0.928419121,3.3677925,5.384251116,8.059118108,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_40,0.926561039,3.43117,5.464694726,8.136588452,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_60,0.92630618,3.4907825,5.52685862,8.215248163,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_80,0.923825013,3.4619175,5.543297511,8.286508513,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_100,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_20,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_40,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_60,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_chemprop_direct_preds_rev_80,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_random_k_fold_combined_chemprop_direct_preds_fwd_100,0.923326779,3.4958025,5.578278143,8.333812167,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_chemprop_direct_preds_fwd_20,0.923377232,3.4832525,5.577531628,8.343271648,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_chemprop_direct_preds_fwd_40,0.923896862,3.475095,5.565672484,8.313132003,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_chemprop_direct_preds_fwd_60,0.923721402,3.495175,5.566916825,8.3165403,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_chemprop_direct_preds_fwd_80,0.923374377,3.50647,5.583926911,8.336607613,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_100,0.923326779,3.4958025,5.578278143,8.333812167,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_20,0.924941455,3.457525,5.529824847,8.281332346,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_40,0.924305913,3.48293875,5.559904391,8.311372643,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_60,0.92324683,3.495175,5.583899102,8.338180874,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_80,0.923298081,3.49643,5.581555777,8.334390853,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_rev_100,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_rev_20,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_fwd_chemprop_direct_preds_rev_40,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
