preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_100,0.994391822,1.281452037,1.67142348,2.231440286,0.913143363,4.382301232,6.289118462,8.810411437
mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_20,0.993973617,1.33022494,1.732544221,2.311934503,0.914023794,4.191397179,6.160619702,8.778404271
mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_40,0.994111334,1.34186706,1.730671987,2.297924271,0.915121219,4.151916182,6.155069871,8.743468386
mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_60,0.994639658,1.244311953,1.636480276,2.1962783,0.915968068,4.271939833,6.160202439,8.684730345
mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_80,0.993610646,1.391603576,1.794661416,2.380470176,0.91353059,4.253478802,6.232789357,8.785125911
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_100,0.990631511,1.388587778,2.033560651,2.893062327,0.917172734,4.093123137,6.025574175,8.588443195
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_20,0.995403726,0.675264662,1.280613771,2.022612524,0.914311023,4.205950512,6.210408248,8.779971573
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_40,0.992823709,1.036134604,1.6880878,2.524655204,0.913107856,4.277379546,6.270149801,8.85164647
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_60,0.992059624,1.209120217,1.841357208,2.675353068,0.913165882,4.417569645,6.293088098,8.833933124
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_80,0.990983933,1.31298429,1.96266913,2.827523824,0.91588707,4.24926473,6.165204019,8.664598207
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_100,0.970357699,3.021242117,3.983815348,5.370547131,0.921478736,4.458157482,6.224482751,8.734261677
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_20,0.930480314,3.996727596,5.805122679,8.257484491,0.918798469,4.705692503,6.459384339,8.933674867
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_40,0.940994011,3.693852965,5.311338278,7.584500004,0.916261941,4.626562014,6.507918039,9.062087415
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_60,0.951151533,3.416297929,4.830159494,6.888032752,0.916725624,4.587483581,6.460284736,9.024069211
mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_80,0.960792746,3.238655527,4.428905552,6.172077546,0.920004655,4.477106008,6.30122878,8.821118569
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_100,0.927179671,3.261745,5.343066012,8.106337264,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_20,0.926933758,3.2485675,5.325482094,8.113939432,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_40,0.928232018,3.274295,5.334215239,8.093886553,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_60,0.928837063,3.2397825,5.312252044,8.081213314,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_80,0.927711779,3.2598625,5.319060403,8.08175683,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_100,0.926179213,3.281825,5.376276724,8.181528214,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_20,0.930963904,3.1626,5.197715111,7.918284526,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_40,0.929164874,3.234135,5.272154579,7.991963,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_60,0.928963331,3.2837075,5.330440053,8.067947085,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_80,0.926624339,3.2598625,5.343256306,8.135616911,0.926179213,3.281825,5.376276724,8.181528214
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_100,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_20,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_40,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_60,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_80,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_100,0.928398665,3.14001,5.23198266,8.065330562,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_20,0.92791249,3.1481675,5.254899903,8.098369479,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_40,0.929184781,3.08981,5.187885434,8.026034864,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_60,0.928361746,3.1481675,5.236765752,8.066161328,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_80,0.928033871,3.16009,5.252767039,8.085624491,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_100,0.926482987,3.259235,5.354731577,8.165118235,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_20,0.934575285,2.7126825,4.831450767,7.740754707,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_40,0.930630802,3.0050975,5.103313405,7.962789091,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_60,0.928041766,3.146285,5.244159919,8.08054204,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_80,0.927105545,3.2184475,5.311846218,8.130532228,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_100,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_20,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_40,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_60,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_mr_mr_ea_concat_fwd_xgb_delta_preds_rev_80,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_stratified_k_fold_mr_mr_ea_concat_combined_xgb_delta_preds_fwd_100,0.928493599,3.1167925,5.219591171,8.060329131,0.923360231,3.49643,5.577862902,8.33364327
