preds_json_name,r2_train,median_ae_train,mae_train,rmse_train,r2_test,median_ae_test,mae_test,rmse_test
mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_20,0.878925378,5.004703108,7.340993521,10.6948036,0.048945361,20.16942471,23.4830598,29.21425595
mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_40,0.881360979,4.904133436,7.28349567,10.61468855,0.024726918,20.32737378,23.86537015,29.70322672
mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_60,0.885830961,4.970275098,7.246706377,10.42836921,0.020673783,20.07922099,23.89221281,29.82829017
mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_80,0.87614737,4.933592488,7.358796295,10.7781729,0.032909363,20.26710504,23.88487663,29.65363659
mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_100,0.878435077,5.053897244,7.387256474,10.7151611,0.046848879,20.06087733,23.51913327,29.25902723
MR_surrogate_mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_20,0.924171381,3.447485,5.522330259,8.262538288,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_40,0.925521174,3.48639,5.532181979,8.242711011,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_60,0.926129618,3.44874,5.509670168,8.230003786,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_80,0.92496526,3.4619175,5.516537451,8.230412521,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_combined_xgb_direct_preds_fwd_100,0.924451014,3.462545,5.540987826,8.25511251,0.923326779,3.4958025,5.578278143,8.333812167
mr_scaffold_k_fold_fwd_xgb_direct_preds_20,0.981214129,1.946140305,2.595626599,4.086208601,0.017797769,20.63782723,24.10142532,29.80944065
mr_scaffold_k_fold_fwd_xgb_direct_preds_40,0.975320804,2.101344897,2.864312814,4.680650031,0.023445498,20.98808068,24.1379214,29.59884281
mr_scaffold_k_fold_fwd_xgb_direct_preds_60,0.974109956,2.135106474,2.922622954,4.829587212,0.034075214,20.43647675,23.76341209,29.4416592
mr_scaffold_k_fold_fwd_xgb_direct_preds_80,0.971693649,2.146816907,2.978312218,5.009647279,0.040578499,20.26913275,23.66499155,29.27422691
mr_scaffold_k_fold_fwd_xgb_direct_preds_100,0.966374746,2.177482286,3.072475368,5.48115828,0.044990233,20.12914049,23.58007448,29.24250743
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_20,0.928419121,3.3677925,5.384251116,8.059118108,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_40,0.926561039,3.43117,5.464694726,8.136588452,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_60,0.92630618,3.4907825,5.52685862,8.215248163,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_80,0.923825013,3.4619175,5.543297511,8.286508513,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_100,0.923326779,3.4958025,5.578278143,8.333812167,0.923326779,3.4958025,5.578278143,8.333812167
mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_20,0.211854907,17.35878288,21.69032567,28.18589627,0.023054575,21.74787796,25.47057386,31.41208989
mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_40,0.31537356,15.6036495,20.03324971,26.54323625,0.033844458,21.95186531,25.39279163,31.21955174
mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_60,0.405195335,13.32687348,18.2362991,25.02406482,0.042707336,21.38586977,25.21346314,31.25623616
mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_80,0.510698858,11.32883205,16.25413563,22.82541662,0.050397539,21.23981446,25.08750619,31.06415645
mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_100,0.619905386,9.524337565,14.17509827,20.42059107,0.058061573,21.48195304,25.17184178,30.9946623
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_20,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_40,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_60,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_80,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
MR_surrogate_mr_scaffold_k_fold_fwd_xgb_direct_preds_rev_100,0.92983975,3.693465,5.644097564,8.327782225,0.92983975,3.693465,5.644097564,8.327782225
random_k_fold_combined_xgb_direct_preds_fwd_20,0.87268535,4.932029213,7.420196791,10.99257252,0.776700896,8.527375457,10.81127892,14.45818622
random_k_fold_combined_xgb_direct_preds_fwd_40,0.872534798,4.923878928,7.40585226,11.00298029,0.765627258,8.608724902,11.03059001,14.81476037
random_k_fold_combined_xgb_direct_preds_fwd_60,0.872113347,4.920806436,7.407666898,11.00145399,0.773574881,8.47617134,10.87727272,14.57843233
random_k_fold_combined_xgb_direct_preds_fwd_80,0.87357134,4.868623103,7.38199418,10.95028001,0.777420703,8.329300831,10.74615967,14.43553629
random_k_fold_combined_xgb_direct_preds_fwd_100,0.873730744,4.904195901,7.386479099,10.93950557,0.774820008,8.348754716,10.78929273,14.52598995
MR_surrogate_random_k_fold_combined_xgb_direct_preds_fwd_20,0.923377232,3.4832525,5.577531628,8.343271648,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_xgb_direct_preds_fwd_40,0.923896862,3.475095,5.565672484,8.313132003,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_xgb_direct_preds_fwd_60,0.923721402,3.495175,5.566916825,8.3165403,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_xgb_direct_preds_fwd_80,0.923374377,3.50647,5.583926911,8.336607613,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_combined_xgb_direct_preds_fwd_100,0.923636281,3.487645,5.570932948,8.322484397,0.923326779,3.4958025,5.578278143,8.333812167
random_k_fold_fwd_xgb_direct_preds_20,0.956415069,2.942652405,3.914289056,6.319189317,0.800843865,7.288604715,9.726017995,13.43925238
random_k_fold_fwd_xgb_direct_preds_40,0.962175942,2.527453464,3.471820776,5.851622298,0.859674657,5.717462346,7.945993147,11.28946913
random_k_fold_fwd_xgb_direct_preds_60,0.964807575,2.331133203,3.239019272,5.615549106,0.87885672,5.189879005,7.259678223,10.47041763
random_k_fold_fwd_xgb_direct_preds_80,0.964506155,2.247107363,3.160120765,5.634319981,0.88918265,4.842655676,6.87770418,10.01625928
random_k_fold_fwd_xgb_direct_preds_100,0.965367742,2.20097292,3.108403109,5.564490226,0.89447656,4.770355662,6.710985963,9.775075689
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_20,0.924941455,3.457525,5.529824847,8.281332346,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_40,0.924305913,3.48293875,5.559904391,8.311372643,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_60,0.92324683,3.495175,5.583899102,8.338180874,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_80,0.923298081,3.49643,5.581555777,8.334390853,0.923326779,3.4958025,5.578278143,8.333812167
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_100,0.923326779,3.4958025,5.578278143,8.333812167,0.923326779,3.4958025,5.578278143,8.333812167
random_k_fold_fwd_xgb_direct_preds_rev_20,0.554891199,11.82738541,15.82330284,21.58951547,0.536680743,12.71494683,16.32841987,21.90897225
random_k_fold_fwd_xgb_direct_preds_rev_40,0.590476165,10.83232623,14.99958829,20.87949518,0.571542668,11.841053,15.6214029,21.19095299
random_k_fold_fwd_xgb_direct_preds_rev_60,0.603225366,10.28562281,14.64458862,20.66389002,0.578544754,11.41070141,15.37783922,21.064091
random_k_fold_fwd_xgb_direct_preds_rev_80,0.611698745,9.868289563,14.39735064,20.54225596,0.582994278,11.19793211,15.2264909,20.97046409
random_k_fold_fwd_xgb_direct_preds_rev_100,0.619096369,9.499476405,14.19023808,20.43366089,0.583760139,11.22135141,15.20610575,20.96763731
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_rev_20,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_rev_40,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_rev_60,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_rev_80,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
MR_surrogate_random_k_fold_fwd_xgb_direct_preds_rev_100,0.93011511,3.67464,5.62147914,8.311078899,0.927258791,3.88453875,5.856161746,8.482788426
stratified_k_fold_combined_xgb_direct_preds_fwd_20,0.872176313,4.935362154,7.419287465,10.98814754,0.78556659,8.150035505,10.55762408,14.17461646
stratified_k_fold_combined_xgb_direct_preds_fwd_40,0.872791372,4.90977137,7.391825631,10.95966559,0.778724029,8.359888087,10.76815123,14.42748741
stratified_k_fold_combined_xgb_direct_preds_fwd_60,0.872615293,4.920620397,7.413107552,10.96602173,0.778665993,8.32000375,10.73176106,14.41525582
stratified_k_fold_combined_xgb_direct_preds_fwd_80,0.872568704,4.88748401,7.406059581,10.97756911,0.781261495,8.326409961,10.6890893,14.31665914
stratified_k_fold_combined_xgb_direct_preds_fwd_100,0.873165286,4.905951278,7.395260599,10.95126612,0.779132689,8.373517579,10.72654099,14.39270317
MR_surrogate_stratified_k_fold_combined_xgb_direct_preds_fwd_20,0.92327427,3.51149,5.582816541,8.334884564,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_combined_xgb_direct_preds_fwd_40,0.923762427,3.4832525,5.565292651,8.304218499,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_combined_xgb_direct_preds_fwd_60,0.923150861,3.487645,5.577725745,8.340929062,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_combined_xgb_direct_preds_fwd_80,0.923584443,3.497685,5.568927532,8.320910312,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_combined_xgb_direct_preds_fwd_100,0.923502082,3.475095,5.571591305,8.32768248,0.923360231,3.49643,5.577862902,8.33364327
stratified_k_fold_fwd_xgb_direct_preds_20,0.956530378,2.984357171,3.956282333,6.261305466,0.810150819,7.21152282,9.574078724,13.10764806
stratified_k_fold_fwd_xgb_direct_preds_40,0.962941926,2.535347349,3.458082761,5.770582099,0.870909374,5.505458296,7.654528047,10.85750916
stratified_k_fold_fwd_xgb_direct_preds_60,0.964359489,2.327084383,3.252762483,5.650234361,0.885483411,5.019467646,7.071115546,10.18572721
stratified_k_fold_fwd_xgb_direct_preds_80,0.965025316,2.246782811,3.159320622,5.596295463,0.89357195,4.830643809,6.783517001,9.821890439
stratified_k_fold_fwd_xgb_direct_preds_100,0.965293507,2.212188809,3.114917906,5.57122905,0.898298412,4.701617231,6.595444836,9.592966211
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_20,0.923125085,3.46882,5.561611754,8.314558477,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_40,0.923658231,3.48168375,5.566200028,8.310985258,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_60,0.923382784,3.50647,5.581243804,8.334881546,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_80,0.923580343,3.4945475,5.571230938,8.32387004,0.923360231,3.49643,5.577862902,8.33364327
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_100,0.923360231,3.49643,5.577862902,8.33364327,0.923360231,3.49643,5.577862902,8.33364327
stratified_k_fold_fwd_xgb_direct_preds_rev_20,0.558185717,11.91312674,15.85591957,21.52860627,0.54063168,12.54737191,16.39115965,21.87959582
stratified_k_fold_fwd_xgb_direct_preds_rev_40,0.592662213,10.84428257,14.98508359,20.83229654,0.572923533,11.61693148,15.55093319,21.17002505
stratified_k_fold_fwd_xgb_direct_preds_rev_60,0.604919173,10.28286573,14.63324722,20.62935234,0.580996478,11.4150814,15.32033033,21.01884662
stratified_k_fold_fwd_xgb_direct_preds_rev_80,0.612353565,9.918460698,14.40313198,20.52393061,0.582738584,11.20071016,15.25756187,20.99419843
stratified_k_fold_fwd_xgb_direct_preds_rev_100,0.61864796,9.525407697,14.20352142,20.44233824,0.586207113,11.16955724,15.1799304,20.93625212
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_rev_20,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_rev_40,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_rev_60,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_rev_80,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
MR_surrogate_stratified_k_fold_fwd_xgb_direct_preds_rev_100,0.930111459,3.67464,5.621568842,8.311050488,0.927291893,3.8835975,5.855534654,8.483205229
