smi,h,f,spe,zpe,u
CC(CN(CO)CNC=O)=NO,-625.88532501651,-625.93862901651,-626.10829601651,-625.89936201651,-625.88627001651
C=C(CN(C)C=O)C(CN)C(N)=O,-628.08487708571,-628.1407670857101,-628.33890908571,-628.09995608571,-628.08582108571
C=CC(=C)C(O)CC,-348.79397412959,-348.83810412959,-348.97951812959,-348.80428912959,-348.79491812959003
N#CNC=NC(=O)OC1CCCNN1,-697.03860452708,-697.0940215270799,-697.25233152708,-697.05270852708,-697.03954852708
N=CNC(=N)N(NN)NN(C=O)C=O,-746.32268311231,-746.37937811231,-746.52315211231,-746.33779111231,-746.32362711231
C=C(C)C(=O)OC=O,-419.53928145334,-419.58284745334,-419.65247745334,-419.54868545334,-419.54022645334
CC(=O)OC(=O)C(C)(C)C(=N)C(C)(O)C(N)N,-857.0198408977001,-857.0851238977001,-857.3420778977,-857.0396398977,-857.0207848977001
C=NNC(N)C(=CNC=NC)C(C)C,-627.47557344451,-627.53916844451,-627.78163144451,-627.49363644451,-627.47651844451
C=C1CO1,-191.71702352653,-191.74770152653,-191.78321852653,-191.72193452653,-191.71796752653
CCCN(CC=O)COC(C)=O,-593.81746783896,-593.8740568389601,-594.06206783896,-593.8323618389601,-593.8184118389601
NC=NC1=CC=NN=C1,-412.80309766527,-412.84524566527,-412.92617566527,-412.81196266527,-412.80404266527
CC(=O)NN=C(C)C(O)=CCCNC=O,-741.34140769347,-741.40478769347,-741.60469769347,-741.35920969347,-741.34235169347
NC(=O)N=C(O)O,-413.63836092318,-413.67640792318,-413.72409992318,-413.64585692318,-413.63930492318
CN=CC=CON=CC1=CN=CC=N1,-642.614916264,-642.672852264,-642.813602264,-642.6292762639999,-642.615860264
CNC(O)C(NN1COC1)C(N)(N)N,-717.76514880832,-717.82453380832,-718.06188980832,-717.78152080832,-717.76609280832
CC(CN=O)C(C)(CN1CN1)C(=O)O,-703.13861534197,-703.19587434197,-703.39523134197,-703.15441334197,-703.13955934197
CC=NOCC(=O)C(=O)CC=NO,-682.58510625365,-682.6417312536499,-682.77423925365,-682.60001125365,-682.58605025365
N=CNCNCN=N,-393.10808427899,-393.15154127899,-393.26116527899,-393.11770427899,-393.10902827899
C=NC(=C)O,-247.07125836468,-247.10554936468,-247.15536236468,-247.07752436468,-247.07220236468
O=CCN(CO)CN1CNC1,-550.6469598178,-550.6950928178001,-550.8646438178,-550.6587338178,-550.6479048178
C=NN(C)O,-264.24063079589,-264.27627479589,-264.33606679589,-264.24757379589,-264.24157479589
NC(=O)CC(=O)NC=O,-490.96791143441,-491.01318143441,-491.08973143441,-490.97796743441,-490.96885543441
CN=CC=C(C=CC(C)=NC)OC=O,-648.84610724733,-648.9117992473299,-649.09031724733,-648.8634292473299,-648.84705124733
CCOCN=C=O,-361.56844596001,-361.61073496001,-361.68993496001,-361.57717396001004,-361.56938996001
N=CN=C=O,-261.98616151348,-262.01973551348,-262.03686951348,-261.99184051348,-261.98710651348
C=C=C(C)C,-195.05946746171,-195.09599246170998,-195.17870746171,-195.06681546170998,-195.06041146171
CNNCC(C)C(=O)N(C)NC=N,-625.34846713887,-625.40705413887,-625.62619913887,-625.36458713887,-625.34941113887
NC=NC=C(CC=CC1=NOC=C1)C(N)=O,-757.13814335034,-757.1995713503401,-757.37416435034,-757.15466235034,-757.13908735034
CC(C)C(=O)CN,-326.81138610600004,-326.855235106,-326.980028106,-326.821266106,-326.81233010600005
C=C(N)N(C)CN,-322.95491499249,-322.99670699249003,-323.12513899249,-322.96421099249,-322.95585899249
C#CCN(C)C=O,-324.39157629666,-324.43281929666,-324.51200129666,-324.40035829666,-324.39252029666
C=CC(=O)NC(=O)NC=O,-529.0252093678099,-529.07200336781,-529.15280636781,-529.03594836781,-529.0261533678099
CNC1(C)NC1(N)N=N,-432.34899308022,-432.39457308022,-432.53013608022,-432.36002708022,-432.34993808022
