smi,h,f,spe,zpe,u
CC(CN(CO)CNC=O)=NO,-626.1726740189999,-626.225978019,-626.395645019,-626.186711019,-626.173619019
C=C(CN(C)C=O)C(CN)C(N)=O,-628.390633893,-628.4465238930001,-628.644665893,-628.405712893,-628.391577893
C=CC(=C)C(O)CC,-348.98361572100004,-349.02774572100003,-349.169159721,-348.993930721,-348.98455972100004
N#CNC=NC(=O)OC1CCCNN1,-697.347284282,-697.402701282,-697.561011282,-697.361388282,-697.348228282
N=CNC(=N)N(NN)NN(C=O)C=O,-746.637886886,-746.694581886,-746.838355886,-746.6529948860001,-746.638830886
C=C(C)C(=O)OC=O,-419.716286251,-419.759852251,-419.829482251,-419.725690251,-419.717231251
CC(=O)OC(=O)C(C)(C)C(=N)C(C)(O)C(N)N,-857.419814267,-857.485097267,-857.742051267,-857.4396132669999,-857.420758267
C=NNC(N)C(=CNC=NC)C(C)C,-627.806749319,-627.870344319,-628.112807319,-627.824812319,-627.807694319
C=C1CO1,-191.809652385,-191.840330385,-191.875847385,-191.81456338499999,-191.810596385
CCCN(CC=O)COC(C)=O,-594.108495587,-594.165084587,-594.353095587,-594.123389587,-594.109439587
NC=NC1=CC=NN=C1,-412.986489282,-413.028637282,-413.109567282,-412.995354282,-412.987434282
CC(=O)NN=C(C)C(O)=CCCNC=O,-741.686674382,-741.7500543819999,-741.949964382,-741.7044763819999,-741.687618382
NC(=O)N=C(O)O,-413.799545308,-413.837592308,-413.885284308,-413.807041308,-413.800489308
CN=C(CC(C=NN(C(C)=O)C(C)=O)=C(N)NO)N(C)C,-1024.30529781,-1024.3847328099998,-1024.68644781,-1024.33038881,-1024.30624281
CN=CC=CON=CC1=CN=CC=N1,-642.9009944530001,-642.958930453,-643.099680453,-642.915354453,-642.9019384530001
CNC(O)C(NN1COC1)C(N)(N)N,-718.115379308,-718.174764308,-718.412120308,-718.131751308,-718.116323308
CC(CN=O)C(C)(CN1CN1)C(=O)O,-703.470459962,-703.527718962,-703.727075962,-703.486257962,-703.471403962
CC=NOCC(=O)C(=O)CC=NO,-682.876302501,-682.932927501,-683.065435501,-682.891207501,-682.8772465010001
N=CNCNCN=N,-393.296227672,-393.339684672,-393.449308672,-393.30584767199997,-393.297171672
C=NC(=C)O,-247.182517525,-247.216808525,-247.266621525,-247.188783525,-247.183461525
O=CCN(CO)CN1CNC1,-550.9147735370001,-550.9629065370001,-551.132457537,-550.926547537,-550.9157185370001
C=NN(C)O,-264.36204796,-264.39769196,-264.45748396,-264.36899095999996,-264.36299196
NC(=O)CC(=O)NC=O,-491.171746204,-491.217016204,-491.293566204,-491.181802204,-491.172690204
CN=CC=C(C=CC(C)=NC)OC=O,-649.151110699,-649.2168026989999,-649.395320699,-649.1684326989999,-649.152054699
CCOCN=C=O,-361.731197284,-361.773486284,-361.852686284,-361.73992528400004,-361.732141284
N=CN=C=O,-262.087893865,-262.121467865,-262.138601865,-262.093572865,-262.088838865
C=C=C(C)C,-195.176033373,-195.21255837299998,-195.295273373,-195.18338137299997,-195.176977373
CNNCC(C)C(=O)N(C)NC=N,-625.6654424019999,-625.7240294019999,-625.943174402,-625.6815624019999,-625.666386402
NC=NC=C(CC=CC1=NOC=C1)C(N)=O,-757.4776771679999,-757.539105168,-757.713698168,-757.4941961679999,-757.4786211679999
CC(C)C(=O)CN,-326.98771951000003,-327.03156851,-327.15636151,-326.99759951,-326.98866351000004
C=C(N)N(C)CN,-323.12908395299996,-323.170875953,-323.299307953,-323.13837995299997,-323.13002795299997
C#CCN(C)C=O,-324.544695205,-324.585938205,-324.665120205,-324.553477205,-324.545639205
C=CC(=O)NC(=O)NC=O,-529.243580699,-529.290374699,-529.371177699,-529.254319699,-529.244524699
CNC1(C)NC1(N)N=N,-432.56396431499996,-432.609544315,-432.745107315,-432.57499831499996,-432.56490931499997
C=C(OC1C=CC=C1)N(CC1CNCCO1)N(C)C,-861.564729675,-861.6324116750001,-861.948534675,-861.584397675,-861.565673675
CCN(NC(O)CC1=CC=CN=N1)C(=O)OC=O,-909.137791592,-909.203317592,-909.408921592,-909.1559165919999,-909.138735592
C=CCC(=N)C(C)=N,-343.960013971,-344.004681971,-344.122678971,-343.96997997100004,-343.960957971
O=CNN=CO,-338.49048329699997,-338.526027297,-338.570069297,-338.496867297,-338.491427297
C=C(CCO)OC1CCC1,-463.485836407,-463.534255407,-463.707905407,-463.497367407,-463.486780407
C=C(C)OC,-232.331253631,-232.367134631,-232.451202631,-232.338286631,-232.332197631
CC(C=CC1CCONC1)C(=N)COC1CNCO1,-898.726740253,-898.793329253,-899.113708253,-898.745999253,-898.727684253
C=C(CC(=O)NC(C)=O)CN(C=O)C(C)=O,-799.729633126,-799.792586126,-799.986748126,-799.747496126,-799.730577126
CN=C(C)C=N,-266.58817705800004,-266.628602058,-266.714512058,-266.59657805800003,-266.58912105800005
C=CN(CN(C(C)=O)C(C)=O)C(N)C(N)=NC(=N)N(C)C,-1004.50424457,-1004.58279757,-1004.90017357,-1004.52904357,-1004.50518857
C=CN(CN=C(C)C)CNC=N,-533.210640273,-533.266357273,-533.468863273,-533.225533273,-533.211584273
C=C(COC(C)=O)CC(=N)C(N)=NC1COCCO1,-933.558373877,-933.627320877,-933.894869877,-933.578426877,-933.559317877
CC(O)N(C)C=N,-343.032054652,-343.074170652,-343.189151652,-343.041219652,-343.032999652
C=C(C(=O)O)C(C)C(=O)O,-534.266996529,-534.314799529,-534.417405529,-534.278171529,-534.267940529
CC(=O)C(C)=O,-306.397742822,-306.437700822,-306.498780822,-306.40590282200003,-306.398686822
