rxn,h,f,spe,zpe,u
MR_34479_2,-311.41978047991,-311.46971947991,-311.59572147991,-311.43232647991005,-311.42072447991
MR_257123_2,-384.04035755798,-384.08766355797997,-384.24996555798,-384.05233655797997,-384.04130155798
MR_61644_1,-421.30602867102,-421.34913767102,-421.51599367102,-421.31622767102,-421.30697267102
MR_427011_2_49_4_7_6_7,-702.8613087180299,-702.92244271803,-703.09575871803,-702.8782387180299,-702.8622527180299
MR_553628_0_12_1_6_5_6,-830.3271070994,-830.3913520994,-830.5447290994,-830.3451690994,-830.3280510994
MR_486880_1_16_2_11_2_9,-836.31422021498,-836.39350821498,-836.69312021498,-836.3393972149801,-836.31516421498
MR_392954_1_41_3_6_8_45,-820.7712746949001,-820.8368576949,-821.1092776949,-820.7904046949,-820.7722186949001
MR_557599_2_20_2_6_6_7,-792.6312214689799,-792.70585546898,-792.90515946898,-792.65362546898,-792.6321654689799
MR_421_1_22_2_2_8_53,-727.87025744964,-727.9413474496399,-728.24676544964,-727.89120244964,-727.8712014496399
MR_155791_0_4_1_2_5_3,-931.41677129351,-931.4868462935101,-931.65923529351,-931.43697529351,-931.41771529351
MR_680410_2_50_4_4_7_1,-630.00151552336,-630.0604785233601,-630.27420652336,-630.01722852336,-630.00245952336
MR_251284_1_67_7_1_8_46,-864.89516974616,-864.96570774616,-865.26914374616,-864.91572474616,-864.89611374616
MR_255471_0,-377.50884645597,-377.55460445597,-377.60965345597,-377.51896745596997,-377.50979045596995
MR_10180_2_62_6_1_8_16,-681.0665278139801,-681.12310181398,-681.30005981398,-681.08167381398,-681.0674718139801
MR_392644_1,-286.24727493881,-286.28431793881,-286.35842493881,-286.25458693881,-286.24821893881
MR_428485_0_41_3_3_8_12,-718.5240343538601,-718.58308135386,-718.82146835386,-718.5407063538601,-718.5249783538601
MR_290528_1_20_5_1,-568.4652229069201,-568.51544590692,-568.63891990692,-568.47741690692,-568.4661679069201
MR_215193_2_50_4_8_7_17,-642.44904770417,-642.5091777041699,-642.63542670417,-642.46479770417,-642.44999170417
MR_326361_0_7_1_3_8_27,-907.14925624436,-907.21547824436,-907.46502724436,-907.16855924436,-907.15020024436
MR_236950_1_7_1_1_8_37,-952.9404576539499,-953.00883265395,-953.26226465395,-952.9600476539499,-952.9414016539499
MR_672934_0_32_3_1_5_2,-587.39441783888,-587.44724083888,-587.58508983888,-587.40815283888,-587.39536183888
MR_421974_1_61_6_8_7_8,-805.20807262451,-805.27039662451,-805.40147362451,-805.22446362451,-805.20901662451
MR_140587_1_39_3_4_6_5,-738.40743557773,-738.47180557773,-738.68741257773,-738.42591857773,-738.40838057773
MR_658763_1_35_3_1_8_34,-816.36129460252,-816.41883960252,-816.62477760252,-816.37705660252,-816.36223860252
MR_327126_0_45_4_11_7_19,-777.9688390105499,-778.0346810105499,-778.20558801055,-777.98776201055,-777.9697830105499
MR_454518_2,-401.87817116342,-401.92313016342,-402.04679716342,-401.88874216342003,-401.87911516342
MR_613702_0,-396.90019613452,-396.94424913452,-397.04820213452,-396.91026513452,-396.90114013452
MR_382352_0_64_6_8_7_16,-832.28446528311,-832.3501722831099,-832.51956228311,-832.3024982831099,-832.28540928311
MR_487668_0,-364.72411396519,-364.76647996519,-364.89243496519,-364.73383796519,-364.72505796519
MR_603940_0_68_7_5_7_12,-853.68169750158,-853.75372350158,-853.98869850158,-853.70244950158,-853.68264150158
MR_38962_2,-291.8841816235,-291.9281466235,-292.0940816235,-291.89495562350004,-291.8851256235
MR_379063_1_58_5_5_7_8,-889.914639724,-889.981412724,-890.217142724,-889.934237724,-889.915583724
MR_256516_2_64_6_5_7_9,-706.21497482578,-706.27729482578,-706.50487082578,-706.23192482578,-706.21591982578
MR_588742_1_53_5_3_6_2,-867.33400762098,-867.4008426209799,-867.54015062098,-867.35285962098,-867.33495262098
MR_21120_2_17_2_8_3_4,-779.4937557950301,-779.5600427950301,-779.77061379503,-779.5125917950301,-779.4946997950301
MR_8441_1,-156.87611546586,-156.90929946586002,-156.98391546586,-156.88213146586,-156.87705946586001
MR_185035_2_55_5_3_8_38,-783.66995801403,-783.74014201403,-784.01151401403,-783.69074601403,-783.67090301403
MR_129005_0_48_4_3_5_4,-587.6640697706899,-587.71604677069,-587.78712177069,-587.67625077069,-587.6650147706899
MR_675680_2_35_3_5_8_5,-792.6491943444901,-792.7163813444901,-792.93526934449,-792.66876334449,-792.6501383444901
MR_112898_0_10_1_1_3_1,-734.50235369524,-734.5605166952399,-734.65037269524,-734.51700769524,-734.50329769524
MR_454026_0_37_3_1_4_10,-681.93150319962,-681.99563419962,-682.16647819962,-681.94946719962,-681.93244719962
MR_688429_0,-454.84418609348,-454.88828609348,-454.98352109348,-454.85450709348004,-454.84513009348
MR_278023_1_51_4_5_8_27,-835.2199744724701,-835.28628047247,-835.58377847247,-835.23957747247,-835.2209184724701
MR_530876_0_46_4_7_8_30,-832.80212025047,-832.86710125047,-833.11810725047,-832.82076525047,-832.80306425047
MR_292167_1,-474.92174628954,-474.96631128954,-475.06571228954,-474.93190628954,-474.92269028954
MR_127568_1_6_7_10,-590.10009662105,-590.1511446210501,-590.26873062105,-590.1124726210501,-590.1010416210501
MR_14799_1_62_6_8_8_56,-680.81342812465,-680.8741631246501,-681.03042612465,-680.82933312465,-680.81437212465
MR_438654_1,-380.78548202762005,-380.82923702762,-380.94448702762,-380.79554202762,-380.78642702762005
MR_267942_1,-343.18795515331,-343.22559115331,-343.28359315331,-343.19544215331,-343.18889915331
MR_123876_0_36_3_6_3_3,-644.26345287661,-644.31907087661,-644.43637187661,-644.27795387661,-644.26439687661
MR_492961_0_48_4_2_5_3,-630.02588359473,-630.08397859473,-630.30173059473,-630.04235259473,-630.02682759473
MR_576145_1_44_4_9_6_1,-743.48965211566,-743.55286811566,-743.79209911566,-743.50865311566,-743.49059611566
MR_73981_0_61_6_3_7_6,-831.91368023283,-831.98126623283,-832.22226823283,-831.93295623283,-831.91462423283
MR_277852_0,-380.70784844294,-380.75459544294,-380.86162944294,-380.71887244294,-380.70879244294
MR_602445_1_45_4_7_7_15,-693.99324215184,-694.05693015184,-694.20281815184,-694.01073015184,-693.99418615184
MR_588139_2_52_5_12_5_3,-760.09774102461,-760.16001302461,-760.33381202461,-760.11582802461,-760.09868502461
MR_473437_1,-489.57119149939,-489.61337149939,-489.66280649939,-489.58032649939,-489.57213549939
