rxn,h,f,spe,zpe,u
MR_34479_2,-311.582774204,-311.63271320399997,-311.758715204,-311.595320204,-311.583718204
MR_257123_2,-384.233220639,-384.280526639,-384.442828639,-384.245199639,-384.234164639
MR_61644_1,-421.529571754,-421.57268075400003,-421.739536754,-421.539770754,-421.530515754
MR_427011_2_49_4_7_6_7,-703.179270346,-703.240404346,-703.413720346,-703.196200346,-703.180214346
MR_553628_0_12_1_6_5_6,-830.632701834,-830.6969468340001,-830.850323834,-830.650763834,-830.633645834
MR_486880_1_16_2_11_2_9,-836.7295006319999,-836.808788632,-837.108400632,-836.754677632,-836.730444632
MR_392954_1_41_3_6_8_45,-821.159458094,-821.225041094,-821.497461094,-821.1785880939999,-821.160402094
MR_557599_2_20_2_6_6_7,-792.953101479,-793.0277354790001,-793.227039479,-792.975505479,-792.954045479
MR_421_1_22_2_2_8_53,-728.2666425990001,-728.337732599,-728.643150599,-728.2875875990001,-728.267586599
MR_155791_0_4_1_2_5_3,-931.787918547,-931.8579935470001,-932.030382547,-931.808122547,-931.788862547
MR_680410_2_50_4_4_7_1,-630.321206337,-630.3801693370001,-630.593897337,-630.336919337,-630.322150337
MR_251284_1_67_7_1_8_46,-865.33565173,-865.4061897299999,-865.70962573,-865.3562067299999,-865.33659573
MR_255471_0,-377.666063947,-377.711821947,-377.766870947,-377.67618494699997,-377.66700794699995
MR_10180_2_62_6_1_8_16,-681.3778656110001,-681.434439611,-681.611397611,-681.393011611,-681.3788096110001
MR_392644_1,-286.378683137,-286.415726137,-286.489833137,-286.385995137,-286.379627137
MR_428485_0_41_3_3_8_12,-718.8581800630001,-718.917227063,-719.155614063,-718.874852063,-718.8591240630001
MR_290528_1_20_5_1,-568.705877202,-568.756100202,-568.879574202,-568.7180712019999,-568.706822202
MR_215193_2_50_4_8_7_17,-642.694468249,-642.754598249,-642.880847249,-642.710218249,-642.695412249
MR_326361_0_7_1_3_8_27,-907.544264839,-907.610486839,-907.860035839,-907.563567839,-907.545208839
MR_236950_1_7_1_1_8_37,-953.378617427,-953.446992427,-953.700424427,-953.398207427,-953.379561427
MR_672934_0_32_3_1_5_2,-587.6574855570001,-587.7103085570001,-587.848157557,-587.6712205570001,-587.6584295570001
MR_421974_1_61_6_8_7_8,-805.543432026,-805.605756026,-805.736833026,-805.559823026,-805.544376026
MR_140587_1_39_3_4_6_5,-738.728798251,-738.793168251,-739.008775251,-738.747281251,-738.729743251
MR_658763_1_35_3_1_8_34,-816.728973761,-816.786518761,-816.992456761,-816.744735761,-816.729917761
MR_327126_0_45_4_11_7_19,-778.277296097,-778.343138097,-778.514045097,-778.2962190970001,-778.278240097
MR_454518_2,-402.071002026,-402.115961026,-402.239628026,-402.081573026,-402.071946026
MR_613702_0,-397.08593726099997,-397.129990261,-397.233943261,-397.09600626099996,-397.086881261
MR_382352_0_64_6_8_7_16,-832.644258601,-832.709965601,-832.879355601,-832.662291601,-832.645202601
MR_487668_0,-364.907906266,-364.950272266,-365.076227266,-364.917630266,-364.908850266
MR_603940_0_68_7_5_7_12,-854.069038883,-854.141064883,-854.376039883,-854.089790883,-854.069982883
MR_38962_2,-292.062684129,-292.106649129,-292.272584129,-292.073458129,-292.063628129
MR_379063_1_58_5_5_7_8,-890.318569258,-890.385342258,-890.621072258,-890.338167258,-890.319513258
MR_256516_2_64_6_5_7_9,-706.568328066,-706.630648066,-706.858224066,-706.585278066,-706.569273066
MR_588742_1_53_5_3_6_2,-867.683004024,-867.7498390239999,-867.889147024,-867.701856024,-867.683949024
MR_21120_2_17_2_8_3_4,-779.8455588840001,-779.9118458840001,-780.122416884,-779.864394884,-779.8465028840001
MR_8441_1,-156.960414836,-156.99359883600002,-157.068214836,-156.966430836,-156.96135883600002
MR_185035_2_55_5_3_8_38,-784.055995692,-784.1261796919999,-784.397551692,-784.0767836919999,-784.056940692
MR_129005_0_48_4_3_5_4,-587.9036477999999,-587.9556248,-588.0266998,-587.9158288,-587.9045927999999
MR_675680_2_35_3_5_8_5,-793.00536365,-793.07255065,-793.29143865,-793.02493265,-793.00630765
MR_112898_0_10_1_1_3_1,-734.786995712,-734.8451587119999,-734.935014712,-734.801649712,-734.787939712
MR_454026_0_37_3_1_4_10,-682.2336706120001,-682.2978016120001,-682.468645612,-682.2516346120001,-682.2346146120001
MR_688429_0,-455.03584297599997,-455.079942976,-455.175177976,-455.046163976,-455.036786976
MR_278023_1_51_4_5_8_27,-835.6335394930001,-835.699845493,-835.997343493,-835.653142493,-835.6344834930001
MR_530876_0_46_4_7_8_30,-833.1962375300001,-833.2612185300001,-833.51222453,-833.2148825300001,-833.1971815300001
MR_292167_1,-475.11281849,-475.15738349,-475.25678449,-475.12297849,-475.11376249
MR_127568_1_6_7_10,-590.356124734,-590.407172734,-590.524758734,-590.368500734,-590.357069734
MR_14799_1_62_6_8_8_56,-681.115573338,-681.176308338,-681.332571338,-681.131478338,-681.116517338
MR_438654_1,-380.973315329,-381.017070329,-381.132320329,-380.98337532899995,-380.974260329
MR_267942_1,-343.332520226,-343.370156226,-343.428158226,-343.340007226,-343.333464226
MR_123876_0_36_3_6_3_3,-644.533517329,-644.589135329,-644.706436329,-644.548018329,-644.534461329
MR_492961_0_48_4_2_5_3,-630.332776756,-630.390871756,-630.608623756,-630.3492457560001,-630.333720756
MR_392954_1_67_7_18_8_43,-915.59488475,-915.66044475,-915.96687675,-915.61411975,-915.59582975
MR_576145_1_44_4_9_6_1,-743.835673724,-743.898889724,-744.138120724,-743.854674724,-743.836617724
MR_73981_0_61_6_3_7_6,-832.303947795,-832.371533795,-832.612535795,-832.323223795,-832.304891795
MR_277852_0,-380.84889095,-380.89563795,-381.00267195,-380.85991494999996,-380.84983495
MR_602445_1_45_4_7_7_15,-694.250222217,-694.313910217,-694.459798217,-694.267710217,-694.251166217
MR_588139_2_52_5_12_5_3,-760.404845205,-760.467117205,-760.640916205,-760.422932205,-760.405789205
MR_473437_1,-489.766070489,-489.808250489,-489.857685489,-489.77520548900003,-489.767014489
MR_24677_0_3_1_7_4_9,-800.757175903,-800.821750903,-801.033860903,-800.775907903,-800.758119903
MR_630622_2_69_7_12_8_45,-952.504729006,-952.5732550060001,-952.860727006,-952.525261006,-952.505674006
MR_288120_2_51_4_3_8_26,-697.188011678,-697.2445766779999,-697.395540678,-697.202500678,-697.188956678
MR_583511_1,-357.768969485,-357.808764485,-357.885377485,-357.777703485,-357.769913485
MR_371387_2_65_6_8_8_64,-831.494963765,-831.559363765,-831.726763765,-831.512168765,-831.495907765
MR_106538_1_58_5_9_7_16,-833.7577385359999,-833.824631536,-834.017626536,-833.7761495359999,-833.7586825359999
MR_595179_2_47_4_8_4_6,-721.571847978,-721.636332978,-721.841082978,-721.5903019780001,-721.572791978
