dist_angs E_hartrees
12.00000000 -199.23449429 
11.89909910 -199.23449427 
11.79819820 -199.23449425 
11.69729730 -199.23449423 
11.59639640 -199.23449422 
11.49549550 -199.23449419 
11.39459459 -199.23449417 
11.29369369 -199.23449415 
11.19279279 -199.23449413 
11.09189189 -199.23449410 
10.99099099 -199.23449408 
10.89009009 -199.23449405 
10.78918919 -199.23449402 
10.68828829 -199.23449399 
10.58738739 -199.23449395 
10.48648649 -199.23449392 
10.38558559 -199.23449388 
10.28468468 -199.23449384 
10.18378378 -199.23449380 
10.08288288 -199.23449376 
9.98198198 -199.23449371 
9.88108108 -199.23449367 
9.78018018 -199.23449361 
9.67927928 -199.23449356 
9.57837838 -199.23449350 
9.47747748 -199.23449344 
9.37657658 -199.23449337 
9.27567568 -199.23449330 
9.17477477 -199.23449323 
9.07387387 -199.23449315 
8.97297297 -199.23449307 
8.87207207 -199.23449298 
8.77117117 -199.23449288 
8.67027027 -199.23449278 
8.56936937 -199.23449267 
8.46846847 -199.23449256 
8.36756757 -199.23449244 
8.26666667 -199.23449231 
8.16576577 -199.23449217 
8.06486486 -199.23449203 
7.96396396 -199.23449187 
7.86306306 -199.23449171 
7.76216216 -199.23449153 
7.66126126 -199.23449135 
7.56036036 -199.23449116 
7.45945946 -199.23449096 
7.35855856 -199.23449075 
7.25765766 -199.23449277 
7.15675676 -199.23449255 
7.05585586 -199.23449232 
6.95495495 -199.23449208 
6.85405405 -199.23449184 
6.75315315 -199.23449160 
6.65225225 -199.23448985 
6.55135135 -199.23448962 
6.45045045 -199.23448940 
6.34954955 -199.23448919 
6.24864865 -199.23448932 
6.14774775 -199.23448915 
6.04684685 -199.23448901 
5.94594595 -199.23448818 
5.84504505 -199.23448812 
5.74414414 -199.23448763 
5.64324324 -199.23448768 
5.54234234 -199.23448694 
5.44144144 -199.23448713 
5.34054054 -199.23448627 
5.23963964 -199.23448664 
5.13873874 -199.23448551 
5.03783784 -199.23448498 
4.93693694 -199.23448444 
4.83603604 -199.23448389 
4.73513514 -199.23448326 
4.63423423 -199.23448254 
4.53333333 -199.23448171 
4.43243243 -199.23448076 
4.33153153 -199.23447967 
4.23063063 -199.23447847 
4.12972973 -199.23447718 
4.02882883 -199.23447589 
3.92792793 -199.23447478 
3.82702703 -199.23447417 
3.72612613 -199.23447458 
3.62522523 -199.23447688 
3.52432432 -199.23448239 
3.42342342 -199.23449311 
3.32252252 -199.23451203 
3.22162162 -199.23454319 
3.12072072 -199.23459391 
3.01981982 -199.23467331 
2.91891892 -199.23479571 
2.81801802 -199.23498235 
2.71711712 -199.23526460 
2.61621622 -199.23568847 
2.51531532 -199.23631817 
2.41441441 -199.23725617 
2.31351351 -199.23863881 
2.21261261 -199.24065902 
2.11171171 -199.24357166 
2.01081081 -199.24767162 
1.90990991 -199.25324823 
1.80900901 -199.26044405 
1.70810811 -199.26905686 
1.60720721 -199.27819659 
1.50630631 -199.28586438 
1.40540541 -199.28826713 
1.30450450 -199.27876226 
1.20360360 -199.24600235 
1.10270270 -199.17046798 
1.00180180 -199.01743532 
0.90090090 -198.72330846 
0.80000000 -198.16826836 
