dist_angs E_hartrees
12.00000000 -621.63882034 
11.89909910 -621.63919631 
11.79819820 -621.63957876 
11.69729730 -621.63996820 
11.59639640 -621.64036415 
11.49549550 -621.64076711 
11.39459459 -621.64117772 
11.29369369 -621.64159530 
11.19279279 -621.64202100 
11.09189189 -621.64245401 
10.99099099 -621.64289557 
10.89009009 -621.64334488 
10.78918919 -621.64380328 
10.68828829 -621.64426983 
10.58738739 -621.64474604 
10.48648649 -621.64523085 
10.38558559 -621.64572595 
10.28468468 -621.64623012 
10.18378378 -621.64674526 
10.08288288 -621.64727000 
9.98198198 -621.64780644 
9.88108108 -621.64835303 
9.78018018 -621.64891215 
9.67927928 -621.64948200 
9.57837838 -621.65006529 
9.47747748 -621.65065994 
9.37657658 -621.65126905 
9.27567568 -621.65189135 
9.17477477 -621.65252751 
9.07387387 -621.65317811 
8.97297297 -621.65384369 
8.87207207 -621.65452480 
8.77117117 -621.65522202 
8.67027027 -621.65593595 
8.56936937 -621.65666724 
8.46846847 -621.65741655 
8.36756757 -621.65818458 
8.26666667 -621.65897208 
8.16576577 -621.65977983 
8.06486486 -621.66060867 
7.96396396 -621.66145947 
7.86306306 -621.66233316 
7.76216216 -621.66323074 
7.66126126 -621.66415325 
7.56036036 -621.66510179 
7.45945946 -621.66607757 
7.35855856 -621.66708182 
7.25765766 -621.66811588 
7.15675676 -621.66918119 
7.05585586 -621.67027925 
6.95495495 -621.67141169 
6.85405405 -621.67259425 
6.75315315 -621.67379582 
6.65225225 -621.67503905 
6.55135135 -621.67634131 
6.45045045 -621.67767640 
6.34954955 -621.67905853 
6.24864865 -621.68049057 
6.14774775 -621.68197524 
6.04684685 -621.68351565 
5.94594595 -621.68512275 
5.84504505 -621.68677874 
5.74414414 -621.68850679 
5.64324324 -621.69031589 
5.54234234 -621.69218283 
5.44144144 -621.69414824 
5.34054054 -621.69617888 
5.23963964 -621.69832182 
5.13873874 -621.70053759 
5.03783784 -621.70288064 
4.93693694 -621.70530495 
4.83603604 -621.70787270 
4.73513514 -621.71053102 
4.63423423 -621.71335280 
4.53333333 -621.71638834 
4.43243243 -621.71946271 
4.33153153 -621.72269391 
4.23063063 -621.72608146 
4.12972973 -621.72963142 
4.02882883 -621.73334979 
3.92792793 -621.73724154 
3.82702703 -621.74131021 
3.72612613 -621.74555733 
3.62522523 -621.74998171 
3.52432432 -621.75457837 
3.42342342 -621.75933728 
3.32252252 -621.76424151 
3.22162162 -621.76926499 
3.12072072 -621.77436942 
3.01981982 -621.77950012 
2.91891892 -621.78458010 
2.81801802 -621.78950111 
2.71711712 -621.79410944 
2.61621622 -621.79818351 
2.51531532 -621.80139176 
2.41441441 -621.80326523 
2.31351351 -621.80308553 
2.21261261 -621.79980961 
2.11171171 -621.79193229 
2.01081081 -621.77731572 
1.90990991 -621.75294792 
1.80900901 -621.71466720 
1.70810811 -621.65685284 
1.60720721 -621.57226107 
1.50630631 -621.45227207 
1.40540541 -621.28817987 
1.30450450 -621.07329799 
1.20360360 -620.79920767 
1.10270270 -620.43620204 
1.00180180 -619.90869923 
0.90090090 -619.07140664 
0.80000000 -617.65898407 
