system,energy_hartree
Br_0_2_wB97M-D3BJ-def2-TZVPP,-2574.116479053905
Br_0_2_wB97M-V-def2-TZVPD,-2573.968460298882
Cl_0_2_wB97M-D3BJ-def2-TZVPP,-460.198150092565
Cl_0_2_wB97M-V-def2-TZVPD,-460.126133264605
F_0_2_wB97M-D3BJ-def2-TZVPP,-99.784924717336
F_0_2_wB97M-V-def2-TZVPD,-99.746494848145
H_0_2_wB97M-D3BJ-def2-TZVPP,-0.498644691899
H_0_2_wB97M-V-def2-TZVPD,-0.494115103816
I_0_2_wB97M-D3BJ-def2-TZVPP,-297.76260762969
I_0_2_wB97M-V-def2-TZVPD,-297.665191688521
K_0_2_wB97M-D3BJ-def2-TZVPP,-599.960376355287
K_0_2_wB97M-V-def2-TZVPD,-599.879408366254
Li_0_2_wB97M-D3BJ-def2-TZVPP,-7.485425877575
Li_0_2_wB97M-V-def2-TZVPD,-7.472075156875
Na_0_2_wB97M-D3BJ-def2-TZVPP,-162.305494465629
Na_0_2_wB97M-V-def2-TZVPD,-162.257170208602
