Step,bond_distance,Br2_-2_1_RKS_wB97M-V_def2-TZVPD,Br2_-2_1_UKS_wB97M-V_def2-TZVPD,Br2_0_1_RKS_wB97M-V_def2-TZVPD,Br2_0_1_UKS_wB97M-V_def2-TZVPD,Cl2_-2_1_RKS_wB97M-V_def2-TZVPD,Cl2_-2_1_UKS_wB97M-V_def2-TZVPD,Cl2_0_1_RKS_wB97M-V_def2-TZVPD,Cl2_0_1_UKS_wB97M-V_def2-TZVPD,F2_-2_1_RKS_wB97M-V_def2-TZVPD,F2_-2_1_UKS_wB97M-V_def2-TZVPD,F2_0_1_RKS_wB97M-V_def2-TZVPD,F2_0_1_UKS_wB97M-V_def2-TZVPD,H2_0_1_RKS_wB97M-V_def2-TZVPD,H2_0_1_UKS_wB97M-V_def2-TZVPD,H_Br_-2_1_RKS_wB97M-V_def2-TZVPD,H_Br_-2_1_UKS_wB97M-V_def2-TZVPD,H_Br_0_1_RKS_wB97M-V_def2-TZVPD,H_Br_0_1_UKS_wB97M-V_def2-TZVPD,H_Br_2_1_RKS_wB97M-V_def2-TZVPD,H_Br_2_1_UKS_wB97M-V_def2-TZVPD,H_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,H_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,H_Cl_0_1_RKS_wB97M-V_def2-TZVPD,H_Cl_0_1_UKS_wB97M-V_def2-TZVPD,H_Cl_2_1_RKS_wB97M-V_def2-TZVPD,H_Cl_2_1_UKS_wB97M-V_def2-TZVPD,H_F_-2_1_RKS_wB97M-V_def2-TZVPD,H_F_-2_1_UKS_wB97M-V_def2-TZVPD,H_F_0_1_RKS_wB97M-V_def2-TZVPD,H_F_0_1_UKS_wB97M-V_def2-TZVPD,H_F_2_1_RKS_wB97M-V_def2-TZVPD,H_F_2_1_UKS_wB97M-V_def2-TZVPD,H_I_-2_1_RKS_wB97M-V_def2-TZVPD,H_I_-2_1_UKS_wB97M-V_def2-TZVPD,H_I_0_1_RKS_wB97M-V_def2-TZVPD,H_I_0_1_UKS_wB97M-V_def2-TZVPD,H_I_2_1_RKS_wB97M-V_def2-TZVPD,H_I_2_1_UKS_wB97M-V_def2-TZVPD,I2_-2_1_RKS_wB97M-V_def2-TZVPD,I2_-2_1_UKS_wB97M-V_def2-TZVPD,I2_0_1_RKS_wB97M-V_def2-TZVPD,I2_0_1_UKS_wB97M-V_def2-TZVPD,K2_0_1_RKS_wB97M-V_def2-TZVPD,K2_0_1_UKS_wB97M-V_def2-TZVPD,K2_2_1_RKS_wB97M-V_def2-TZVPD,K2_2_1_UKS_wB97M-V_def2-TZVPD,K_Br_-2_1_RKS_wB97M-V_def2-TZVPD,K_Br_-2_1_UKS_wB97M-V_def2-TZVPD,K_Br_0_1_RKS_wB97M-V_def2-TZVPD,K_Br_0_1_UKS_wB97M-V_def2-TZVPD,K_Br_2_1_RKS_wB97M-V_def2-TZVPD,K_Br_2_1_UKS_wB97M-V_def2-TZVPD,K_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,K_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,K_Cl_0_1_RKS_wB97M-V_def2-TZVPD,K_Cl_0_1_UKS_wB97M-V_def2-TZVPD,K_Cl_2_1_RKS_wB97M-V_def2-TZVPD,K_Cl_2_1_UKS_wB97M-V_def2-TZVPD,K_F_-2_1_RKS_wB97M-V_def2-TZVPD,K_F_-2_1_UKS_wB97M-V_def2-TZVPD,K_F_0_1_RKS_wB97M-V_def2-TZVPD,K_F_0_1_UKS_wB97M-V_def2-TZVPD,K_F_2_1_RKS_wB97M-V_def2-TZVPD,K_F_2_1_UKS_wB97M-V_def2-TZVPD,K_I_-2_1_RKS_wB97M-V_def2-TZVPD,K_I_-2_1_UKS_wB97M-V_def2-TZVPD,K_I_0_1_RKS_wB97M-V_def2-TZVPD,K_I_0_1_UKS_wB97M-V_def2-TZVPD,K_I_2_1_RKS_wB97M-V_def2-TZVPD,K_I_2_1_UKS_wB97M-V_def2-TZVPD,Li2_0_1_RKS_wB97M-V_def2-TZVPD,Li2_0_1_UKS_wB97M-V_def2-TZVPD,Li2_2_1_RKS_wB97M-V_def2-TZVPD,Li2_2_1_UKS_wB97M-V_def2-TZVPD,Li_Br_-2_1_RKS_wB97M-V_def2-TZVPD,Li_Br_-2_1_UKS_wB97M-V_def2-TZVPD,Li_Br_0_1_RKS_wB97M-V_def2-TZVPD,Li_Br_0_1_UKS_wB97M-V_def2-TZVPD,Li_Br_2_1_RKS_wB97M-V_def2-TZVPD,Li_Br_2_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_0_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_0_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_2_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_2_1_UKS_wB97M-V_def2-TZVPD,Li_F_-2_1_RKS_wB97M-V_def2-TZVPD,Li_F_-2_1_UKS_wB97M-V_def2-TZVPD,Li_F_0_1_RKS_wB97M-V_def2-TZVPD,Li_F_0_1_UKS_wB97M-V_def2-TZVPD,Li_F_2_1_RKS_wB97M-V_def2-TZVPD,Li_F_2_1_UKS_wB97M-V_def2-TZVPD,Li_I_-2_1_RKS_wB97M-V_def2-TZVPD,Li_I_-2_1_UKS_wB97M-V_def2-TZVPD,Li_I_0_1_RKS_wB97M-V_def2-TZVPD,Li_I_0_1_UKS_wB97M-V_def2-TZVPD,Li_I_2_1_RKS_wB97M-V_def2-TZVPD,Li_I_2_1_UKS_wB97M-V_def2-TZVPD,Na2_0_1_RKS_wB97M-V_def2-TZVPD,Na2_0_1_UKS_wB97M-V_def2-TZVPD,Na2_2_1_RKS_wB97M-V_def2-TZVPD,Na2_2_1_UKS_wB97M-V_def2-TZVPD,Na_Br_-2_1_RKS_wB97M-V_def2-TZVPD,Na_Br_-2_1_UKS_wB97M-V_def2-TZVPD,Na_Br_0_1_RKS_wB97M-V_def2-TZVPD,Na_Br_0_1_UKS_wB97M-V_def2-TZVPD,Na_Br_2_1_RKS_wB97M-V_def2-TZVPD,Na_Br_2_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_0_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_0_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_2_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_2_1_UKS_wB97M-V_def2-TZVPD,Na_F_-2_1_RKS_wB97M-V_def2-TZVPD,Na_F_-2_1_UKS_wB97M-V_def2-TZVPD,Na_F_0_1_RKS_wB97M-V_def2-TZVPD,Na_F_0_1_UKS_wB97M-V_def2-TZVPD,Na_F_2_1_RKS_wB97M-V_def2-TZVPD,Na_F_2_1_UKS_wB97M-V_def2-TZVPD,Na_I_-2_1_RKS_wB97M-V_def2-TZVPD,Na_I_-2_1_UKS_wB97M-V_def2-TZVPD,Na_I_0_1_RKS_wB97M-V_def2-TZVPD,Na_I_0_1_UKS_wB97M-V_def2-TZVPD,Na_I_2_1_RKS_wB97M-V_def2-TZVPD,Na_I_2_1_UKS_wB97M-V_def2-TZVPD
1,8.0,-5148.12409299,-5148.12409299,-5147.80545833,-5147.80545833,-920.45433574,-920.45433574,-920.1104588,-920.1104588,-199.67428058,-199.67428058,-199.26940224,-199.26940224,-0.81915253,-0.81915259,-2574.52524365,-2574.52524378,-2574.31747021,-2574.46252003,-2573.40461588,-2573.40461588,-460.6902508,-460.69025081,-460.4736599,-460.47365981,-459.51440945,-459.51440945,-100.30027476,-100.30027476,-100.07263648,-100.07258055,-98.91388636,-98.91388632,-298.21371043,-298.21371032,-298.01838768,-298.15931747,-297.15892853,-297.20057631,-595.49968338,-595.4996833,-595.21453402,-595.21453411,-1199.73695593,-1199.73695592,-1199.382841803404,-1199.382841806185,-3173.92889095,-3173.92889101,-3173.885981538311,-3173.88598149,-3173.12765472,-3173.12765472,-1060.09406989,-1060.09406994,-1060.051018594083,-1060.051018595263,-1059.23777658,-1059.23777658,-699.70407094,-699.704071,-699.66122538,-699.66119247,-698.63836762,-698.63836758,-897.61654356,-897.61654355,-897.57377038,-897.57377056,-896.88144763,-896.88144764,-14.90391836,-14.90391836,-14.48555526,-14.48555526,-2581.51086479,-2581.5108648,-2581.44023881,-2581.44023856,-2580.68046517,-2580.68046517,-467.67586144,-467.67586145,-467.60486167,-467.60486157,-466.79026596,-466.79026596,-107.28572612,-107.28572407,-107.21660627,-107.22868905,-106.18976739,-106.18976735,-305.19889519,-305.198895218087,-305.12894639,-305.12894634,-304.43477239,-304.43477244,-324.476571606665,-324.476571604586,-324.0713152,-324.071315198356,-2736.30621644,-2736.3062163,-2736.23135774,-2736.23215004,-2735.47333347,-2735.47333347,-622.47119481,-622.47119465,-622.3968862,-622.39688591,-621.58313271,-621.58313271,-262.08086939,-262.08086936,-262.00837753,-262.01534781,-260.98265882,-260.98265875,-459.99424026,-459.99424028,-459.92059453,-459.91943884,-459.2276469,-459.22764693
2,7.89864865,-5148.12328423,-5148.12328422,-5147.80591922,-5147.80591921,-920.45351798,-920.45351798,-920.1109089,-920.11090891,-199.67344,-199.67344,-199.26983376,-199.26983376,-0.81957906,-0.81957912,-2574.52444555,-2574.52444558,-2574.31792507,-2574.46251622,-2573.40379301,-2573.40379301,-460.68943144,-460.68943143,-460.47409617,-460.47409604,-459.51357998,-459.51357998,-100.29944203,-100.29944194,-100.07310577,-100.07304667,-98.91304389,-98.9130439,-298.2130106,-298.21301059,-298.0188544,-298.15931833,-297.15811657,-297.19976461,-595.49890971,-595.49890972,-595.21503895,-595.21503897,-1199.73766613,-1199.73766613,-1199.381999400736,-1199.38199940091,-3173.92834811,-3173.92834815,-3173.88686323904,-3173.8868632,-3173.12678413,-3173.12678413,-1060.09353102,-1060.09353103,-1060.051891728652,-1060.051891728465,-1059.23691141,-1059.23691141,-699.70353899,-699.7035395,-699.66208602,-699.6620864,-698.63754133,-698.63754133,-897.61600118,-897.61600121,-897.57467038,-897.57467032,-896.8805653,-896.88056531,-14.90461218,-14.90461218,-14.4847069,-14.4847069,-2581.51022193,-2581.51022193,-2581.44102885,-2581.44102884,-2580.67963442,-2580.67963442,-467.67520873,-467.67520875,-467.60565141,-467.60565137,-466.78942831,-466.78942831,-107.28504737,-107.28504736,-107.21735781,-107.22906776,-106.18893095,-106.18893095,-305.19827643,-305.198276432993,-305.12974094,-305.12974091,-304.4339594,-304.4339594,-324.477252681241,-324.514449429947,-324.07046796,-324.070467958364,-2736.30565425,-2736.30565425,-2736.2321068,-2736.23296664,-2735.4725044,-2735.4725044,-622.4706257,-622.47062569,-622.39769436,-622.39769436,-621.58229057,-621.58229057,-262.08027103,-262.08027103,-262.00914012,-262.01579799,-260.98181194,-260.98181194,-459.99369646,-459.99369644,-459.92142332,-459.92016904,-459.22684147,-459.22684147
3,7.7972973,-5148.12245741,-5148.12245741,-5147.8063946,-5147.80639459,-920.45268108,-920.45268108,-920.11137097,-920.111371,-199.67257731,-199.67257731,-199.2702776,-199.2702776,-0.82001718,-0.82001718,-2574.52363308,-2574.52363305,-2574.31839342,-2574.46251229,-2573.40294951,-2573.40294951,-460.68859404,-460.68859404,-460.47454436,-460.62019289,-459.51272952,-459.51272952,-100.29858817,-100.29858825,-100.0735878,-100.24059668,-98.91217968,-98.91217968,-298.21230237,-298.21230237,-298.01933455,-298.15931943,-297.15728467,-297.19893298,-595.49811847,-595.49811847,-595.21556201,-595.21556201,-1199.73839552,-1199.73839551,-1199.381134290143,-1199.381134290284,-3173.92779797,-3173.927798,-3173.887768641715,-3173.88776867,-3173.12588767,-3173.12588767,-1060.0929827,-1060.0929827,-1060.052785221151,-1060.052785221228,-1059.23602273,-1059.23602273,-699.70299607,-699.70299645,-699.66296517,-699.66296552,-698.63669067,-698.63669067,-897.61545622,-897.61545622,-897.57559874,-897.57559872,-896.87965569,-896.87965569,-14.90532779,-14.90532779,-14.48383649,-14.48383649,-2581.50957123,-2581.50957124,-2581.44184797,-2581.44184797,-2580.67878557,-2580.67878557,-467.67454653,-467.67454654,-467.60646717,-467.60646718,-466.78857024,-466.78857024,-107.28434928,-107.28434925,-107.21812441,-107.22945294,-106.18806283,-106.18806283,-305.19764906,-305.197649055781,-305.13056455,-305.13056457,-304.43313012,-304.43313012,-324.477981095829,-324.514448071401,-324.06959822,-324.069598218056,-2736.30509023,-2736.30509024,-2736.23288264,-2736.2338156,-2735.47166279,-2735.47166279,-622.47005381,-622.47005381,-622.39853243,-622.3985324,-621.58143313,-621.58143313,-262.07965525,-262.07965522,-262.00991657,-262.01626337,-260.9809263,-260.9809263,-459.9931448,-459.99314477,-459.92228044,-459.92091999,-459.2260193,-459.2260193
4,7.69594595,-5148.12161249,-5148.12161248,-5147.80688574,-5147.8068858,-920.45182469,-920.45182469,-920.11184874,-920.11184874,-199.67169205,-199.67169205,-199.27073339,-199.27073339,-0.82046718,-0.82046729,-2574.5228063,-2574.52280632,-2574.31887603,-2574.46250824,-2573.40208465,-2573.40208465,-460.68773791,-460.68773791,-460.47500429,-460.62018952,-459.51185729,-459.51185729,-100.29771306,-100.29771307,-100.07408309,-100.24059589,-98.91129289,-98.91129289,-298.21158569,-298.21158569,-298.01983137,-298.15932091,-297.1564321,-297.19808071,-595.4973081,-595.4973081,-595.21610389,-595.21610393,-1199.73914525,-1199.73914525,-1199.380245775228,-1199.380245775312,-3173.9272448,-3173.92724482,-3173.888702586877,-3173.88870257,-3173.12496371,-3173.12496371,-1060.09242838,-1060.09242838,-1060.053703053811,-1060.0537030537,-1059.23510728,-1059.23510728,-699.70243891,-699.70243911,-699.66386109,-699.66386098,-698.63580844,-698.63580844,-897.61490706,-897.61490705,-897.57655734,-897.57655735,-896.87871781,-896.87871781,-14.90606448,-14.90606448,-14.48294312,-14.48294312,-2581.50891445,-2581.50891445,-2581.44269842,-2581.44269842,-2580.67792042,-2580.67792042,-467.67387776,-467.67387777,-467.60731289,-467.60731288,-466.78769414,-466.78769414,-107.28363262,-107.2836327,-107.21890765,-107.22985777,-106.18716053,-106.18716053,-305.19701193,-305.197011926301,-305.13141758,-305.13141758,-304.43228302,-304.43228302,-324.478717503347,-324.514445023442,-324.06870502,-324.068705019394,-2736.30452241,-2736.30452241,-2736.23368502,-2736.23469625,-2735.47080762,-2735.47080762,-622.4694803,-622.4694803,-622.39940351,-622.39940351,-621.58056265,-621.58056265,-262.07903069,-262.07903073,-262.01071751,-262.01674997,-260.98000836,-260.98000836,-459.99258089,-459.99258085,-459.92316271,-459.92168822,-459.22517378,-459.22517378
5,7.59459459,-5148.12074942,-5148.12074942,-5147.80739442,-5147.80739442,-920.45094863,-920.45094863,-920.11234028,-920.11234028,-199.67078406,-199.67078406,-199.27120176,-199.27120176,-0.82093011,-0.82093009,-2574.52196579,-2574.5219658,-2574.31937374,-2574.46250403,-2573.40119763,-2573.40119763,-460.68686273,-460.68686273,-460.47547659,-460.62018587,-459.51096246,-459.51096246,-100.29681477,-100.29681476,-100.07459224,-100.24059481,-98.91038263,-98.91038263,-298.21086026,-298.21086026,-298.020347,-298.15932269,-297.15555813,-297.19720705,-595.49647939,-595.49647938,-595.21666668,-595.21666651,-1199.73991744,-1199.73991744,-1199.379333685671,-1199.379333685781,-3173.92669329,-3173.9266933,-3173.889668721744,-3173.88966874,-3173.12401171,-3173.12401171,-1060.091872,-1060.091872,-1060.054650291091,-1060.054650291229,-1059.23416305,-1059.23416305,-699.7018661,-699.70186659,-699.66477344,-699.66477345,-698.63488908,-698.63488908,-897.61435266,-897.61435265,-897.57754596,-897.57754596,-896.87775177,-896.87775177,-14.90682171,-14.90682171,-14.48202586,-14.48202586,-2581.50825027,-2581.50825027,-2581.44358068,-2581.44358068,-2580.67703852,-2580.67703852,-467.67320212,-467.67320212,-467.60818976,-467.60818976,-466.78680061,-466.78680061,-107.28290493,-107.28290482,-107.219718,-107.23027914,-106.1862291,-106.1862291,-305.19636139,-305.196361393962,-305.13229901,-305.13229901,-304.43141409,-304.43141409,-324.479474146347,-324.514439929354,-324.06778786,-324.06778786096,-2736.30394559,-2736.3039456,-2736.23450984,-2736.23560456,-2735.46993268,-2735.46993268,-622.46890351,-622.46890351,-622.40030684,-622.40030682,-621.5796769,-621.5796769,-262.07841216,-262.07841211,-262.01155442,-262.01727248,-260.97907411,-260.97907411,-459.9920046,-459.99200455,-459.92407183,-459.9224754,-459.22430221,-459.22430221
6,7.49324324,-5148.11986752,-5148.11986752,-5147.80792161,-5147.8079215,-920.45005283,-920.45005283,-920.11284759,-920.11284759,-199.66985163,-199.66985163,-199.27168327,-199.49297153,-0.82140598,-0.82140627,-2574.52111154,-2574.52111155,-2574.31988748,-2574.46249969,-2573.40028762,-2573.40028762,-460.68596867,-460.68596867,-460.47596183,-460.62018198,-459.51004414,-459.51004414,-100.29589314,-100.29589313,-100.0751159,-100.24059351,-98.90944797,-98.90944797,-298.21012566,-298.21012566,-298.02087739,-298.15932462,-297.15466197,-297.19631122,-595.49563362,-595.49563362,-595.21725305,-595.21725297,-1199.74071433,-1199.74071433,-1199.378398076319,-1199.37839807654,-3173.92613966,-3173.92613967,-3173.890666617131,-3173.89066661,-3173.12303171,-3173.12303171,-1060.09131811,-1060.09131811,-1060.055630618557,-1060.055630618641,-1059.23319017,-1059.23319017,-699.70128448,-699.70128463,-699.66570975,-699.66570976,-698.63393578,-698.63393578,-897.61379,-897.61378991,-897.57856302,-897.57856302,-896.87675765,-896.87675765,-14.90759939,-14.90759939,-14.48108375,-14.48108375,-2581.50757548,-2581.50757548,-2581.44449356,-2581.44449356,-2580.67613663,-2580.67613663,-467.67251768,-467.67251768,-467.6090983,-467.60909829,-466.7858876,-466.7858876,-107.2821742,-107.28217436,-107.22056226,-107.23072407,-106.18527803,-106.18527803,-305.19569671,-305.19569670607,-305.1332109,-305.1332109,-304.43052135,-304.43052135,-324.480250818157,-324.514433358185,-324.06684648,-324.066846480253,-2736.30335744,-2736.30335744,-2736.23535523,-2736.2365394,-2735.46903313,-2735.46903313,-622.46831956,-622.46831956,-622.40123972,-622.40123972,-621.5787703,-621.5787703,-262.07780364,-262.07780366,-262.01243778,-262.01783876,-260.97813357,-260.97813357,-459.9914233,-459.99142326,-459.9250162,-459.92328936,-459.22340896,-459.22340896
7,7.39189189,-5148.11896548,-5148.11896548,-5147.80846892,-5147.80846892,-920.44913718,-920.44913718,-920.11337197,-920.11337197,-199.6688946,-199.66889461,-199.27217851,-199.49297014,-0.82189653,-0.82189598,-2574.52024436,-2574.52024437,-2574.32041833,-2574.46249534,-2573.39935374,-2573.39935374,-460.68505638,-460.68505638,-460.47646075,-460.62017805,-459.50910142,-459.50910142,-100.29494621,-100.29494621,-100.07565471,-100.24059196,-98.90848791,-98.90848791,-298.20938144,-298.20938144,-298.02142871,-298.1593266,-297.1537428,-297.1953924,-595.49476895,-595.49476895,-595.21786418,-595.21786429,-1199.74153732,-1199.74153732,-1199.377438467838,-1199.377438468081,-3173.92558031,-3173.92558031,-3173.891693844314,-3173.89169385,-3173.12202413,-3173.12202413,-1060.09076545,-1060.09076545,-1060.056643998487,-1060.056643999307,-1059.23218983,-1059.23218983,-699.70070523,-699.7007058,-699.66668051,-699.66668052,-698.63296085,-698.63296085,-897.61321834,-897.61321839,-897.57960869,-897.57960869,-896.87573632,-896.87573632,-14.90839841,-14.90839841,-14.48011582,-14.48011582,-2581.50688675,-2581.50688675,-2581.44543645,-2581.44543645,-2580.67521151,-2580.67521151,-467.67182263,-467.67182263,-467.61003733,-467.61003733,-466.78495186,-466.78495186,-107.28144455,-107.28144432,-107.22144636,-107.23120995,-106.18431257,-106.18431257,-305.19502128,-305.195021280091,-305.13415891,-305.13415891,-304.42960617,-304.42960617,-324.481048015831,-324.514425899776,-324.06587998,-324.06587998,-2736.30276166,-2736.30276166,-2736.23622684,-2736.23750626,-2735.46810979,-2735.46810979,-622.46772624,-622.46772624,-622.40220121,-622.4022012,-621.57783952,-621.57783952,-262.07720041,-262.07720044,-262.01336078,-262.01844601,-260.97718141,-260.9771814,-459.99083824,-459.99083821,-459.92599678,-459.92413121,-459.22249204,-459.22249204
8,7.29054054,-5148.11804212,-5148.11804212,-5147.80903738,-5147.80903705,-920.44820125,-920.44820125,-920.11391485,-920.11391486,-199.66791099,-199.66791099,-199.27268806,-199.49296867,-0.82240151,-0.82240184,-2574.51936513,-2574.51936513,-2574.32096754,-2574.46249117,-2573.39839506,-2573.39839506,-460.68412698,-460.68412698,-460.47697421,-460.62017437,-459.50813334,-459.50813334,-100.2939741,-100.29397409,-100.07620938,-100.24059016,-98.9075014,-98.9075014,-298.20862674,-298.20862674,-298.02199661,-298.15932866,-297.15279976,-297.19444974,-595.49388506,-595.49388506,-595.21850255,-595.21850266,-1199.74238663,-1199.74238663,-1199.376453392783,-1199.376453394111,-3173.92501182,-3173.92501182,-3173.89274834344,-3173.89274834,-3173.12098914,-3173.12098914,-1060.09020856,-1060.09020856,-1060.057687710902,-1060.057687711279,-1059.23116341,-1059.23116341,-699.70013728,-699.70013743,-699.66769604,-699.66769605,-698.631976,-698.631976,-897.61264655,-897.61264658,-897.58068966,-897.58068966,-896.87469167,-896.87469167,-14.90922074,-14.90922075,-14.47912106,-14.47912106,-2581.50618501,-2581.50618501,-2581.44641254,-2581.44641254,-2580.67426252,-2580.67426252,-467.67111504,-467.67111504,-467.61100775,-467.61100775,-466.78399181,-466.78399181,-107.28071098,-107.28071126,-107.22236818,-107.23172398,-106.18332917,-106.18332917,-305.1943343,-305.194334298957,-305.1351442,-305.1351442,-304.42866524,-304.42866524,-324.48186751544,-324.514418081118,-324.06488695,-324.064886953154,-2736.30215721,-2736.30215721,-2736.23712486,-2736.23850465,-2735.46715718,-2735.46715718,-622.46712216,-622.46712216,-622.40319167,-622.40319167,-621.57688173,-621.57688173,-262.07659149,-262.07659143,-262.01431365,-262.01908929,-260.97620801,-260.97620801,-459.99024573,-459.9902457,-459.92701194,-459.92499958,-459.22154801,-459.22154801
9,7.18918919,-5148.11709952,-5148.11709951,-5147.80962911,-5147.93669269,-920.44724382,-920.44724382,-920.11447796,-920.25211637,-199.6669005,-199.6669005,-199.27321258,-199.49296705,-0.82292283,-0.98821314,-2574.5184748,-2574.5184748,-2574.32153645,-2574.46248746,-2573.39741062,-2573.39741062,-460.68318183,-460.68318183,-460.47750313,-460.62017126,-459.50713888,-459.50713888,-100.29297498,-100.29297498,-100.07678068,-100.24058812,-98.90648731,-98.90648731,-298.20786102,-298.20786102,-298.02258938,-298.15933092,-297.15183197,-297.19348234,-595.49298047,-595.49298047,-595.21916927,-595.21916915,-1199.74326245,-1199.74326245,-1199.375440962049,-1199.375440962095,-3173.92443837,-3173.92443837,-3173.89383504266,-3173.89383505,-3173.11992991,-3173.11992991,-1060.0896453,-1060.0896453,-1060.058760608984,-1060.058760609024,-1059.23011206,-1059.23011206,-699.69957907,-699.69957962,-699.66875514,-699.66875513,-698.63098047,-698.63098047,-897.61207287,-897.61207287,-897.58180855,-897.58180855,-896.87362016,-896.87362016,-14.91006893,-14.91006893,-14.4780983,-14.4780983,-2581.50546814,-2581.50546814,-2581.44742166,-2581.44742166,-2580.67328487,-2580.67328487,-467.67039324,-467.67039324,-467.61201012,-467.61201012,-466.78300564,-466.78300564,-107.27997067,-107.27997034,-107.22332418,-107.232266,-106.18232305,-106.18232305,-305.19363426,-305.193634261653,-305.13616679,-305.13616679,-304.42769743,-304.42769743,-324.482711919275,-324.514410315968,-324.06386612,-324.063866115505,-2736.30154393,-2736.30154393,-2736.23804918,-2736.23953434,-2735.46617147,-2735.46617147,-622.4665057,-622.4665057,-622.40421071,-622.4042107,-621.5758923,-621.5758923,-262.07597412,-262.07597417,-262.01529756,-262.01976681,-260.97520985,-260.97520985,-459.98964664,-459.9896466,-459.92806386,-459.92589776,-459.22057752,-459.22057752
10,7.08783784,-5148.11613589,-5148.11613588,-5147.81024594,-5147.93668412,-920.44626519,-920.44626519,-920.11506253,-920.25211014,-199.66586086,-199.66586086,-199.27375271,-199.49296519,-0.82346043,-0.98821248,-2574.51757426,-2574.51757426,-2574.32212655,-2574.46248458,-2573.39639939,-2573.39639939,-460.68222225,-460.68222225,-460.47805134,-460.62016912,-459.50611697,-459.50611697,-100.29194934,-100.29194934,-100.07736945,-100.24058589,-98.90544452,-98.90544452,-298.20708346,-298.20708346,-298.02320072,-298.15933359,-297.15083847,-297.19248926,-595.49205293,-595.49205293,-595.21986522,-595.21991307,-1199.7441658,-1199.7441658,-1199.37439951743,-1199.374399517558,-3173.9238647,-3173.92386469,-3173.894956762547,-3173.89495676,-3173.11884278,-3173.11884278,-1060.08907466,-1060.08907466,-1060.05986362103,-1060.059863620995,-1059.22903434,-1059.22903434,-699.69902123,-699.69902137,-699.66984868,-699.66984866,-698.62996195,-698.62996195,-897.61149443,-897.61149443,-897.58296436,-897.58296436,-896.87251415,-896.87251415,-14.91094478,-14.91094478,-14.47704633,-14.47704633,-2581.50473544,-2581.50473544,-2581.44846505,-2581.44846505,-2580.67227526,-2580.67227526,-467.66965512,-467.66965512,-467.61304434,-467.61304434,-466.7819896,-466.7819896,-107.27921838,-107.27921871,-107.22431353,-107.23284709,-106.18129208,-106.18129208,-305.19291947,-305.19291946527,-305.13722804,-305.13722804,-304.42670069,-304.42670069,-324.467936206314,-324.51440250026,-324.06281615,-324.062816144463,-2736.30092299,-2736.30092298,-2736.23900452,-2736.24059853,-2735.46515419,-2735.46515419,-622.46587905,-622.46587905,-622.40526038,-622.40526038,-621.57486854,-621.57486854,-262.07534251,-262.0753425,-262.01630748,-262.02047648,-260.9741819,-260.9741819,-459.98904308,-459.98904305,-459.92915587,-459.92683083,-459.21958187,-459.21958187
