# Distance(A)  Charge_I(e)  Charge_I(e)
0.500000    -0.999987    -0.999985
0.600000    -0.999999    -1.000000
0.700000    -1.000000    -1.000000
0.800000    -1.000000    -1.000000
0.900000    -1.000000    -1.000000
1.000000    -1.000000    -1.000000
1.100000    -0.999999    -1.000000
1.200000    -1.000000    -1.000000
1.300000    -1.000000    -1.000000
1.400000    -1.000000    -1.000000
1.500000    -1.000000    -1.000000
1.600000    -1.000000    -1.000000
1.700000    -1.000000    -1.000000
1.800000    -1.000000    -1.000000
1.900000    -1.000000    -1.000000
2.000000    -0.999999    -1.000000
2.100000    -1.000000    -1.000000
2.200000    -1.000000    -1.000000
2.300000    -1.000000    -1.000000
2.400000    -1.000000    -1.000000
2.500000    -1.000000    -1.000000
2.600000    -1.000000    -1.000000
2.700000    -1.000000    -1.000000
2.800000    -1.000000    -1.000000
2.900000    -1.000000    -1.000000
3.000000    -1.000000    -1.000000
3.100000    -1.000000    -1.000000
3.200000    -1.000000    -1.000000
3.300000    -1.000000    -1.000000
3.400000    -1.000000    -1.000000
3.500000    -1.000000    -1.000000
3.600000    -1.000000    -1.000000
3.700000    -1.000000    -1.000000
3.800000    -1.000000    -1.000000
3.900000    -1.000000    -1.000000
4.000000    -1.000000    -1.000000
4.100000    -1.000000    -1.000000
4.200000    -1.000000    -1.000000
4.300000    -1.000000    -1.000000
4.400000    -1.000000    -1.000000
4.500000    -1.000000    -1.000000
4.600000    -1.000000    -1.000000
4.700000    -1.000000    -1.000000
4.800000    -1.000000    -1.000000
4.900000    -1.000000    -1.000000
5.000000    -1.000000    -1.000001
5.100000    -1.000000    -1.000001
5.200000    -1.000000    -1.000001
5.300000    -1.000000    -1.000001
5.400000    -1.000000    -1.000001
5.500000    -1.000000    -1.000001
5.600000    -1.000000    -1.000001
5.700000    -1.000000    -1.000001
5.800000    -1.000000    -1.000001
5.900000    -1.000000    -1.000001
6.000000    -1.000000    -1.000001
6.100000    -1.000000    -1.000001
6.200000    -1.000000    -1.000001
6.300000    -1.000000    -1.000001
6.400000    -1.000000    -1.000001
6.500000    -1.000000    -1.000001
6.600000    -1.000000    -1.000001
6.700000    -1.000000    -1.000001
6.800000    -1.000000    -1.000001
6.900000    -1.000000    -1.000001
7.000000    -1.000000    -1.000001
7.100000    -1.000000    -1.000001
7.200000    -1.000000    -1.000001
7.300000    -1.000000    -1.000001
7.400000    -1.000000    -1.000001
7.500000    -1.000000    -1.000001
7.600000    -1.000000    -1.000001
7.700000    -1.000000    -1.000001
7.800000    -1.000000    -1.000001
7.900000    -1.000000    -1.000001
8.000000    -1.000000    -1.000001
