file,fairchem-omol,aimnet2,orb-omol,mace-omol,aim2nse
frame_0001.xyz,-13603.6568772915000,-13603.6556133592000,-13591.2204760490000,-13603.7180091644000,-13603.8395027667000
frame_0002.xyz,-13603.6568896893000,-13603.6648495721000,-13591.5534947017000,-13603.7180097624000,-13603.8503029714000
frame_0003.xyz,-13603.6568892125000,-13603.6744851807000,-13591.5534769689000,-13603.7180093731000,-13603.8616065109000
frame_0004.xyz,-13603.6568889740000,-13603.6844040455000,-13591.5534627707000,-13603.7180087577000,-13603.8732479044000
frame_0005.xyz,-13603.6568892125000,-13603.6946158336000,-13591.5534465739000,-13603.7180080934000,-13603.8852420483000
frame_0006.xyz,-13603.6568868283000,-13603.7051429154000,-13591.5534387645000,-13603.7180072230000,-13603.8976144693000
frame_0007.xyz,-13603.6568868283000,-13603.7159972677000,-13591.5534210188000,-13603.7180062549000,-13603.9103658480000
frame_0008.xyz,-13603.6568856362000,-13603.7271969805000,-13591.5534112525000,-13603.7180051992000,-13603.9235305825000
frame_0009.xyz,-13603.6568856362000,-13603.7387496682000,-13591.5533902967000,-13603.7180040130000,-13603.9371202543000
frame_0010.xyz,-13603.6568849209000,-13603.7506775597000,-13591.5533667574000,-13603.7180024801000,-13603.9511571006000
frame_0011.xyz,-13603.6565930966000,-13603.7629989834000,-13588.6185616046000,-13603.7179769465000,-13603.9656637239000
frame_0012.xyz,-13603.5763299588000,-13603.7757316196000,-13586.9144103378000,-13603.7085626126000,-13603.9806626824000
frame_0013.xyz,-13603.5917291764000,-13603.7888907606000,-13586.9355273643000,-13603.6812788432000,-13603.9961764376000
frame_0014.xyz,-13603.4953487042000,-13603.8025051208000,-13586.9627096919000,-13603.8037347506000,-13604.0122358506000
frame_0015.xyz,-13603.7430715683000,-13603.8166086601000,-13586.9668609899000,-13603.9773948605000,-13604.0288690980000
frame_0016.xyz,-13604.0608286980000,-13603.8312181832000,-13586.9607256858000,-13604.0872242082000,-13604.0461256821000
frame_0017.xyz,-13604.1639487866000,-13603.8463830912000,-13586.9421378964000,-13604.1375335858000,-13604.0640415757000
frame_0018.xyz,-13604.2024188164000,-13603.8621577324000,-13586.9074474677000,-13604.1557598128000,-13604.0826708413000
frame_0019.xyz,-13604.2340157154000,-13603.8785356658000,-13586.8665435841000,-13604.1616051732000,-13604.1020406409000
frame_0020.xyz,-13604.2508781079000,-13603.8955692353000,-13586.8536633238000,-13604.1634226699000,-13604.1221818517000
frame_0021.xyz,-13604.2574956540000,-13603.9148600327000,-13586.8888152772000,-13604.1632527558000,-13604.1445446429000
frame_0022.xyz,-13604.2583346489000,-13603.9822819458000,-13586.9215645317000,-13604.1621031525000,-13604.2119540009000
frame_0023.xyz,-13604.2554628972000,-13604.1783523412000,-13586.9430241662000,-13604.1607516733000,-13604.3986610058000
frame_0024.xyz,-13604.2498693589000,-13604.5166966582000,-13586.9548025694000,-13604.1590024511000,-13604.7163592692000
frame_0025.xyz,-13604.2428374413000,-13604.8821614237000,-13586.9618891613000,-13604.1562711038000,-13605.0530038812000
frame_0026.xyz,-13604.2361598137000,-13605.1446398051000,-13586.9739100324000,-13604.1527333481000,-13605.2635857005000
frame_0027.xyz,-13604.2315251950000,-13605.2910109835000,-13586.9992923436000,-13604.1491067410000,-13605.3812498074000
frame_0028.xyz,-13604.2302339199000,-13605.3731263952000,-13587.0476550812000,-13604.1461292799000,-13605.4694175388000
frame_0029.xyz,-13604.2330844525000,-13605.4577792810000,-13587.1273663878000,-13604.1443888737000,-13605.5771688529000
frame_0030.xyz,-13604.2406950119000,-13605.5658778848000,-13587.2377556870000,-13604.1444747623000,-13605.7144032805000
frame_0031.xyz,-13604.2535150174000,-13605.6699432658000,-13587.3698362414000,-13604.1472589039000,-13605.8254983789000
frame_0032.xyz,-13604.2724576119000,-13605.7559093313000,-13587.5125313638000,-13604.1542050115000,-13605.8842693594000
frame_0033.xyz,-13604.2987969044000,-13605.8544654550000,-13587.6579978184000,-13604.1673734671000,-13605.9364409246000
frame_0034.xyz,-13604.3337552670000,-13606.0225714223000,-13587.8021019412000,-13604.1889329982000,-13606.0463966440000
frame_0035.xyz,-13604.3785190705000,-13606.3007032128000,-13587.9441490999000,-13604.2208473172000,-13606.2156084848000
frame_0036.xyz,-13604.4348836068000,-13606.6062420534000,-13588.0854489980000,-13604.2658353077000,-13606.3929542731000
frame_0037.xyz,-13604.5050172928000,-13606.8631075250000,-13588.2245171372000,-13604.3292837154000,-13606.5684646589000
frame_0038.xyz,-13604.5897152546000,-13607.0867926555000,-13588.3672919507000,-13604.4200862721000,-13606.7619709813000
frame_0039.xyz,-13604.6911962155000,-13607.3310175018000,-13588.5367922519000,-13604.5464653421000,-13606.9743047042000
frame_0040.xyz,-13604.8179185513000,-13607.6359267833000,-13588.7571841073000,-13604.7087935287000,-13607.1970629462000
frame_0041.xyz,-13604.9785814408000,-13607.9526700379000,-13589.0610042688000,-13604.9034158686000,-13607.4501828299000
frame_0042.xyz,-13605.1742007855000,-13608.2178489940000,-13589.4435796939000,-13605.1308149599000,-13607.7716540601000
frame_0043.xyz,-13605.4090352181000,-13608.4633117469000,-13589.8387273336000,-13605.3938227848000,-13608.1496062210000
frame_0044.xyz,-13605.6888436201000,-13608.7179093139000,-13590.1834122043000,-13605.6885878440000,-13608.5570142975000
frame_0045.xyz,-13605.9970318201000,-13609.0085359814000,-13590.5051169296000,-13606.0039754148000,-13608.9739614166000
frame_0046.xyz,-13606.3210296753000,-13609.3460943179000,-13590.8485114482000,-13606.3309772631000,-13609.3518500931000
frame_0047.xyz,-13606.6555996660000,-13609.6873923616000,-13591.2321404091000,-13606.6642915838000,-13609.6872133489000
frame_0048.xyz,-13606.9938092652000,-13610.0312653111000,-13591.6640237939000,-13607.0006328567000,-13610.0028790013000
frame_0049.xyz,-13607.3232467372000,-13610.3744806947000,-13592.1195334386000,-13607.3303637082000,-13610.3043209377000
frame_0050.xyz,-13607.6247219268000,-13610.6952438058000,-13592.6410962339000,-13607.6333605570000,-13610.6122322558000
frame_0051.xyz,-13607.8706713739000,-13610.9441320898000,-13593.1907374197000,-13607.8772200825000,-13610.8755712570000
frame_0052.xyz,-13608.0143186572000,-13611.0675974118000,-13593.7371693995000,-13608.0192385482000,-13611.0284680347000
frame_0053.xyz,-13607.9845786813000,-13611.0155698435000,-13594.2682461618000,-13607.9889441214000,-13610.9975025873000
frame_0054.xyz,-13607.6704365138000,-13610.6708220022000,-13594.7701425393000,-13607.6762124398000,-13610.6634737341000
frame_0055.xyz,-13606.8993586424000,-13609.8678369245000,-13595.2188676067000,-13606.9071211560000,-13609.8941003216000
