file,dist_angs,uks_E_hartrees,rks_E_hartrees
frame_0001.xyz,7,-499.9440288,-499.8483659
frame_0002.xyz,6.8984375,-499.9440693,-499.8491269
frame_0003.xyz,6.796875,-499.9440768,-499.8499189
frame_0004.xyz,6.6953125,-499.944085,-499.8507411
frame_0005.xyz,6.59375,-499.9440941,-499.8516011
frame_0006.xyz,6.4921875,-499.9441045,-499.8524974
frame_0007.xyz,6.390625,-499.9441163,-499.8534345
frame_0008.xyz,6.2890625,-499.94413,-499.8544157
frame_0009.xyz,6.1875,-499.9441461,-499.8554451
frame_0010.xyz,6.0859375,-499.9441647,-499.8565267
frame_0011.xyz,5.984375,-499.9441862,-499.8576646
frame_0012.xyz,5.8828125,-499.9442111,-499.8588624
frame_0013.xyz,5.78125,-499.9442397,-499.8601243
frame_0014.xyz,5.6796875,-499.9442717,-499.8614548
frame_0015.xyz,5.578125,-499.9443059,-499.8628588
frame_0016.xyz,5.4765625,-499.9443405,-499.864342
frame_0017.xyz,5.375,-499.9443752,-499.8659121
frame_0018.xyz,5.2734375,-499.9444105,-499.8675779
frame_0019.xyz,5.171875,-499.9444471,-499.8693506
frame_0020.xyz,5.0703125,-499.9444919,-499.8712441
frame_0021.xyz,4.96875,-499.9445484,-499.8732736
frame_0022.xyz,4.8671875,-499.944623,-499.8754535
frame_0023.xyz,4.765625,-499.9447218,-499.8777972
frame_0024.xyz,4.6640625,-499.9448503,-499.8803151
frame_0025.xyz,4.5625,-499.9450105,-499.8830195
frame_0026.xyz,4.4609375,-499.9452135,-499.8859241
frame_0027.xyz,4.359375,-499.9454591,-499.8890442
frame_0028.xyz,4.2578125,-499.9457618,-499.892398
frame_0029.xyz,4.15625,-499.9461567,-499.896008
frame_0030.xyz,4.0546875,-499.9466719,-499.8998999
frame_0031.xyz,3.953125,-499.947344,-499.9040997
frame_0032.xyz,3.8515625,-499.9482161,-499.908642
frame_0033.xyz,3.75,-499.9493329,-499.9135472
frame_0034.xyz,3.6484375,-499.9507486,-499.9188414
frame_0035.xyz,3.546875,-499.9525274,-499.924559
frame_0036.xyz,3.4453125,-499.9547254,-499.9307256
frame_0037.xyz,3.34375,-499.9574231,-499.937376
frame_0038.xyz,3.2421875,-499.9606856,-499.9445467
frame_0039.xyz,3.140625,-499.9645906,-499.9522688
frame_0040.xyz,3.0390625,-499.9692509,-499.960561
frame_0041.xyz,2.9375,-499.9748151,-499.9694516
frame_0042.xyz,2.8359375,-499.9815071,-499.9789759
frame_0043.xyz,2.734375,-499.9896934,-499.9891397
frame_0044.xyz,2.6328125,-499.9999319,-499.9999256
frame_0045.xyz,2.53125,-500.0113181,-500.0113119
frame_0046.xyz,2.4296875,-500.0232253,-500.0232192
frame_0047.xyz,2.328125,-500.035498,-500.0354922
frame_0048.xyz,2.2265625,-500.0478843,-500.0478785
frame_0049.xyz,2.125,-500.0599642,-500.0599584
frame_0050.xyz,2.0234375,-500.0710452,-500.0710395
frame_0051.xyz,1.921875,-500.0800662,-500.0800605
frame_0052.xyz,1.8203125,-500.0853351,-500.0853296
frame_0053.xyz,1.71875,-500.0842504,-500.0842451
frame_0054.xyz,1.6171875,-500.0727473,-500.072742
frame_0055.xyz,1.515625,-500.0444676,-500.0444622
frame_0056.xyz,1.4140625,-499.9893874,-499.9893822
frame_0057.xyz,1.3125,-499.8916188,-499.8916141
frame_0058.xyz,1.2109375,-499.7256926,-499.7256891
frame_0059.xyz,1.109375,-499.4503865,-499.4503816
frame_0060.xyz,1.0078125,-498.9987611,-498.9987584
frame_0061.xyz,0.90625,-498.2631367,-498.26313
frame_0062.xyz,0.8046875,-497.0808508,-497.0808486
frame_0063.xyz,0.703125,-495.2562454,-495.2562503
