# File	Energy (eV)
frame_0001.xyz	-13608.6181527117
frame_0002.xyz	-13608.6164102593
frame_0003.xyz	-13608.6147697179
frame_0004.xyz	-13608.6130662432
frame_0005.xyz	-13608.6112985427
frame_0006.xyz	-13608.6094612667
frame_0007.xyz	-13608.6075494813
frame_0008.xyz	-13608.6055638811
frame_0009.xyz	-13608.6034958476
frame_0010.xyz	-13608.6013378838
frame_0011.xyz	-13608.5990868064
frame_0012.xyz	-13608.5967314394
frame_0013.xyz	-13608.5942555370
frame_0014.xyz	-13608.5916615279
frame_0015.xyz	-13608.5889582934
frame_0016.xyz	-13608.5861241521
frame_0017.xyz	-13608.5831803681
frame_0018.xyz	-13608.5801466854
frame_0019.xyz	-13608.5769638048
frame_0020.xyz	-13608.5736310782
frame_0021.xyz	-13608.5703954699
frame_0022.xyz	-13608.5759656580
frame_0023.xyz	-13608.6088961290
frame_0024.xyz	-13608.6822729820
frame_0025.xyz	-13608.7718947085
frame_0026.xyz	-13608.8354004325
frame_0027.xyz	-13608.8597688006
frame_0028.xyz	-13608.8603726851
frame_0029.xyz	-13608.8786822336
frame_0030.xyz	-13608.9281636106
frame_0031.xyz	-13608.9633586781
frame_0032.xyz	-13608.9416157866
frame_0033.xyz	-13608.8683841491
frame_0034.xyz	-13608.8097478675
frame_0035.xyz	-13608.8246845009
frame_0036.xyz	-13608.8815271260
frame_0037.xyz	-13608.9216251226
frame_0038.xyz	-13608.9309798779
frame_0039.xyz	-13608.9327379243
frame_0040.xyz	-13608.9543297889
frame_0041.xyz	-13608.9995291831
frame_0042.xyz	-13609.0627632068
frame_0043.xyz	-13609.1205005350
frame_0044.xyz	-13609.1422249751
frame_0045.xyz	-13609.1375525968
frame_0046.xyz	-13609.0497901591
frame_0047.xyz	-13608.9528743925
frame_0048.xyz	-13608.8244858833
frame_0049.xyz	-13608.5442018213
frame_0050.xyz	-13608.0615914168
frame_0051.xyz	-13607.6098244714
frame_0052.xyz	-13607.2553905921
frame_0053.xyz	-13606.8889478000
frame_0054.xyz	-13606.2260520535
frame_0055.xyz	-13605.2401106136
frame_0056.xyz	-13603.8337469922
frame_0057.xyz	-13602.0983974041
frame_0058.xyz	-13598.5111790450
frame_0059.xyz	-13592.2714692282
frame_0060.xyz	-13584.9846988024
frame_0061.xyz	-13579.6787126737
frame_0062.xyz	-13580.5796296598
frame_0063.xyz	-13590.4580526838
orca.001.xyz	-13608.6181542093
orca.002.xyz	-13608.6164099297
orca.003.xyz	-13608.6147690995
orca.004.xyz	-13608.6130658744
orca.005.xyz	-13608.6112979690
orca.006.xyz	-13608.6094606539
orca.007.xyz	-13608.6075497719
orca.008.xyz	-13608.6055652985
orca.009.xyz	-13608.6034946201
orca.010.xyz	-13608.6013367550
orca.011.xyz	-13608.5990852827
orca.012.xyz	-13608.5967297779
orca.013.xyz	-13608.5942532497
orca.014.xyz	-13608.5916622283
orca.015.xyz	-13608.5889584126
orca.016.xyz	-13608.5861223565
orca.017.xyz	-13608.5831819179
orca.018.xyz	-13608.5801456759
orca.019.xyz	-13608.5769639315
orca.020.xyz	-13608.5736312607
orca.021.xyz	-13608.5703972543
orca.022.xyz	-13608.5759677628
orca.023.xyz	-13608.6088977532
orca.024.xyz	-13608.6822731646
orca.025.xyz	-13608.7718946489
orca.026.xyz	-13608.8353986369
orca.027.xyz	-13608.8597670162
orca.028.xyz	-13608.8603750730
orca.029.xyz	-13608.8786826881
orca.030.xyz	-13608.9281626420
orca.031.xyz	-13608.9633593412
orca.032.xyz	-13608.9416140879
orca.033.xyz	-13608.8683840672
orca.034.xyz	-13608.8097472789
orca.035.xyz	-13608.8246831710
orca.036.xyz	-13608.8815266566
orca.037.xyz	-13608.9216255324
orca.038.xyz	-13608.9309810402
orca.039.xyz	-13608.9327385949
orca.040.xyz	-13608.9543310704
orca.041.xyz	-13608.9995312991
orca.042.xyz	-13609.0627626481
orca.043.xyz	-13609.1204994099
orca.044.xyz	-13609.1422245728
orca.045.xyz	-13609.1375542210
orca.046.xyz	-13609.0497901665
orca.047.xyz	-13608.9528745117
orca.048.xyz	-13608.8244847061
orca.049.xyz	-13608.5442007558
orca.050.xyz	-13608.0615888240
orca.051.xyz	-13607.6098256560
orca.052.xyz	-13607.2553920524
orca.053.xyz	-13606.8889437841
orca.054.xyz	-13606.2260560470
orca.055.xyz	-13605.2401164697
orca.056.xyz	-13603.8337506207
orca.057.xyz	-13602.0983965324
orca.058.xyz	-13598.5111610146
orca.059.xyz	-13592.2714600788
orca.060.xyz	-13584.9846897127
orca.061.xyz	-13579.6787300186
orca.062.xyz	-13580.5796414690
orca.063.xyz	-13590.4581328707
