# File	Energy (eV)
frame_0001.xyz	-13607.1942268846
frame_0002.xyz	-13607.1942321859
frame_0003.xyz	-13607.1942324408
frame_0004.xyz	-13607.1942324954
frame_0005.xyz	-13607.1942326208
frame_0006.xyz	-13607.1942324518
frame_0007.xyz	-13607.1942325011
frame_0008.xyz	-13607.1942323388
frame_0009.xyz	-13607.1942323867
frame_0010.xyz	-13607.1942324578
frame_0011.xyz	-13607.1944696007
frame_0012.xyz	-13607.3195978563
frame_0013.xyz	-13607.6970030141
frame_0014.xyz	-13607.7819805190
frame_0015.xyz	-13607.8002724411
frame_0016.xyz	-13607.8129019882
frame_0017.xyz	-13607.8200329534
frame_0018.xyz	-13607.8223869253
frame_0019.xyz	-13607.8223562778
frame_0020.xyz	-13607.8215543793
frame_0021.xyz	-13607.8206943409
frame_0022.xyz	-13607.8201393214
frame_0023.xyz	-13607.8201536167
frame_0024.xyz	-13607.8212197596
frame_0025.xyz	-13607.8232373447
frame_0026.xyz	-13607.8260930282
frame_0027.xyz	-13607.8296719797
frame_0028.xyz	-13607.8338748187
frame_0029.xyz	-13607.8389700046
frame_0030.xyz	-13607.8445790062
frame_0031.xyz	-13607.8509236810
frame_0032.xyz	-13607.8579725701
frame_0033.xyz	-13607.8656626526
frame_0034.xyz	-13607.8739661868
frame_0035.xyz	-13607.8825567290
frame_0036.xyz	-13607.8905706500
frame_0037.xyz	-13607.8965574831
frame_0038.xyz	-13607.8987989085
frame_0039.xyz	-13607.8953288221
frame_0040.xyz	-13607.8841361988
frame_0041.xyz	-13607.8631036210
frame_0042.xyz	-13607.8297892307
frame_0043.xyz	-13607.7814953673
frame_0044.xyz	-13607.7156298652
frame_0045.xyz	-13607.6303504455
frame_0046.xyz	-13607.5173589988
frame_0047.xyz	-13607.3696975453
frame_0048.xyz	-13607.2310126652
frame_0049.xyz	-13607.2332008492
frame_0050.xyz	-13607.4147769498
frame_0051.xyz	-13607.4998599601
frame_0052.xyz	-13607.5266660982
frame_0053.xyz	-13607.4598260750
frame_0054.xyz	-13607.1539694717
frame_0055.xyz	-13606.3999917865
frame_0056.xyz	-13604.8570446266
frame_0057.xyz	-13602.1232263610
frame_0058.xyz	-13597.7963419280
frame_0059.xyz	-13590.3213335519
frame_0060.xyz	-13584.9535280802
frame_0061.xyz	-13597.0291757508
frame_0062.xyz	-13592.6408236478
frame_0063.xyz	-13588.3077277214
orca.001.xyz	-13607.1942269279
orca.002.xyz	-13607.1942321995
orca.003.xyz	-13607.1942324703
orca.004.xyz	-13607.1942325147
orca.005.xyz	-13607.1942325945
orca.006.xyz	-13607.1942324932
orca.007.xyz	-13607.1942324361
orca.008.xyz	-13607.1942323444
orca.009.xyz	-13607.1942324084
orca.010.xyz	-13607.1942324073
orca.011.xyz	-13607.1944695835
orca.012.xyz	-13607.3195965382
orca.013.xyz	-13607.6970030636
orca.014.xyz	-13607.7819805278
orca.015.xyz	-13607.8002725231
orca.016.xyz	-13607.8129020160
orca.017.xyz	-13607.8200330249
orca.018.xyz	-13607.8223871138
orca.019.xyz	-13607.8223562260
orca.020.xyz	-13607.8215543105
orca.021.xyz	-13607.8206944208
orca.022.xyz	-13607.8201392757
orca.023.xyz	-13607.8201536390
orca.024.xyz	-13607.8212198854
orca.025.xyz	-13607.8232372176
orca.026.xyz	-13607.8260929531
orca.027.xyz	-13607.8296720621
orca.028.xyz	-13607.8338747232
orca.029.xyz	-13607.8389701959
orca.030.xyz	-13607.8445789338
orca.031.xyz	-13607.8509237359
orca.032.xyz	-13607.8579725659
orca.033.xyz	-13607.8656627183
orca.034.xyz	-13607.8739662615
orca.035.xyz	-13607.8825566123
orca.036.xyz	-13607.8905708703
orca.037.xyz	-13607.8965576104
orca.038.xyz	-13607.8987987273
orca.039.xyz	-13607.8953288155
orca.040.xyz	-13607.8841361252
orca.041.xyz	-13607.8631036395
orca.042.xyz	-13607.8297889330
orca.043.xyz	-13607.7814953191
orca.044.xyz	-13607.7156294667
orca.045.xyz	-13607.6303504039
orca.046.xyz	-13607.5173583649
orca.047.xyz	-13607.3696976908
orca.048.xyz	-13607.2310131272
orca.049.xyz	-13607.2332003750
orca.050.xyz	-13607.4147774220
orca.051.xyz	-13607.4998597929
orca.052.xyz	-13607.5266659999
orca.053.xyz	-13607.4598253098
orca.054.xyz	-13607.1539700636
orca.055.xyz	-13606.3999992934
orca.056.xyz	-13604.8570503248
orca.057.xyz	-13602.1232219285
orca.058.xyz	-13597.7963121909
orca.059.xyz	-13590.3213384985
orca.060.xyz	-13584.9535298598
orca.061.xyz	-13597.0291464502
orca.062.xyz	-13592.6407766236
orca.063.xyz	-13588.3077201337
