# File	Energy (eV)
frame_0001.xyz	-13607.7131459148
frame_0002.xyz	-13607.7122409701
frame_0003.xyz	-13607.7115396798
frame_0004.xyz	-13607.7108055133
frame_0005.xyz	-13607.7100385589
frame_0006.xyz	-13607.7092355006
frame_0007.xyz	-13607.7083908799
frame_0008.xyz	-13607.7075056565
frame_0009.xyz	-13607.7065707724
frame_0010.xyz	-13607.7055791094
frame_0011.xyz	-13607.7045262919
frame_0012.xyz	-13607.7034330979
frame_0013.xyz	-13607.7024319055
frame_0014.xyz	-13607.7017748556
frame_0015.xyz	-13607.7016430330
frame_0016.xyz	-13607.7020382440
frame_0017.xyz	-13607.7028323566
frame_0018.xyz	-13607.7038112115
frame_0019.xyz	-13607.7047144464
frame_0020.xyz	-13607.7054310751
frame_0021.xyz	-13607.7059628100
frame_0022.xyz	-13607.7064565900
frame_0023.xyz	-13607.7069058045
frame_0024.xyz	-13607.7076820094
frame_0025.xyz	-13607.7087989153
frame_0026.xyz	-13607.7104491706
frame_0027.xyz	-13607.7127286765
frame_0028.xyz	-13607.7156331794
frame_0029.xyz	-13607.7196344245
frame_0030.xyz	-13607.7245816938
frame_0031.xyz	-13607.7310239689
frame_0032.xyz	-13607.7389630734
frame_0033.xyz	-13607.7479825714
frame_0034.xyz	-13607.7573471295
frame_0035.xyz	-13607.7656628524
frame_0036.xyz	-13607.7706687156
frame_0037.xyz	-13607.7697882542
frame_0038.xyz	-13607.7620346888
frame_0039.xyz	-13607.7486310071
frame_0040.xyz	-13607.7315631927
frame_0041.xyz	-13607.7115144837
frame_0042.xyz	-13607.6864092239
frame_0043.xyz	-13607.6507377579
frame_0044.xyz	-13607.5942174686
frame_0045.xyz	-13607.5022206607
frame_0046.xyz	-13607.3691666092
frame_0047.xyz	-13607.1986864894
frame_0048.xyz	-13606.9883224761
frame_0049.xyz	-13606.7546519973
frame_0050.xyz	-13606.7027891409
frame_0051.xyz	-13606.6937671267
frame_0052.xyz	-13606.6593438916
frame_0053.xyz	-13606.5082166538
frame_0054.xyz	-13606.1271197078
frame_0055.xyz	-13605.3327163178
frame_0056.xyz	-13603.8430597730
frame_0057.xyz	-13601.2606322643
frame_0058.xyz	-13596.7133074118
frame_0059.xyz	-13589.6491985320
frame_0060.xyz	-13585.0109620023
