# File	Energy (eV)
frame_0001.xyz	-13606.1981666022
frame_0002.xyz	-13606.1981501592
frame_0003.xyz	-13606.1981408636
frame_0004.xyz	-13606.1981312520
frame_0005.xyz	-13606.1981221686
frame_0006.xyz	-13606.1981120077
frame_0007.xyz	-13606.1981024498
frame_0008.xyz	-13606.1980925426
frame_0009.xyz	-13606.1980832601
frame_0010.xyz	-13606.1980742029
frame_0011.xyz	-13606.1980955971
frame_0012.xyz	-13606.2106428890
frame_0013.xyz	-13606.3061126196
frame_0014.xyz	-13606.5644924641
frame_0015.xyz	-13606.9971677767
frame_0016.xyz	-13607.3771055995
frame_0017.xyz	-13607.5943859877
frame_0018.xyz	-13607.6961343374
frame_0019.xyz	-13607.7772772915
frame_0020.xyz	-13607.7904806521
frame_0021.xyz	-13607.7803829750
frame_0022.xyz	-13607.7745038780
frame_0023.xyz	-13607.7740795886
frame_0024.xyz	-13607.7764577467
frame_0025.xyz	-13607.7793330417
frame_0026.xyz	-13607.7819186188
frame_0027.xyz	-13607.7843719500
frame_0028.xyz	-13607.7872332891
frame_0029.xyz	-13607.7911617477
frame_0030.xyz	-13607.7955065798
frame_0031.xyz	-13607.8000477246
frame_0032.xyz	-13607.8043566463
frame_0033.xyz	-13607.8083463020
frame_0034.xyz	-13607.8126140358
frame_0035.xyz	-13607.8176690052
frame_0036.xyz	-13607.8234378165
frame_0037.xyz	-13607.8290151524
frame_0038.xyz	-13607.8334209494
frame_0039.xyz	-13607.8338327694
frame_0040.xyz	-13607.8252478019
frame_0041.xyz	-13607.8007933390
frame_0042.xyz	-13607.7535465551
frame_0043.xyz	-13607.6775327832
frame_0044.xyz	-13607.5729812658
frame_0045.xyz	-13607.4024246264
frame_0046.xyz	-13607.1682188994
frame_0047.xyz	-13607.0779665810
frame_0048.xyz	-13607.1384098450
frame_0049.xyz	-13607.1201466141
frame_0050.xyz	-13606.9626101083
frame_0051.xyz	-13607.0217814549
frame_0052.xyz	-13607.1274877634
frame_0053.xyz	-13607.1094528317
frame_0054.xyz	-13606.8077212561
frame_0055.xyz	-13606.0614642616
frame_0056.xyz	-13604.6359758811
frame_0057.xyz	-13602.0071487801
frame_0058.xyz	-13597.4653411568
frame_0059.xyz	-13590.7374528493
frame_0060.xyz	-13584.9703523161
frame_0061.xyz	-13580.6370011734
frame_0062.xyz	-13577.3486519379
frame_0063.xyz	-13574.1538295479
orca.001.xyz	-13606.1981666892
orca.002.xyz	-13606.1981501949
orca.003.xyz	-13606.1981409355
orca.004.xyz	-13606.1981313009
orca.005.xyz	-13606.1981221263
orca.006.xyz	-13606.1981120539
orca.007.xyz	-13606.1981023367
orca.008.xyz	-13606.1980925356
orca.009.xyz	-13606.1980833141
orca.010.xyz	-13606.1980741133
orca.011.xyz	-13606.1980955554
orca.012.xyz	-13606.2106426905
orca.013.xyz	-13606.3061125438
orca.014.xyz	-13606.5644938426
orca.015.xyz	-13606.9971690903
orca.016.xyz	-13607.3771052206
orca.017.xyz	-13607.5943866514
orca.018.xyz	-13607.6961348150
orca.019.xyz	-13607.7772772962
orca.020.xyz	-13607.7904805355
orca.021.xyz	-13607.7803831172
orca.022.xyz	-13607.7745038452
orca.023.xyz	-13607.7740796126
orca.024.xyz	-13607.7764578799
orca.025.xyz	-13607.7793329079
orca.026.xyz	-13607.7819185388
orca.027.xyz	-13607.7843720193
orca.028.xyz	-13607.7872331856
orca.029.xyz	-13607.7911619600
orca.030.xyz	-13607.7955064867
orca.031.xyz	-13607.8000477918
orca.032.xyz	-13607.8043566353
orca.033.xyz	-13607.8083463534
orca.034.xyz	-13607.8126141393
orca.035.xyz	-13607.8176688404
orca.036.xyz	-13607.8234380881
orca.037.xyz	-13607.8290153146
orca.038.xyz	-13607.8334207365
orca.039.xyz	-13607.8338327966
orca.040.xyz	-13607.8252477272
orca.041.xyz	-13607.8007933524
orca.042.xyz	-13607.7535460662
orca.043.xyz	-13607.6775326912
orca.044.xyz	-13607.5729805852
orca.045.xyz	-13607.4024245142
orca.046.xyz	-13607.1682178846
orca.047.xyz	-13607.0779665638
orca.048.xyz	-13607.1384095542
orca.049.xyz	-13607.1201466235
orca.050.xyz	-13606.9626100377
orca.051.xyz	-13607.0217810276
orca.052.xyz	-13607.1274877435
orca.053.xyz	-13607.1094522089
orca.054.xyz	-13606.8077218330
orca.055.xyz	-13606.0614713454
orca.056.xyz	-13604.6359812462
orca.057.xyz	-13602.0071444529
orca.058.xyz	-13597.4653087077
orca.059.xyz	-13590.7374563995
orca.060.xyz	-13584.9703348678
orca.061.xyz	-13580.6370096897
orca.062.xyz	-13577.3486487519
orca.063.xyz	-13574.1538163575
