# File	Energy (eV)
frame_0001.xyz	-13606.5362570408
frame_0002.xyz	-13606.5362674716
frame_0003.xyz	-13606.5362684849
frame_0004.xyz	-13606.5362694982
frame_0005.xyz	-13606.5362703923
frame_0006.xyz	-13606.5362724188
frame_0007.xyz	-13606.5362725976
frame_0008.xyz	-13606.5362736705
frame_0009.xyz	-13606.5362754587
frame_0010.xyz	-13606.5362782601
frame_0011.xyz	-13606.5357180360
frame_0012.xyz	-13606.3600931290
frame_0013.xyz	-13605.9896551493
frame_0014.xyz	-13605.8937291029
frame_0015.xyz	-13605.8026577357
frame_0016.xyz	-13605.8272158030
frame_0017.xyz	-13605.8747581366
frame_0018.xyz	-13605.8590632800
frame_0019.xyz	-13605.8265493039
frame_0020.xyz	-13605.7869383219
frame_0021.xyz	-13605.7410760048
frame_0022.xyz	-13605.6952391985
frame_0023.xyz	-13605.6542620781
frame_0024.xyz	-13605.6204971198
frame_0025.xyz	-13605.5942515257
frame_0026.xyz	-13605.5756963614
frame_0027.xyz	-13605.5651782874
frame_0028.xyz	-13605.5623762730
frame_0029.xyz	-13605.5665735129
frame_0030.xyz	-13605.5758584860
frame_0031.xyz	-13605.5900045756
frame_0032.xyz	-13605.6079431895
frame_0033.xyz	-13605.6274991158
frame_0034.xyz	-13605.6463317994
frame_0035.xyz	-13605.6622054699
frame_0036.xyz	-13605.6733307961
frame_0037.xyz	-13605.6793420437
frame_0038.xyz	-13605.6824307564
frame_0039.xyz	-13605.6872716072
frame_0040.xyz	-13605.7003183487
frame_0041.xyz	-13605.7256375674
frame_0042.xyz	-13605.7613613728
frame_0043.xyz	-13605.8089097861
frame_0044.xyz	-13605.8998720768
frame_0045.xyz	-13606.0922545317
frame_0046.xyz	-13606.3351673010
frame_0047.xyz	-13606.6125996831
frame_0048.xyz	-13606.9272162739
frame_0049.xyz	-13607.2705038014
frame_0050.xyz	-13607.5795631680
frame_0051.xyz	-13607.8275916997
frame_0052.xyz	-13607.9706141475
frame_0053.xyz	-13607.9379065159
frame_0054.xyz	-13607.6185541871
frame_0055.xyz	-13606.8517178420
frame_0056.xyz	-13605.4054002884
frame_0057.xyz	-13602.8249700192
frame_0058.xyz	-13598.3111350659
frame_0059.xyz	-13590.9011600140
frame_0060.xyz	-13581.1339976910
frame_0061.xyz	-13570.2573058728
frame_0062.xyz	-13560.9026382092
frame_0063.xyz	-13553.0450637463
orca.001.xyz	-13606.5362568024
orca.002.xyz	-13606.5362674120
orca.003.xyz	-13606.5362686041
orca.004.xyz	-13606.5362696770
orca.005.xyz	-13606.5362702135
orca.006.xyz	-13606.5362721804
orca.007.xyz	-13606.5362720612
orca.008.xyz	-13606.5362743858
orca.009.xyz	-13606.5362758759
orca.010.xyz	-13606.5362772468
orca.011.xyz	-13606.5369358781
orca.012.xyz	-13606.3589570645
orca.013.xyz	-13605.9898356322
orca.014.xyz	-13605.8936793927
orca.015.xyz	-13605.8026577357
orca.016.xyz	-13605.8272082928
orca.017.xyz	-13605.8747650507
orca.018.xyz	-13605.8590630415
orca.019.xyz	-13605.8265521649
orca.020.xyz	-13605.7869385603
orca.021.xyz	-13605.7410800579
orca.022.xyz	-13605.6952388409
orca.023.xyz	-13605.6542617205
orca.024.xyz	-13605.6204975966
orca.025.xyz	-13605.5942510489
orca.026.xyz	-13605.5756964806
orca.027.xyz	-13605.5651785258
orca.028.xyz	-13605.5623761538
orca.029.xyz	-13605.5665745858
orca.030.xyz	-13605.5758578900
orca.031.xyz	-13605.5900051716
orca.032.xyz	-13605.6079430703
orca.033.xyz	-13605.6275003079
orca.034.xyz	-13605.6463325146
orca.035.xyz	-13605.6622052315
orca.036.xyz	-13605.6733305577
orca.037.xyz	-13605.6793427590
orca.038.xyz	-13605.6824303988
orca.039.xyz	-13605.6872729186
orca.040.xyz	-13605.7003187064
orca.041.xyz	-13605.7256380442
orca.042.xyz	-13605.7613614920
orca.043.xyz	-13605.8089099053
orca.044.xyz	-13605.8998724345
orca.045.xyz	-13606.0922538165
orca.046.xyz	-13606.3351676587
orca.047.xyz	-13606.6126002196
orca.048.xyz	-13606.9272145453
orca.049.xyz	-13607.2705038014
orca.050.xyz	-13607.5795640770
orca.051.xyz	-13607.8275909844
orca.052.xyz	-13607.9706143263
orca.053.xyz	-13607.9379059795
orca.054.xyz	-13607.6185547087
orca.055.xyz	-13606.8517227891
orca.056.xyz	-13605.4054050568
orca.057.xyz	-13602.8249690655
orca.058.xyz	-13598.3111169461
orca.059.xyz	-13590.9011523846
orca.060.xyz	-13581.1339633587
orca.061.xyz	-13570.2573516491
orca.062.xyz	-13560.9026191357
orca.063.xyz	-13553.0450217846
