# File	Energy (eV)
frame_0001.xyz	-13595.5421802366
frame_0002.xyz	-13595.5388332533
frame_0003.xyz	-13595.5353995303
frame_0004.xyz	-13595.5318667592
frame_0005.xyz	-13595.5282291697
frame_0006.xyz	-13595.5244935157
frame_0007.xyz	-13595.5206409583
frame_0008.xyz	-13595.5166791568
frame_0009.xyz	-13595.5125955196
frame_0010.xyz	-13595.5083874205
frame_0011.xyz	-13595.5040496441
frame_0012.xyz	-13595.4995826447
frame_0013.xyz	-13595.4949710185
frame_0014.xyz	-13595.4902181478
frame_0015.xyz	-13595.4853098916
frame_0016.xyz	-13595.4802395703
frame_0017.xyz	-13595.4750059212
frame_0018.xyz	-13595.4696021380
frame_0019.xyz	-13595.4640260713
frame_0020.xyz	-13595.4582628312
frame_0021.xyz	-13595.4543031083
frame_0022.xyz	-13595.5074185358
frame_0023.xyz	-13595.6940998288
frame_0024.xyz	-13595.9575984145
frame_0025.xyz	-13596.1262176486
frame_0026.xyz	-13596.1705079826
frame_0027.xyz	-13596.1968583541
frame_0028.xyz	-13596.2421814876
frame_0029.xyz	-13596.2522355841
frame_0030.xyz	-13596.2049728932
frame_0031.xyz	-13596.1280327963
frame_0032.xyz	-13596.0668820815
frame_0033.xyz	-13596.0881894531
frame_0034.xyz	-13596.1818505304
frame_0035.xyz	-13596.3059166523
frame_0036.xyz	-13596.4587168621
frame_0037.xyz	-13596.6805945264
frame_0038.xyz	-13597.0254465418
frame_0039.xyz	-13597.3682543116
frame_0040.xyz	-13597.5873696210
frame_0041.xyz	-13597.6880847218
frame_0042.xyz	-13597.6703319030
frame_0043.xyz	-13597.5408016743
frame_0044.xyz	-13597.4883638250
frame_0045.xyz	-13597.5159752147
frame_0046.xyz	-13597.5221978279
frame_0047.xyz	-13597.5836358668
frame_0048.xyz	-13597.6567797365
frame_0049.xyz	-13597.6496166440
frame_0050.xyz	-13597.6979746522
frame_0051.xyz	-13597.8574906813
frame_0052.xyz	-13598.0276608245
frame_0053.xyz	-13598.1136066468
frame_0054.xyz	-13597.9954554217
frame_0055.xyz	-13597.6477261262
frame_0056.xyz	-13596.9180907236
frame_0057.xyz	-13595.0994121434
frame_0058.xyz	-13591.3798010500
frame_0059.xyz	-13585.0638273584
frame_0060.xyz	-13578.0143037440
frame_0061.xyz	-13574.7361067312
frame_0062.xyz	-13573.5147514047
frame_0063.xyz	-13579.9408694061
orca.001.xyz	-13595.5421791637
orca.002.xyz	-13595.5388312267
orca.003.xyz	-13595.5353974441
orca.004.xyz	-13595.5318690242
orca.005.xyz	-13595.5282319712
orca.006.xyz	-13595.5244939851
orca.007.xyz	-13595.5206455478
orca.008.xyz	-13595.5166771898
orca.009.xyz	-13595.5125946889
orca.010.xyz	-13595.5083882550
orca.011.xyz	-13595.5040501209
orca.012.xyz	-13595.4995804990
orca.013.xyz	-13595.4949714394
orca.014.xyz	-13595.4902159983
orca.015.xyz	-13595.4853101300
orca.016.xyz	-13595.4802411126
orca.017.xyz	-13595.4750085438
orca.018.xyz	-13595.4696046414
orca.019.xyz	-13595.4640285188
orca.020.xyz	-13595.4582658077
orca.021.xyz	-13595.4543023298
orca.022.xyz	-13595.5074209759
orca.023.xyz	-13595.6940978544
orca.024.xyz	-13595.9575984778
orca.025.xyz	-13596.1262137743
orca.026.xyz	-13596.1705071555
orca.027.xyz	-13596.1968612785
orca.028.xyz	-13596.2421827430
orca.029.xyz	-13596.2522342207
orca.030.xyz	-13596.2049715297
orca.031.xyz	-13596.1280333402
orca.032.xyz	-13596.0668827930
orca.033.xyz	-13596.0881878512
orca.034.xyz	-13596.1818523185
orca.035.xyz	-13596.3059168981
orca.036.xyz	-13596.4587191196
orca.037.xyz	-13596.6805972161
orca.038.xyz	-13597.0254528748
orca.039.xyz	-13597.3682552652
orca.040.xyz	-13597.5873710068
orca.041.xyz	-13597.6880857350
orca.042.xyz	-13597.6703312995
orca.043.xyz	-13597.5408031570
orca.044.xyz	-13597.4883636760
orca.045.xyz	-13597.5159754531
orca.046.xyz	-13597.5221999215
orca.047.xyz	-13597.5836382510
orca.048.xyz	-13597.6567776652
orca.049.xyz	-13597.6496169643
orca.050.xyz	-13597.6979750695
orca.051.xyz	-13597.8574927600
orca.052.xyz	-13598.0276618378
orca.053.xyz	-13598.1136057602
orca.054.xyz	-13597.9954557197
orca.055.xyz	-13597.6477269458
orca.056.xyz	-13596.9180942329
orca.057.xyz	-13595.0994138943
orca.058.xyz	-13591.3797842415
orca.059.xyz	-13585.0638151692
orca.060.xyz	-13578.0142941179
orca.061.xyz	-13574.7361244934
orca.062.xyz	-13573.5147569554
orca.063.xyz	-13579.9409246596
