# File	Energy (eV)
frame_0001.xyz	-13603.7507238511
frame_0002.xyz	-13603.7508285168
frame_0003.xyz	-13603.7508404377
frame_0004.xyz	-13603.7508466366
frame_0005.xyz	-13603.7508525971
frame_0006.xyz	-13603.7508595112
frame_0007.xyz	-13603.7508716706
frame_0008.xyz	-13603.7508762005
frame_0009.xyz	-13603.7508893135
frame_0010.xyz	-13603.7509043339
frame_0011.xyz	-13603.7481565598
frame_0012.xyz	-13602.4377224568
frame_0013.xyz	-13596.6499002102
frame_0014.xyz	-13595.2233340863
frame_0015.xyz	-13594.9747979763
frame_0016.xyz	-13594.8945043209
frame_0017.xyz	-13594.8687226895
frame_0018.xyz	-13594.9246823910
frame_0019.xyz	-13594.9535243634
frame_0020.xyz	-13594.9301726941
frame_0021.xyz	-13594.9255044583
frame_0022.xyz	-13594.9200866345
frame_0023.xyz	-13594.9182469967
frame_0024.xyz	-13594.9269302014
frame_0025.xyz	-13594.9433286313
frame_0026.xyz	-13594.9622771862
frame_0027.xyz	-13594.9794833783
frame_0028.xyz	-13594.9920499447
frame_0029.xyz	-13594.9993121746
frame_0030.xyz	-13595.0008924130
frame_0031.xyz	-13594.9990890149
frame_0032.xyz	-13594.9964664105
frame_0033.xyz	-13594.9964101437
frame_0034.xyz	-13595.0037248257
frame_0035.xyz	-13595.0226009015
frame_0036.xyz	-13595.0532405499
frame_0037.xyz	-13595.0902526501
frame_0038.xyz	-13595.1262729290
frame_0039.xyz	-13595.1596515301
frame_0040.xyz	-13595.1997401837
frame_0041.xyz	-13595.2563331250
frame_0042.xyz	-13595.3344400052
frame_0043.xyz	-13595.4323136929
frame_0044.xyz	-13595.5477788571
frame_0045.xyz	-13595.6925752285
frame_0046.xyz	-13595.8786466244
frame_0047.xyz	-13596.1167590741
frame_0048.xyz	-13596.5622441891
frame_0049.xyz	-13597.5409600857
frame_0050.xyz	-13598.6343515042
frame_0051.xyz	-13599.0500333432
frame_0052.xyz	-13598.9152848843
frame_0053.xyz	-13598.4878423336
frame_0054.xyz	-13597.8028218869
frame_0055.xyz	-13596.8039205197
frame_0056.xyz	-13595.3665130261
frame_0057.xyz	-13593.0410268429
frame_0058.xyz	-13588.8630283001
frame_0059.xyz	-13581.7404582623
frame_0060.xyz	-13572.6646506909
frame_0061.xyz	-13563.7752502087
frame_0062.xyz	-13556.4665954235
frame_0063.xyz	-13550.0091560009
orca.001.xyz	-13603.7507231358
orca.002.xyz	-13603.7508275631
orca.003.xyz	-13603.7508385304
orca.004.xyz	-13603.7508478287
orca.005.xyz	-13603.7508566502
orca.006.xyz	-13603.7508587960
orca.007.xyz	-13603.7508652333
orca.008.xyz	-13603.7508785847
orca.009.xyz	-13603.7508885983
orca.010.xyz	-13603.7509043339
orca.011.xyz	-13603.7541282299
orca.012.xyz	-13602.4277489308
orca.013.xyz	-13596.6495702389
orca.014.xyz	-13595.2232577923
orca.015.xyz	-13594.9747989300
orca.016.xyz	-13594.8945043209
orca.017.xyz	-13594.8687245968
orca.018.xyz	-13594.9247033719
orca.019.xyz	-13594.9535100583
orca.020.xyz	-13594.9301688794
orca.021.xyz	-13594.9255006436
orca.022.xyz	-13594.9200885418
orca.023.xyz	-13594.9182441357
orca.024.xyz	-13594.9269263867
orca.025.xyz	-13594.9433286313
orca.026.xyz	-13594.9622771862
orca.027.xyz	-13594.9794824246
orca.028.xyz	-13594.9920499447
orca.029.xyz	-13594.9993131283
orca.030.xyz	-13595.0008914593
orca.031.xyz	-13594.9990918759
orca.032.xyz	-13594.9964673642
orca.033.xyz	-13594.9964091900
orca.034.xyz	-13595.0037238720
orca.035.xyz	-13595.0225989941
orca.036.xyz	-13595.0532405499
orca.037.xyz	-13595.0902536038
orca.038.xyz	-13595.1262729290
orca.039.xyz	-13595.1596534375
orca.040.xyz	-13595.1997401837
orca.041.xyz	-13595.2563331250
orca.042.xyz	-13595.3344380978
orca.043.xyz	-13595.4323117855
orca.044.xyz	-13595.5477788571
orca.045.xyz	-13595.6925752285
orca.046.xyz	-13595.8786456707
orca.047.xyz	-13596.1167590741
orca.048.xyz	-13596.5622403744
orca.049.xyz	-13597.5409600857
orca.050.xyz	-13598.6343543652
orca.051.xyz	-13599.0500362042
orca.052.xyz	-13598.9152810696
orca.053.xyz	-13598.4878375653
orca.054.xyz	-13597.8028228405
orca.055.xyz	-13596.8039252880
orca.056.xyz	-13595.3665158871
orca.057.xyz	-13593.0410239819
orca.058.xyz	-13588.8630130413
orca.059.xyz	-13581.7404487255
orca.060.xyz	-13572.6646316174
orca.061.xyz	-13563.7752845410
orca.062.xyz	-13556.4665916089
orca.063.xyz	-13550.0091178540
