# File	Energy (eV)
frame_0001.xyz	-13605.0582962589
frame_0002.xyz	-13605.0582980094
frame_0003.xyz	-13605.0582978427
frame_0004.xyz	-13605.0582974881
frame_0005.xyz	-13605.0582971226
frame_0006.xyz	-13605.0582965567
frame_0007.xyz	-13605.0582959891
frame_0008.xyz	-13605.0582953139
frame_0009.xyz	-13605.0582946151
frame_0010.xyz	-13605.0582937144
frame_0011.xyz	-13605.0584223602
frame_0012.xyz	-13605.1087240978
frame_0013.xyz	-13605.2250118461
frame_0014.xyz	-13605.0201297678
frame_0015.xyz	-13604.8061927236
frame_0016.xyz	-13604.7184096526
frame_0017.xyz	-13604.6540015375
frame_0018.xyz	-13604.5888285010
frame_0019.xyz	-13604.5392331444
frame_0020.xyz	-13604.5121162933
frame_0021.xyz	-13604.5022358486
frame_0022.xyz	-13604.5043766232
frame_0023.xyz	-13604.5167601359
frame_0024.xyz	-13604.5378221465
frame_0025.xyz	-13604.5661000602
frame_0026.xyz	-13604.6002598720
frame_0027.xyz	-13604.6393569296
frame_0028.xyz	-13604.6827853971
frame_0029.xyz	-13604.7298766209
frame_0030.xyz	-13604.7800058069
frame_0031.xyz	-13604.8325368036
frame_0032.xyz	-13604.8873664483
frame_0033.xyz	-13604.9446838098
frame_0034.xyz	-13605.0043548199
frame_0035.xyz	-13605.0654044687
frame_0036.xyz	-13605.1259788511
frame_0037.xyz	-13605.1849978199
frame_0038.xyz	-13605.2451249874
frame_0039.xyz	-13605.3125696512
frame_0040.xyz	-13605.3953742279
frame_0041.xyz	-13605.5060845869
frame_0042.xyz	-13605.6548705263
frame_0043.xyz	-13605.8406572832
frame_0044.xyz	-13606.0592300239
frame_0045.xyz	-13606.3078760140
frame_0046.xyz	-13606.5972486035
frame_0047.xyz	-13606.9219432623
frame_0048.xyz	-13607.1585002289
frame_0049.xyz	-13607.3526210038
frame_0050.xyz	-13607.6079973497
frame_0051.xyz	-13607.8470761615
frame_0052.xyz	-13607.9943387036
frame_0053.xyz	-13607.9689020293
frame_0054.xyz	-13607.6640578093
frame_0055.xyz	-13606.8931330330
frame_0056.xyz	-13605.3579868799
frame_0057.xyz	-13602.9154863660
frame_0058.xyz	-13598.8090607231
frame_0059.xyz	-13591.7839659668
frame_0060.xyz	-13588.4268712990
frame_0061.xyz	-13592.9416018311
frame_0062.xyz	-13590.7823782911
frame_0063.xyz	-13589.7324039054
orca.001.xyz	-13605.0582962792
orca.002.xyz	-13605.0582980176
orca.003.xyz	-13605.0582978588
orca.004.xyz	-13605.0582974970
orca.005.xyz	-13605.0582971093
orca.006.xyz	-13605.0582965779
orca.007.xyz	-13605.0582959580
orca.008.xyz	-13605.0582953139
orca.009.xyz	-13605.0582946261
orca.010.xyz	-13605.0582936917
orca.011.xyz	-13605.0584223513
orca.012.xyz	-13605.1087236404
orca.013.xyz	-13605.2250118913
orca.014.xyz	-13605.0201291526
orca.015.xyz	-13604.8061922817
orca.016.xyz	-13604.7184097457
orca.017.xyz	-13604.6540012650
orca.018.xyz	-13604.5888282166
orca.019.xyz	-13604.5392331656
orca.020.xyz	-13604.5121162804
orca.021.xyz	-13604.5022357685
orca.022.xyz	-13604.5043766862
orca.023.xyz	-13604.5167600075
orca.024.xyz	-13604.5378219982
orca.025.xyz	-13604.5661001932
orca.026.xyz	-13604.6002597734
orca.027.xyz	-13604.6393569379
orca.028.xyz	-13604.6827857663
orca.029.xyz	-13604.7298766354
orca.030.xyz	-13604.7800061129
orca.031.xyz	-13604.8325368116
orca.032.xyz	-13604.8873667890
orca.033.xyz	-13604.9446837748
orca.034.xyz	-13605.0043546504
orca.035.xyz	-13605.0654047044
orca.036.xyz	-13605.1259783304
orca.037.xyz	-13605.1849978958
orca.038.xyz	-13605.2451254288
orca.039.xyz	-13605.3125700898
orca.040.xyz	-13605.3953743117
orca.041.xyz	-13605.5060845500
orca.042.xyz	-13605.6548712861
orca.043.xyz	-13605.8406574974
orca.044.xyz	-13606.0592314775
orca.045.xyz	-13606.3078761158
orca.046.xyz	-13606.5972500667
orca.047.xyz	-13606.9219430908
orca.048.xyz	-13607.1584990688
orca.049.xyz	-13607.3526206110
orca.050.xyz	-13607.6079979652
orca.051.xyz	-13607.8470754983
orca.052.xyz	-13607.9943387860
orca.053.xyz	-13607.9689013579
orca.054.xyz	-13607.6640583798
orca.055.xyz	-13606.8931406507
orca.056.xyz	-13605.3579923482
orca.057.xyz	-13602.9154824163
orca.058.xyz	-13598.8090314291
orca.059.xyz	-13591.7839706100
orca.060.xyz	-13588.4269149280
orca.061.xyz	-13592.9415975432
orca.062.xyz	-13590.7823779326
orca.063.xyz	-13589.7324012323
