# File	Energy (eV)
frame_0001.xyz	-13578.1611107345
frame_0002.xyz	-13578.1327330819
frame_0003.xyz	-13578.1029888713
frame_0004.xyz	-13578.0718169550
frame_0005.xyz	-13578.0391466879
frame_0006.xyz	-13578.0049013275
frame_0007.xyz	-13577.9690064253
frame_0008.xyz	-13577.9313810615
frame_0009.xyz	-13577.8919452155
frame_0010.xyz	-13577.8506157281
frame_0011.xyz	-13577.8073073049
frame_0012.xyz	-13577.7618950702
frame_0013.xyz	-13577.7138694792
frame_0014.xyz	-13577.6622940895
frame_0015.xyz	-13577.6064793173
frame_0016.xyz	-13577.5468493050
frame_0017.xyz	-13577.4854504755
frame_0018.xyz	-13577.4257817466
frame_0019.xyz	-13577.3718640423
frame_0020.xyz	-13577.3267780430
frame_0021.xyz	-13577.2915519117
frame_0022.xyz	-13577.2650128676
frame_0023.xyz	-13577.2444881044
frame_0024.xyz	-13577.2270561871
frame_0025.xyz	-13577.2102892638
frame_0026.xyz	-13577.1921754754
frame_0027.xyz	-13577.1696357653
frame_0028.xyz	-13577.1364952785
frame_0029.xyz	-13577.0827571647
frame_0030.xyz	-13576.9959430589
frame_0031.xyz	-13576.8646376958
frame_0032.xyz	-13576.6781631749
frame_0033.xyz	-13576.4244461538
frame_0034.xyz	-13576.0934585674
frame_0035.xyz	-13575.6925132071
frame_0036.xyz	-13575.2707331071
frame_0037.xyz	-13574.9235312666
frame_0038.xyz	-13574.7073648589
frame_0039.xyz	-13574.5733964421
frame_0040.xyz	-13574.5174654292
frame_0041.xyz	-13574.5949764658
frame_0042.xyz	-13574.8209656104
frame_0043.xyz	-13575.1480654072
frame_0044.xyz	-13575.4989464907
frame_0045.xyz	-13575.8178743287
frame_0046.xyz	-13576.1956402263
frame_0047.xyz	-13576.9816332493
frame_0048.xyz	-13577.3597552874
frame_0049.xyz	-13577.5852353796
frame_0050.xyz	-13578.8111044104
frame_0051.xyz	-13579.5952644286
frame_0052.xyz	-13579.9902293253
frame_0053.xyz	-13580.1457572188
frame_0054.xyz	-13580.0369257925
frame_0055.xyz	-13579.4331625884
frame_0056.xyz	-13578.0484808036
frame_0057.xyz	-13575.4379776124
frame_0058.xyz	-13571.3025616129
frame_0059.xyz	-13567.2527460324
frame_0060.xyz	-13566.3748123277
