# File	Energy (eV)
frame_0001.xyz	-13603.6221228428
frame_0002.xyz	-13603.6221466780
frame_0003.xyz	-13603.6221405031
frame_0004.xyz	-13603.6221338012
frame_0005.xyz	-13603.6221273976
frame_0006.xyz	-13603.6221193331
frame_0007.xyz	-13603.6221122856
frame_0008.xyz	-13603.6221040269
frame_0009.xyz	-13603.6220966034
frame_0010.xyz	-13603.6220891503
frame_0011.xyz	-13603.6220828991
frame_0012.xyz	-13603.6230846218
frame_0013.xyz	-13603.6253003171
frame_0014.xyz	-13603.5867782947
frame_0015.xyz	-13603.4839532970
frame_0016.xyz	-13603.3091130716
frame_0017.xyz	-13603.1438364514
frame_0018.xyz	-13603.0849762014
frame_0019.xyz	-13603.1560002008
frame_0020.xyz	-13603.2665963001
frame_0021.xyz	-13603.3490639198
frame_0022.xyz	-13603.3955582487
frame_0023.xyz	-13603.4431257568
frame_0024.xyz	-13603.4935279821
frame_0025.xyz	-13603.5310159527
frame_0026.xyz	-13603.5701079508
frame_0027.xyz	-13603.6145585944
frame_0028.xyz	-13603.6587500622
frame_0029.xyz	-13603.7034273892
frame_0030.xyz	-13603.7559235438
frame_0031.xyz	-13603.8201982289
frame_0032.xyz	-13603.8939359835
frame_0033.xyz	-13603.9685442064
frame_0034.xyz	-13604.0373760647
frame_0035.xyz	-13604.0968738969
frame_0036.xyz	-13604.1495190865
frame_0037.xyz	-13604.2112008528
frame_0038.xyz	-13604.2856761472
frame_0039.xyz	-13604.3898481088
frame_0040.xyz	-13604.5495579239
frame_0041.xyz	-13604.7656245596
frame_0042.xyz	-13605.0324332462
frame_0043.xyz	-13605.3352032391
frame_0044.xyz	-13605.6392938231
frame_0045.xyz	-13605.9314161253
frame_0046.xyz	-13606.2254837397
frame_0047.xyz	-13606.5181536779
frame_0048.xyz	-13606.8209784003
frame_0049.xyz	-13607.1226423946
frame_0050.xyz	-13607.4169806127
frame_0051.xyz	-13607.6706421058
frame_0052.xyz	-13607.8200221764
frame_0053.xyz	-13607.7951728652
frame_0054.xyz	-13607.4856737148
frame_0055.xyz	-13606.7284525140
frame_0056.xyz	-13605.2503543875
frame_0057.xyz	-13602.5116096819
frame_0058.xyz	-13597.6482136710
frame_0059.xyz	-13589.8490718789
frame_0060.xyz	-13582.3376342255
frame_0061.xyz	-13578.3945954846
frame_0062.xyz	-13575.1773907645
frame_0063.xyz	-13570.9756417239
orca.001.xyz	-13603.6221229792
orca.002.xyz	-13603.6221467419
orca.003.xyz	-13603.6221406576
orca.004.xyz	-13603.6221338897
orca.005.xyz	-13603.6221273081
orca.006.xyz	-13603.6221195073
orca.007.xyz	-13603.6221120473
orca.008.xyz	-13603.6221040544
orca.009.xyz	-13603.6220966715
orca.010.xyz	-13603.6220889827
orca.011.xyz	-13603.6220828662
orca.012.xyz	-13603.6230844393
orca.013.xyz	-13603.6253000977
orca.014.xyz	-13603.5867782474
orca.015.xyz	-13603.4839529605
orca.016.xyz	-13603.3091137253
orca.017.xyz	-13603.1438364395
orca.018.xyz	-13603.0849764892
orca.019.xyz	-13603.1560004451
orca.020.xyz	-13603.2665969803
orca.021.xyz	-13603.3490636073
orca.022.xyz	-13603.3955581780
orca.023.xyz	-13603.4431254099
orca.024.xyz	-13603.4935279826
orca.025.xyz	-13603.5310159067
orca.026.xyz	-13603.5701077824
orca.027.xyz	-13603.6145588281
orca.028.xyz	-13603.6587503344
orca.029.xyz	-13603.7034272051
orca.030.xyz	-13603.7559240744
orca.031.xyz	-13603.8201980645
orca.032.xyz	-13603.8939363513
orca.033.xyz	-13603.9685442017
orca.034.xyz	-13604.0373757932
orca.035.xyz	-13604.0968743630
orca.036.xyz	-13604.1495184396
orca.037.xyz	-13604.2112008846
orca.038.xyz	-13604.2856769561
orca.039.xyz	-13604.3898488441
orca.040.xyz	-13604.5495581418
orca.041.xyz	-13604.7656245154
orca.042.xyz	-13605.0324348397
orca.043.xyz	-13605.3352035638
orca.044.xyz	-13605.6392955044
orca.045.xyz	-13605.9314162029
orca.046.xyz	-13606.2254850990
orca.047.xyz	-13606.5181534706
orca.048.xyz	-13606.8209764414
orca.049.xyz	-13607.1226418831
orca.050.xyz	-13607.4169812869
orca.051.xyz	-13607.6706414051
orca.052.xyz	-13607.8200222305
orca.053.xyz	-13607.7951721882
orca.054.xyz	-13607.4856742964
orca.055.xyz	-13606.7284597892
orca.056.xyz	-13605.2503598825
orca.057.xyz	-13602.5116048070
orca.058.xyz	-13597.6481806435
orca.059.xyz	-13589.8490766604
orca.060.xyz	-13582.3376170332
orca.061.xyz	-13578.3946030553
orca.062.xyz	-13575.1773894910
orca.063.xyz	-13570.9756247845
