file,mace-omol,fairchem-omol,orb-omol,aimnet2,aim2nse,polar
frame_0001.xyz,-15679.143300075400000,-15662.052289584700000,-15643.655681148700000,-15672.511897215600000,-15688.704538826600000,-15681.392348343100000
frame_0002.xyz,-15672.262761663600000,-15672.920405963500000,-15643.983183096400000,-15678.427607948000000,-15690.385012080400000,-15674.773509846700000
frame_0003.xyz,-15682.369940012500000,-15682.586124042100000,-15644.239396248200000,-15686.650442550000000,-15692.729722741300000,-15682.278047695900000
frame_0004.xyz,-15688.823647540200000,-15688.947839358900000,-15644.409657924200000,-15693.211904222200000,-15694.678039920300000,-15688.858111264600000
frame_0005.xyz,-15692.492088509100000,-15692.539144137900000,-15644.521120698800000,-15696.863516355000000,-15697.045725933400000,-15692.494177623800000
frame_0006.xyz,-15694.558321351700000,-15694.548808673500000,-15644.547492376200000,-15698.831639254500000,-15698.832872059900000,-15694.520055948900000
frame_0007.xyz,-15695.619247691600000,-15695.600394824600000,-15644.496505143200000,-15699.819816092000000,-15699.824346428400000,-15695.594810885900000
frame_0008.xyz,-15696.088103645200000,-15696.070935825000000,-15644.384986720400000,-15700.258834267100000,-15700.289691926800000,-15696.077840342500000
frame_0009.xyz,-15696.208724007100000,-15696.197674373200000,-15644.101961740900000,-15700.372970739400000,-15700.421183699300000,-15696.207216218600000
frame_0010.xyz,-15696.145021231400000,-15696.143632033900000,-15643.746411211500000,-15700.310484329300000,-15700.370144415500000,-15696.154693186600000
frame_0011.xyz,-15695.969144273800000,-15695.981428722000000,-15643.282995267900000,-15700.142983907900000,-15700.222760875300000,-15695.991458716100000
frame_0012.xyz,-15695.730718972900000,-15695.762501815400000,-15642.741050551700000,-15699.914567465000000,-15700.003406626700000,-15695.772647316000000
frame_0013.xyz,-15695.478095079300000,-15695.519574741000000,-15642.149946750200000,-15699.643615836300000,-15699.737631271900000,-15695.527230793300000
frame_0014.xyz,-15695.234137668500000,-15695.271529773300000,-15641.516651101500000,-15699.341782743100000,-15699.466588444000000,-15695.262383318600000
frame_0015.xyz,-15694.993447287100000,-15695.027078250500000,-15640.898523650600000,-15699.067113155500000,-15699.218068783300000,-15694.999713128900000
frame_0016.xyz,-15694.765748065700000,-15694.797272304100000,-15640.336395591000000,-15698.876524010700000,-15698.961685816800000,-15694.766371119100000
frame_0017.xyz,-15694.560384580900000,-15694.588768581000000,-15639.873699082500000,-15698.751058960400000,-15698.691370787000000,-15694.548069926900000
frame_0018.xyz,-15694.376290974200000,-15694.400259593600000,-15639.418894870300000,-15698.642470279700000,-15698.454406676400000,-15694.339170122200000
frame_0019.xyz,-15694.266208949900000,-15694.275333026500000,-15638.096881427100000,-15698.659830847800000,-15698.253375681600000,-15694.230557490000000
frame_0020.xyz,-15694.098381062700000,-15694.139352420400000,-15638.142545027000000,-15698.497069353300000,-15698.089147279600000,-15694.058983458400000
frame_0021.xyz,-15693.951067371700000,-15694.017662624000000,-15637.960766930400000,-15698.254455829100000,-15697.991100438600000,-15693.898266481400000
frame_0022.xyz,-15693.820192499600000,-15693.905024150500000,-15637.573029824500000,-15698.039929354600000,-15697.934174748100000,-15693.754483036300000
frame_0023.xyz,-15693.701765231100000,-15693.803540805400000,-15638.117326975700000,-15697.897454584000000,-15697.891870592100000,-15693.626255575900000
frame_0024.xyz,-15693.595449448000000,-15693.712414363500000,-15637.806870651000000,-15697.781617531600000,-15697.849641468100000,-15693.514050390300000
frame_0025.xyz,-15693.499927202600000,-15693.632272342300000,-15637.578636562900000,-15697.666464859600000,-15697.788536042800000,-15693.418032019300000
frame_0026.xyz,-15693.415968313700000,-15693.562038043600000,-15637.146545394400000,-15697.565215582000000,-15697.701639693500000,-15693.337648590800000
frame_0027.xyz,-15693.341905097800000,-15693.500433543800000,-15639.783603119700000,-15697.496717477200000,-15697.611102527500000,-15693.271217317200000
frame_0028.xyz,-15693.280627374500000,-15693.444273570600000,-15639.015464266500000,-15697.460647756300000,-15697.551685598700000,-15693.216429193300000
frame_0029.xyz,-15693.223352881500000,-15693.393484691200000,-15640.460746385100000,-15697.439438441800000,-15697.531129372400000,-15693.171171510300000
frame_0030.xyz,-15693.180144759800000,-15693.350361446000000,-15639.516282624200000,-15697.416466498800000,-15697.530066926700000,-15693.133716301600000
frame_0031.xyz,-15693.155544445700000,-15693.320527652300000,-15640.490272135300000,-15697.381539279600000,-15697.523161831400000,-15693.102452342400000
frame_0032.xyz,-15693.146119427300000,-15693.303454974700000,-15644.490893133500000,-15697.351495767000000,-15697.510333558900000,-15693.075793941700000
frame_0033.xyz,-15693.159304592300000,-15693.284970859100000,-15647.321236175900000,-15697.341843525000000,-15697.507064118100000,-15693.052444018600000
frame_0034.xyz,-15693.162036753600000,-15693.271290401100000,-15649.109926264300000,-15697.334387267000000,-15697.511152243000000,-15693.031485809800000
frame_0035.xyz,-15693.156154086400000,-15693.260240176800000,-15648.384932704100000,-15697.309953266800000,-15697.508014062200000,-15693.012436225800000
frame_0036.xyz,-15693.158125783100000,-15693.267715076100000,-15647.128929238800000,-15697.272198202100000,-15697.493516601000000,-15692.995191581700000
frame_0037.xyz,-15693.175172551900000,-15693.308982471100000,-15644.653389690300000,-15697.232597673300000,-15697.475733690700000,-15692.979598928600000
frame_0038.xyz,-15693.208575143000000,-15693.377263644800000,-15643.177054460500000,-15697.198618808800000,-15697.465173569200000,-15692.965549367500000
frame_0039.xyz,-15693.262326919000000,-15693.463538745500000,-15642.041167583700000,-15697.176500285100000,-15697.463061619400000,-15692.952743391900000
frame_0040.xyz,-15693.361701603100000,-15693.573004344500000,-15641.613158263000000,-15697.168254079300000,-15697.465546659600000,-15692.940965694800000
frame_0041.xyz,-15693.521102416600000,-15693.712298968900000,-15641.662467484600000,-15697.167012268700000,-15697.469210334900000,-15692.929950404100000
frame_0042.xyz,-15693.725039104900000,-15693.837016681300000,-15648.621464858400000,-15697.166156755800000,-15697.472724078100000,-15692.919630861900000
frame_0043.xyz,-15693.907941179300000,-15694.033841708700000,-15665.329073367800000,-15697.165433989900000,-15697.476268477000000,-15692.910126260500000
frame_0044.xyz,-15694.202782548500000,-15694.330384830100000,-15664.548582708800000,-15697.164757551600000,-15697.479724982500000,-15692.901560510700000
frame_0045.xyz,-15694.743733249000000,-15694.735149005500000,-15663.885830890300000,-15697.164074393000000,-15697.482989146100000,-15692.894044150000000
frame_0046.xyz,-15695.653562666600000,-15695.251586536000000,-15663.369095130300000,-15697.163418704700000,-15697.485910675100000,-15692.887605040400000
frame_0047.xyz,-15696.809803697700000,-15695.751473525600000,-15663.001342225400000,-15697.162737036100000,-15697.488890578900000,-15692.882252402300000
frame_0048.xyz,-15698.320804424400000,-15696.148235419800000,-15664.402016871700000,-15697.162142032800000,-15697.491857072200000,-15692.877835073800000
frame_0049.xyz,-15699.833842497100000,-15696.410710433600000,-15664.233763136100000,-15697.161539623500000,-15697.494661896100000,-15692.874175542700000
frame_0050.xyz,-15700.101162239100000,-15696.546950439100000,-15664.264652919900000,-15697.162438133700000,-15697.499139702000000,-15692.870924266300000
frame_0051.xyz,-15700.134408683000000,-15696.567882159800000,-15671.336502750700000,-15697.159640053300000,-15697.498612227000000,-15692.868020150800000
frame_0052.xyz,-15700.138337792200000,-15696.568114856300000,-15665.558846621500000,-15697.160113068300000,-15697.502950770400000,-15692.865469693500000
frame_0053.xyz,-15700.147480606400000,-15696.568599322900000,-15665.632192915600000,-15697.159584650800000,-15697.505388691000000,-15692.862833351900000
frame_0054.xyz,-15700.159077598800000,-15696.569537738400000,-15665.684099049900000,-15697.159031303600000,-15697.507362010400000,-15692.860342720700000
frame_0055.xyz,-15700.165508470000000,-15696.569800952500000,-15665.691069149800000,-15697.158562922900000,-15697.509777186600000,-15692.857918826800000
frame_0056.xyz,-15700.174891029300000,-15696.570457080500000,-15665.702427186700000,-15697.157831678200000,-15697.511569645900000,-15692.855617485300000
frame_0057.xyz,-15700.182968310200000,-15696.570967296200000,-15665.722585655000000,-15697.157461376900000,-15697.513672776900000,-15692.853444677500000
frame_0058.xyz,-15700.190836079600000,-15696.571497062300000,-15665.773044328400000,-15697.156945275200000,-15697.515489911000000,-15692.851351693700000
frame_0059.xyz,-15700.198559734600000,-15696.571992019300000,-15665.769279062500000,-15697.156541245100000,-15697.517392397100000,-15692.849381960700000
frame_0060.xyz,-15700.205813030200000,-15696.572452644000000,-15665.783490082300000,-15697.156157279400000,-15697.519147188900000,-15692.847492897000000
