file,dist_angs,uks_E_hartrees,rks_E_hartrees
frame_0001.xyz,0.93636364,-575.2509594,-575.2509508
frame_0002.xyz,1.04545455,-575.9246321,-575.9246251
frame_0003.xyz,1.15454545,-576.3226797,-576.32267
frame_0004.xyz,1.26363636,-576.5556505,-576.5556417
frame_0005.xyz,1.37272727,-576.689705,-576.6896964
frame_0006.xyz,1.48181818,-576.7642684,-576.7642594
frame_0007.xyz,1.59090909,-576.8030076,-576.8029983
frame_0008.xyz,1.7,-576.8202773,-576.8202681
frame_0009.xyz,1.80192308,-576.824802,-576.8247924
frame_0010.xyz,1.90384615,-576.8227011,-576.8226915
frame_0011.xyz,2.00576923,-576.8167815,-576.8167716
frame_0012.xyz,2.10769231,-576.8088247,-576.8088148
frame_0013.xyz,2.20961538,-576.7999258,-576.7999159
frame_0014.xyz,2.31153846,-576.7907625,-576.7907525
frame_0015.xyz,2.41346154,-576.7817434,-576.7817334
frame_0016.xyz,2.51538462,-576.7731042,-576.7730943
frame_0017.xyz,2.61730769,-576.7649968,-576.7649868
frame_0018.xyz,2.71923077,-576.7575234,-576.7575134
frame_0019.xyz,2.82115385,-576.7534351,-576.7534251
frame_0020.xyz,2.92307692,-576.7476781,-576.7476683
frame_0021.xyz,3.025,-576.7424927,-576.7424827
frame_0022.xyz,3.12692308,-576.7378549,-576.7378452
frame_0023.xyz,3.22884615,-576.7337102,-576.7337007
frame_0024.xyz,3.33076923,-576.7300123,-576.7300029
frame_0025.xyz,3.43269231,-576.7267271,-576.7267181
frame_0026.xyz,3.53461538,-576.7238144,-576.7238056
frame_0027.xyz,3.63653846,-576.721237,-576.7212284
frame_0028.xyz,3.73846154,-576.718962,-576.7189532
frame_0029.xyz,3.84038462,-576.7169566,-576.7169482
frame_0030.xyz,3.94230769,-576.7151883,-576.7151802
frame_0031.xyz,4.04423077,-576.7136307,-576.7136227
frame_0032.xyz,4.14615385,-576.7122572,-576.7122494
frame_0033.xyz,4.24807692,-576.7110461,-576.7110385
frame_0034.xyz,4.35,-576.709974,-576.7099668
frame_0035.xyz,4.45192308,-576.7090228,-576.7090157
frame_0036.xyz,4.55384615,-576.7081803,-576.7081733
frame_0037.xyz,4.65576923,-576.7074269,-576.70742
frame_0038.xyz,4.75769231,-576.7067506,-576.7067439
frame_0039.xyz,4.85961538,-576.7061414,-576.7061349
frame_0040.xyz,4.96153846,-576.70559,-576.7055836
frame_0041.xyz,5.06346154,-576.705089,-576.7050826
frame_0042.xyz,5.16538462,-576.7046335,-576.7046272
frame_0043.xyz,5.26730769,-576.704217,-576.7042107
frame_0044.xyz,5.36923077,-576.7038341,-576.7038279
frame_0045.xyz,5.47115385,-576.7034812,-576.703475
frame_0046.xyz,5.57307692,-576.7031548,-576.7031487
frame_0047.xyz,5.675,-576.7028515,-576.7028454
frame_0048.xyz,5.77692308,-576.702569,-576.702563
frame_0049.xyz,5.87884615,-576.7023049,-576.7022989
frame_0050.xyz,5.98076923,-576.7020601,-576.7020541
frame_0051.xyz,6.08269231,-576.7018278,-576.7018219
frame_0052.xyz,6.18461538,-576.7016092,-576.7016033
frame_0053.xyz,6.28653846,-576.7014028,-576.7013969
frame_0054.xyz,6.38846154,-576.7012073,-576.7012014
frame_0055.xyz,6.49038462,-576.7010222,-576.7010164
frame_0056.xyz,6.59230769,-576.7008458,-576.70084
frame_0057.xyz,6.69423077,-576.700678,-576.7006722
frame_0058.xyz,6.79615385,-576.700518,-576.7005122
frame_0059.xyz,6.89807692,-576.7003653,-576.7003595
frame_0060.xyz,7,-576.7002195,-576.7002137
